Date,Open,High,Low,Close,Volume
02/22/2015,11.0,11.0,10.0,11.0,34127
02/23/2015,11.0,11.0,10.0,11.0,26500
02/24/2015,11.0,11.0,11.0,11.0,15173
02/25/2015,11.0,11.0,11.0,11.0,27956
02/26/2015,11.0,11.0,11.0,11.0,23300
03/01/2015,11.0,11.0,11.0,11.0,9000
03/02/2015,11.0,11.0,11.0,11.0,45267
03/03/2015,11.0,11.0,11.0,11.0,19889
03/04/2015,11.0,10.0,10.0,10.0,1000
03/09/2015,10.0,11.0,11.0,11.0,12000
03/10/2015,11.0,11.0,11.0,11.0,1913
03/11/2015,11.0,11.0,11.0,11.0,500
03/12/2015,11.0,10.0,10.0,10.0,2450
03/15/2015,10.0,10.0,10.0,10.0,10000
03/16/2015,10.0,10.0,10.0,10.0,27956
03/18/2015,10.0,10.0,10.0,10.0,47100
03/19/2015,10.0,10.0,10.0,10.0,65600
03/22/2015,10.0,10.0,10.0,10.0,40000
03/23/2015,10.0,10.0,10.0,10.0,12256
03/24/2015,10.0,10.0,10.0,10.0,12651
03/25/2015,10.0,10.0,10.0,10.0,4000
03/26/2015,10.0,10.0,10.0,10.0,18500
03/29/2015,10.0,10.0,10.0,10.0,15000
03/30/2015,10.0,10.0,10.0,10.0,5000
03/31/2015,10.0,10.0,10.0,10.0,23456
04/01/2015,10.0,10.0,10.0,10.0,8695
04/05/2015,10.0,10.0,10.0,10.0,20000
04/06/2015,10.0,10.0,10.0,10.0,350982
04/07/2015,10.0,10.0,10.0,10.0,400
04/08/2015,10.0,10.0,10.0,10.0,17389
04/09/2015,10.0,10.0,10.0,10.0,29478
04/12/2015,10.0,10.0,10.0,10.0,17000
04/13/2015,10.0,10.0,10.0,10.0,15474
04/15/2015,10.0,10.0,10.0,10.0,8650
04/16/2015,10.0,10.0,10.0,10.0,8478
04/19/2015,10.0,10.0,10.0,10.0,6000
04/20/2015,10.0,10.0,10.0,10.0,100000
04/21/2015,10.0,10.0,10.0,10.0,1000
04/22/2015,10.0,10.0,10.0,10.0,49378
04/23/2015,10.0,10.0,10.0,10.0,186290
05/24/2015,10.0,10.0,9.0,9.0,76411
05/25/2015,9.0,9.0,9.0,9.0,10433
05/26/2015,9.0,9.0,9.0,9.0,5000
05/28/2015,9.0,9.0,9.0,9.0,8000
06/01/2015,9.0,9.0,9.0,9.0,8695
06/02/2015,9.0,9.0,9.0,9.0,6478
06/03/2015,9.0,9.0,9.0,9.0,5000
06/04/2015,9.0,10.0,9.0,10.0,10000
06/09/2015,10.0,10.0,10.0,10.0,3478
06/10/2015,10.0,10.0,10.0,10.0,7304
06/14/2015,10.0,10.0,10.0,10.0,2261
06/15/2015,10.0,10.0,10.0,10.0,6956
06/17/2015,10.0,10.0,10.0,10.0,8000
06/22/2015,10.0,10.0,10.0,10.0,5000
06/23/2015,10.0,10.0,10.0,10.0,500
06/24/2015,10.0,10.0,10.0,10.0,53478
06/25/2015,10.0,10.0,10.0,10.0,16050
06/28/2015,10.0,10.0,10.0,10.0,3978
06/29/2015,10.0,10.0,10.0,10.0,4900
07/05/2015,10.0,10.0,10.0,10.0,12000
07/06/2015,10.0,10.0,10.0,10.0,8800
07/07/2015,10.0,10.0,10.0,10.0,28715
07/08/2015,10.0,10.0,10.0,10.0,4500
07/13/2015,10.0,10.0,10.0,10.0,20421
07/14/2015,10.0,10.0,10.0,10.0,20000
07/15/2015,10.0,10.0,10.0,10.0,4700
07/16/2015,10.0,10.0,10.0,10.0,1500
07/23/2015,10.0,10.0,10.0,10.0,10000
07/27/2015,10.0,11.0,10.0,11.0,53100
07/28/2015,11.0,11.0,11.0,11.0,19900
07/29/2015,11.0,11.0,10.0,11.0,15310
07/30/2015,11.0,10.0,10.0,10.0,28106
08/02/2015,10.0,10.0,10.0,10.0,30478
08/04/2015,10.0,10.0,10.0,10.0,11956
08/09/2015,10.0,10.0,10.0,10.0,40000
08/10/2015,10.0,10.0,10.0,10.0,15000
08/11/2015,10.0,10.0,10.0,10.0,6000
08/12/2015,10.0,10.0,10.0,10.0,18989
08/16/2015,10.0,10.0,10.0,10.0,2000
08/17/2015,10.0,10.0,10.0,10.0,16000
08/23/2015,10.0,10.0,10.0,10.0,2400
08/24/2015,10.0,10.0,10.0,10.0,41433
08/25/2015,10.0,10.0,10.0,10.0,8400
08/26/2015,10.0,10.0,10.0,10.0,60500
09/01/2015,10.0,10.0,10.0,10.0,5478
09/02/2015,10.0,10.0,10.0,10.0,10000
09/03/2015,10.0,10.0,10.0,10.0,1000
09/07/2015,10.0,10.0,10.0,10.0,3000
09/08/2015,10.0,10.0,10.0,10.0,7800
09/10/2015,10.0,10.0,10.0,10.0,5000
09/13/2015,10.0,10.0,10.0,10.0,21628
09/14/2015,10.0,10.0,10.0,10.0,5000
09/17/2015,10.0,10.0,10.0,10.0,24200
09/22/2015,10.0,10.0,10.0,10.0,2500
09/24/2015,10.0,10.0,10.0,10.0,40000
09/28/2015,10.0,10.0,10.0,10.0,20000
09/29/2015,10.0,10.0,10.0,10.0,10433
10/01/2015,10.0,10.0,10.0,10.0,6000
10/06/2015,9.85,10.05,9.9,9.9,3500
10/07/2015,9.9,9.9,9.9,9.9,20000
10/08/2015,9.9,9.95,9.95,9.95,8000
10/14/2015,9.95,9.75,9.75,9.75,500
10/15/2015,9.75,9.85,9.85,9.85,21037
10/27/2015,9.85,9.66,9.66,9.66,10000
10/29/2015,9.66,9.48,9.48,9.48,3478
11/01/2015,9.48,9.52,9.5,9.5,30000
11/02/2015,9.5,9.52,9.49,9.49,32300
11/03/2015,9.49,9.7,9.5,9.7,41279
11/04/2015,9.7,9.7,9.7,9.7,4777
11/05/2015,9.7,9.71,9.71,9.71,10000
11/10/2015,9.71,9.9,9.9,9.9,3478
11/16/2015,9.9,9.95,9.95,9.95,24345
11/18/2015,9.95,9.95,9.95,9.95,1500
11/22/2015,9.95,10.0,9.9,10.0,36578
11/23/2015,10.0,10.0,10.0,10.0,5500
11/25/2015,10.0,10.0,10.0,10.0,30000
11/26/2015,10.0,10.0,10.0,10.0,5000
11/29/2015,10.0,10.0,10.0,10.0,12000
11/30/2015,10.0,10.0,10.0,10.0,41198
12/01/2015,10.0,10.0,9.9,10.0,32815
12/08/2015,10.0,10.1,10.0,10.0,4078
12/09/2015,10.0,10.0,10.0,10.0,8695
12/13/2015,10.0,10.0,10.0,10.0,22000
12/15/2015,10.0,10.2,10.1,10.2,11000
12/17/2015,10.2,10.4,10.4,10.4,1000
12/20/2015,10.4,10.2,10.2,10.2,10433
12/23/2015,10.2,10.0,10.0,10.0,7500
12/24/2015,10.0,10.0,9.8,10.0,10000
12/28/2015,10.0,10.0,9.8,9.8,17356
01/03/2016,9.8,9.81,9.7,9.8,41256
01/04/2016,9.8,9.95,9.9,9.95,20478
01/05/2016,9.95,9.9,9.9,9.9,14000
01/07/2016,9.9,9.8,9.8,9.8,52890
01/10/2016,9.8,10.0,9.9,10.0,62019
01/11/2016,10.0,10.09,9.95,10.0,67800
01/12/2016,10.0,10.0,9.8,9.8,26800
01/12/2016,10.0,10.0,9.8,9.8,26800
01/13/2016,9.8,9.85,9.8,9.85,15400
01/14/2016,9.85,9.8,9.8,9.8,8300
01/27/2016,9.8,9.6,9.6,9.6,500
02/03/2016,9.6,9.99,9.79,9.99,2500
02/04/2016,9.99,10.19,10.19,10.19,500
02/07/2016,10.19,10.39,10.39,10.39,100
02/08/2016,10.39,10.8,10.6,10.8,300
02/11/2016,10.8,11.02,11.02,11.02,500
02/15/2016,11.02,11.05,11.0,11.05,11847
02/16/2016,11.05,10.84,10.84,10.84,5000
02/17/2016,10.84,10.71,10.5,10.71,19978
02/18/2016,10.71,10.5,10.5,10.5,153890
02/21/2016,10.5,10.81,10.6,10.81,1000
02/22/2016,10.81,11.03,11.0,11.0,18100
02/25/2016,11.0,10.78,10.78,10.78,5000
02/28/2016,10.78,10.9,10.9,10.9,14110
02/29/2016,10.9,10.8,10.8,10.8,2500
03/01/2016,10.8,10.8,10.8,10.8,2500
03/02/2016,10.8,11.0,11.0,11.0,1000
03/03/2016,11.0,10.8,10.8,10.8,5000
03/06/2016,10.8,10.58,10.58,10.58,5000
03/10/2016,10.58,11.0,10.79,11.0,10000
03/13/2016,11.0,11.0,11.0,11.0,15895
03/16/2016,11.0,10.8,10.8,10.8,3478
03/21/2016,10.8,10.7,10.5,10.6,18352
03/24/2016,10.6,10.5,10.48,10.5,12200
03/27/2016,10.5,10.5,10.4,10.5,4500
03/28/2016,10.5,10.5,10.45,10.5,3200
03/29/2016,10.5,10.61,10.4,10.61,193890
03/30/2016,10.61,10.7,10.5,10.52,33889
03/31/2016,10.52,10.61,10.4,10.61,12500
04/03/2016,10.61,10.4,10.4,10.4,2000
04/04/2016,10.4,10.4,10.31,10.4,11000
04/05/2016,10.4,10.5,10.4,10.4,5400
04/06/2016,10.4,10.4,10.4,10.4,74556
04/10/2016,10.4,10.6,10.4,10.41,29589
04/11/2016,10.41,10.41,10.4,10.4,22000
04/12/2016,10.4,10.7,10.3,10.5,547573
04/14/2016,10.5,10.4,10.4,10.4,7000
04/18/2016,10.4,10.8,10.61,10.61,5950
04/19/2016,10.61,10.82,10.82,10.82,3000
04/20/2016,10.82,11.22,10.99,11.22,14478
04/21/2016,11.22,11.01,11.01,11.01,3300
04/25/2016,11.01,10.9,10.9,10.9,16000
04/26/2016,10.9,11.15,11.0,11.15,76203
04/27/2016,11.15,11.14,11.0,11.14,52817
04/28/2016,11.14,11.18,11.05,11.13,28500
05/02/2016,11.13,11.0,11.0,11.0,2500
05/03/2016,11.0,11.01,11.0,11.0,19400
05/05/2016,11.0,11.0,10.95,11.0,6100
05/09/2016,11.0,11.0,10.91,11.0,26064
05/10/2016,11.0,11.15,11.0,11.0,36500
05/11/2016,11.0,11.05,10.9,10.9,37889
05/12/2016,10.9,11.05,10.95,10.95,18317
05/16/2016,10.95,11.0,10.65,10.65,20700
05/17/2016,10.65,10.65,10.65,10.65,5000
05/18/2016,10.65,11.08,10.86,11.08,5389
05/19/2016,11.08,10.87,10.87,10.87,1000
05/22/2016,10.87,10.9,10.9,10.9,14000
05/23/2016,10.9,11.1,10.49,10.6,28200
05/24/2016,10.6,10.7,10.6,10.6,50000
05/25/2016,10.6,10.81,10.55,10.81,33689
05/26/2016,10.81,11.0,11.0,11.0,15000
05/29/2016,11.0,11.1,10.41,10.41,544521
05/30/2016,10.41,11.05,10.62,11.05,12000
05/31/2016,11.05,11.05,10.9,10.9,42000
06/01/2016,10.9,10.76,10.72,10.76,21424
06/02/2016,10.76,10.85,10.8,10.85,2000
06/05/2016,10.85,10.86,10.86,10.86,3500
06/06/2016,10.86,11.1,11.08,11.1,12173
06/07/2016,11.1,11.4,11.1,11.4,47478
06/08/2016,11.4,11.7,11.4,11.4,15000
06/09/2016,11.4,11.85,11.63,11.65,24900
06/12/2016,11.65,11.5,11.42,11.5,22500
06/13/2016,11.5,11.27,11.27,11.27,2000
06/14/2016,11.27,11.5,11.35,11.5,6000
06/15/2016,11.5,11.7,11.7,11.7,5000
06/16/2016,11.7,11.7,11.65,11.65,10600
06/19/2016,11.65,11.65,11.65,11.65,3478
06/20/2016,11.65,11.8,11.65,11.8,15000
06/21/2016,11.8,12.0,11.8,11.8,4500
06/22/2016,11.8,11.81,11.56,11.6,56000
06/23/2016,11.6,11.7,11.31,11.5,164076
06/26/2016,11.5,11.7,11.27,11.5,2961755
06/27/2016,11.5,11.74,11.51,11.74,442684
06/28/2016,11.74,12.0,11.75,12.0,50000
06/29/2016,12.0,12.55,12.0,12.34,1070462
06/30/2016,12.34,13.36,12.34,13.36,360982
07/03/2016,13.36,14.18,13.5,13.5,250000
07/04/2016,13.5,13.5,13.25,13.25,75310
07/05/2016,13.25,13.52,13.31,13.52,35582
07/06/2016,13.52,13.5,13.23,13.27,812376
07/10/2016,13.27,13.54,13.35,13.35,62389
07/12/2016,13.35,13.2,12.8,13.0,125000
07/13/2016,13.0,13.26,13.0,13.26,14705
07/14/2016,13.26,13.2,13.0,13.2,11400
07/17/2016,13.2,13.45,12.95,13.45,48925
07/18/2016,13.45,13.72,13.0,13.0,72011
07/19/2016,13.0,13.24,13.01,13.01,31500
07/20/2016,13.01,13.5,13.0,13.3,77389
07/21/2016,13.3,13.8,13.1,13.5,335584
07/25/2016,13.5,14.3,13.7,14.0,317137
07/26/2016,14.0,15.35,13.74,15.35,280486
07/27/2016,15.35,15.45,15.11,15.2,160456
07/28/2016,15.2,15.3,14.9,15.0,86465
07/31/2016,15.0,15.05,14.99,15.05,815064
08/01/2016,15.05,15.97,15.1,15.65,128560
08/02/2016,15.65,15.6,15.28,15.6,112099
08/03/2016,15.6,15.8,15.4,15.71,109951
08/04/2016,15.71,15.71,15.4,15.71,19478
08/07/2016,15.71,16.02,15.2,15.2,14400
08/08/2016,15.2,15.2,14.7,14.7,16270
08/10/2016,14.7,15.05,14.99,15.05,20500
08/11/2016,15.05,15.15,15.0,15.0,96000
08/14/2016,15.0,15.2,15.01,15.05,54800
08/15/2016,15.05,15.35,14.7,14.8,62569
08/16/2016,14.8,15.2,15.0,15.1,33900
08/17/2016,15.1,15.45,14.9,15.1,164746
08/21/2016,15.1,15.09,14.8,15.09,21281
08/22/2016,15.09,15.35,15.0,15.0,34000
08/23/2016,15.0,15.05,15.0,15.0,34000
08/28/2016,15.0,15.0,14.69,14.69,31300
08/29/2016,14.69,15.05,14.98,15.05,13000
08/30/2016,15.05,15.5,15.25,15.25,96089
08/31/2016,15.25,14.94,13.8,13.8,73000
09/01/2016,13.8,13.6,13.6,13.6,5000
09/03/2016,13.6,13.35,13.33,13.33,4100
09/04/2016,13.6,13.35,13.33,13.33,4100
09/06/2016,13.33,13.1,13.06,13.06,10000
09/07/2016,13.06,13.06,13.06,13.06,5000
09/08/2016,13.06,13.36,13.06,13.36,16281
