Date,Open,High,Low,Close,Volume
07/14/2013,0,504,477,504,40
07/15/2013,504,554,529,554,40
07/16/2013,554,0,0,554,8958
07/17/2013,554,609,565,609,150
07/18/2013,609,669,621,669,1706
07/21/2013,669,735,682,735,12269
07/22/2013,735,808,736,748,50250
07/23/2013,748,750,736,737,23541
07/24/2013,737,739,697,710,25879
07/25/2013,710,705,690,697,12985
07/28/2013,697,705,690,700,12444
07/29/2013,700,714,700,713,12604
07/30/2013,713,739,710,733,11888
07/31/2013,733,743,720,732,16045
08/01/2013,732,746,722,726,16832
08/04/2013,726,730,710,710,13593
08/05/2013,710,710,690,702,10674
08/06/2013,702,707,662,700,10700
08/07/2013,700,707,686,690,9805
08/08/2013,690,690,670,670,21368
08/11/2013,670,670,660,663,6558
08/12/2013,663,664,655,657,5132
08/13/2013,657,665,650,658,4580
08/14/2013,658,655,628,628,10225
08/15/2013,628,628,604,614,10293
08/18/2013,614,642,614,638,8933
08/19/2013,638,649,632,640,4023
08/20/2013,640,652,635,647,11568
08/25/2013,647,647,638,644,6208
08/26/2013,644,645,628,631,6237
08/27/2013,631,650,626,640,11433
08/29/2013,640,645,631,638,23136
09/01/2013,638,638,630,635,7678
09/02/2013,635,641,626,635,10758
09/03/2013,635,638,629,630,20263
09/04/2013,630,642,622,625,3978
09/05/2013,625,625,621,625,4271
09/08/2013,625,634,620,621,21774
09/09/2013,621,634,620,633,8818
09/10/2013,633,638,620,620,5479
09/11/2013,620,625,616,625,8212
09/12/2013,625,622,619,622,1797
09/15/2013,622,623,618,618,4941
09/16/2013,618,617,605,615,3632
09/17/2013,615,614,608,611,6735
09/19/2013,611,610,600,610,5987
09/22/2013,598,598,587,594,2361
09/23/2013,594,596,584,596,6184
09/24/2013,596,604,597,603,5223
09/25/2013,603,598,590,598,3376
09/26/2013,598,605,593,594,2222
09/29/2013,594,594,588,593,5097
09/30/2013,593,590,581,584,2382
10/01/2013,584,589,581,584,3171
10/02/2013,584,596,579,595,1017
10/03/2013,595,595,584,595,2064
10/06/2013,595,607,587,607,2617
10/07/2013,607,646,599,622,431
10/08/2013,622,617,605,615,1616
10/09/2013,615,615,595,615,944
10/10/2013,615,620,603,620,2612
10/17/2013,620,647,620,635,2059
10/20/2013,635,663,635,660,7738
10/21/2013,660,693,652,666,9821
10/22/2013,666,665,645,645,9367
10/23/2013,645,644,635,640,3207
10/24/2013,640,641,630,638,4392
10/27/2013,638,643,610,627,20010
10/28/2013,627,621,613,620,4234
10/29/2013,620,640,618,630,7580
10/30/2013,630,641,616,641,4278
10/31/2013,641,645,622,630,13446
11/06/2013,630,627,615,627,1100
11/07/2013,627,655,628,635,3833
11/10/2013,635,642,630,630,5508
11/11/2013,630,654,627,654,5107
11/12/2013,654,685,650,655,6554
11/13/2013,655,667,636,645,17494
11/14/2013,645,647,639,647,6439
11/21/2013,647,708,659,695,7277
11/24/2013,695,764,687,698,18544
11/25/2013,698,698,664,668,9430
11/26/2013,668,685,660,671,7622
11/27/2013,671,675,651,658,2173
11/28/2013,658,660,640,651,7138
12/01/2013,651,662,645,650,107794
12/02/2013,650,693,650,670,31973
12/03/2013,670,695,682,692,21886
12/04/2013,692,732,691,715,31863
12/05/2013,715,743,706,724,60375
12/08/2013,724,726,700,710,15956
12/09/2013,710,719,705,709,5129
12/10/2013,709,709,691,700,7355
12/11/2013,700,720,703,711,16483
12/12/2013,711,724,697,724,30679
12/15/2013,724,745,709,742,59921
12/16/2013,742,816,756,816,36619
12/18/2013,816,897,824,897,41249
12/19/2013,897,900,808,879,60364
12/22/2013,875,875,810,836,52786
12/23/2013,836,825,775,783,29079
12/24/2013,783,832,764,803,24385
12/26/2013,803,860,815,815,22385
12/29/2013,815,818,794,815,28367
12/31/2013,815,816,799,806,21248
01/01/2014,806,807,775,786,15632
01/02/2014,786,810,765,804,7593
