Date,Open,High,Low,Close,Volume
08/07/2013,700,700,700,700,11116
11/27/2013,700,686,686,686,8571
01/20/2014,686,673,673,673,5828
03/18/2014,673,673,673,673,5000
07/15/2014,673,686,686,686,7286
07/16/2014,686,686,686,686,36428
07/20/2014,686,699,699,699,7285
08/21/2014,699,686,660,660,4371
08/24/2014,660,647,623,623,9290
08/25/2014,623,611,588,588,44266
11/10/2014,588,577,577,577,3686
11/18/2014,577,577,577,577,1800
06/18/2017,250,250,250,250,110052
07/05/2017,250,250,250,250,7279
07/20/2017,250,250,250,250,2996
02/26/2018,191,191,191,191,3269
