Date,Open,High,Low,Close,Volume
07/17/2013,0,275,275,275,10
07/18/2013,275,302,280,302,1218
07/21/2013,302,332,308,332,1168
07/22/2013,332,365,338,365,2762
07/23/2013,365,401,372,401,3481
07/24/2013,401,441,409,441,9005
07/25/2013,441,475,418,435,27206
07/28/2013,435,443,430,440,10677
07/29/2013,440,475,443,474,7786
07/30/2013,474,470,460,465,2727
07/31/2013,465,458,452,453,6706
08/01/2013,453,444,432,438,2588
08/04/2013,438,444,437,440,4454
08/05/2013,440,440,429,430,3101
08/06/2013,430,438,422,435,2674
08/07/2013,435,436,429,435,1924
08/08/2013,435,430,427,429,1791
08/11/2013,429,433,430,433,380
08/12/2013,433,435,428,435,1664
08/13/2013,435,436,430,432,6482
08/14/2013,432,443,426,443,632
08/15/2013,443,465,435,460,10711
08/18/2013,460,506,465,506,9047
08/19/2013,506,509,471,500,9860
08/20/2013,500,507,490,494,6659
08/25/2013,494,498,488,491,2469
08/26/2013,491,500,485,490,2481
08/27/2013,490,490,480,487,2491
08/29/2013,487,495,480,485,4159
09/01/2013,485,480,471,477,1349
09/02/2013,477,475,470,470,2933
09/03/2013,470,470,452,466,4348
09/04/2013,466,473,466,466,1086
09/05/2013,466,474,469,474,2687
09/08/2013,474,465,465,465,107
09/09/2013,465,470,460,465,1003
09/10/2013,465,470,465,466,1883
09/11/2013,466,471,466,471,1510
09/12/2013,471,470,465,470,273
09/15/2013,470,480,470,470,3111
09/16/2013,470,479,471,476,200
09/17/2013,476,480,475,480,514
09/19/2013,480,490,475,478,3347
09/22/2013,478,485,475,475,1341
09/23/2013,475,470,452,461,1787
09/24/2013,461,467,452,460,1305
09/25/2013,460,465,460,465,200
09/26/2013,465,469,467,469,881
09/29/2013,469,470,469,470,2527
09/30/2013,470,470,448,448,3758
10/01/2013,448,460,450,460,2025
10/02/2013,460,465,458,460,1230
10/03/2013,460,470,460,470,890
10/06/2013,470,470,461,470,3193
10/09/2013,470,472,463,472,412
10/10/2013,472,478,470,470,320
10/17/2013,470,474,470,474,397
10/20/2013,473,483,474,474,1754
10/21/2013,474,482,475,481,2035
10/22/2013,481,481,481,481,24
10/23/2013,481,481,478,479,1989
10/24/2013,479,480,471,478,7520
10/27/2013,478,474,471,471,779
10/28/2013,471,471,471,471,50
10/29/2013,471,471,462,467,592
11/06/2013,467,476,475,476,118
11/07/2013,476,490,480,490,140
11/10/2013,490,490,485,490,2793
11/11/2013,490,485,485,485,1212
11/12/2013,485,486,485,486,295
11/13/2013,486,503,492,492,3108
11/14/2013,492,495,480,495,2957
11/24/2013,495,520,504,520,2600
11/25/2013,520,521,506,506,725
11/26/2013,506,549,510,549,4357
11/27/2013,549,575,559,560,1671
11/28/2013,560,585,560,580,2239
12/01/2013,580,638,591,638,5109
12/02/2013,638,698,640,698,13257
12/03/2013,698,767,711,767,8665
12/04/2013,767,828,782,828,1930
12/05/2013,828,820,796,796,1265
12/10/2013,796,781,751,751,40
12/16/2013,751,760,735,735,10388
12/19/2013,735,740,706,706,1888
12/22/2013,706,700,641,657,3537
12/23/2013,657,663,637,650,1232
12/24/2013,650,648,628,645,4894
12/26/2013,645,681,657,670,2443
12/29/2013,670,668,638,656,17249
12/31/2013,656,660,641,660,3747
01/01/2014,660,660,645,660,2353
01/02/2014,660,670,640,670,8757
01/05/2014,670,670,644,663,2576
01/06/2014,663,660,647,649,3457
01/07/2014,649,656,637,645,6630
01/08/2014,645,663,637,663,5818
01/09/2014,663,683,655,683,3053
01/12/2014,683,706,670,706,874
01/13/2014,706,730,699,720,1403
01/14/2014,720,721,685,710,10844
01/16/2014,710,745,696,740,8066
01/19/2014,740,735,701,726,7968
01/20/2014,726,755,716,740,10986
01/21/2014,740,750,726,741,17642
01/22/2014,741,750,728,733,20574
01/23/2014,733,750,726,750,28678
01/26/2014,682,695,690,690,162
01/27/2014,690,700,691,691,211
01/28/2014,691,718,700,718,336
01/29/2014,718,713,711,711,297
02/02/2014,711,720,718,720,565
02/03/2014,720,710,691,691,91
02/04/2014,691,715,700,715,146
02/06/2014,729,737,735,735,257
