Date,Open,High,Low,Close,Volume
01/25/2017,10.81,10.8,10.45,10.45,9825
01/26/2017,10.45,10.35,10.25,10.35,13729
01/30/2017,10.35,10.15,9.96,10.0,21978
01/31/2017,10.0,10.3,10.2,10.3,9983
02/01/2017,10.3,10.45,10.2,10.35,27924
02/02/2017,10.35,10.3,10.15,10.15,26449
02/05/2017,10.15,10.15,10.05,10.15,41610
02/06/2017,10.15,10.41,10.2,10.3,28294
02/07/2017,10.3,10.32,10.1,10.32,6599
02/08/2017,10.32,10.2,10.01,10.01,39322
02/09/2017,10.01,10.01,10.0,10.0,6310
02/12/2017,10.0,10.0,10.0,10.0,34127
02/13/2017,10.0,10.0,9.8,10.0,28644
02/14/2017,10.0,10.0,10.0,10.0,29127
02/15/2017,10.0,10.12,10.01,10.12,57073
02/16/2017,10.12,10.12,10.05,10.05,42631
02/19/2017,10.05,10.1,10.0,10.1,103905
02/20/2017,10.1,10.11,10.06,10.06,114161
02/21/2017,10.06,10.01,10.01,10.01,1664
02/22/2017,10.01,10.01,10.01,10.01,14979
02/23/2017,10.01,10.05,9.81,9.84,30373
02/26/2017,9.84,9.84,9.65,9.84,1582
02/28/2017,9.84,9.71,9.7,9.7,4161
03/01/2017,9.7,9.88,9.88,9.88,4161
03/02/2017,9.88,10.08,10.01,10.08,15607
03/05/2017,10.08,10.1,9.92,9.92,3696
03/06/2017,9.92,10.05,10.0,10.05,10450
03/07/2017,10.05,10.05,10.0,10.05,4576
03/09/2017,10.05,10.1,10.0,10.1,26300
03/14/2017,10.1,10.3,10.1,10.1,7073
03/15/2017,10.1,10.2,10.0,10.2,17059
03/16/2017,10.2,10.2,10.2,10.2,4161
03/19/2017,10.2,10.05,10.0,10.05,4993
03/20/2017,10.05,10.25,10.1,10.25,7576
03/21/2017,10.25,10.2,10.2,10.2,1664
03/22/2017,10.2,10.3,10.2,10.3,16352
03/23/2017,10.3,10.25,10.25,10.25,832
03/26/2017,10.25,10.3,10.23,10.3,26214
03/28/2017,10.3,10.51,10.31,10.31,21501
03/29/2017,10.31,10.1,9.9,10.12,7655
03/30/2017,10.12,10.1,10.04,10.1,14313
04/02/2017,10.1,10.3,10.1,10.2,13733
04/03/2017,10.2,10.3,10.1,10.24,15769
04/04/2017,10.24,10.2,9.8,10.2,15978
04/06/2017,10.2,10.28,10.15,10.25,130965
04/09/2017,10.25,10.25,10.04,10.04,13712
04/10/2017,10.04,10.2,10.05,10.1,186850
04/11/2017,10.1,10.15,10.0,10.0,72222
04/12/2017,10.0,10.2,10.08,10.12,222069
04/13/2017,10.12,10.3,10.12,10.12,5658
04/16/2017,10.12,10.32,10.3,10.32,9122
04/18/2017,10.32,10.11,10.11,10.11,832
04/19/2017,10.11,10.21,10.01,10.21,5408
04/20/2017,10.21,10.25,10.03,10.03,11712
04/23/2017,10.03,10.14,10.1,10.11,7071
04/24/2017,10.11,10.2,9.9,10.0,16725
04/25/2017,10.0,10.2,10.0,10.0,4368
04/27/2017,10.0,10.18,10.0,10.1,15433
04/30/2017,10.1,10.1,9.95,10.0,19954
05/02/2017,10.0,10.15,10.0,10.15,2496
05/03/2017,10.15,10.19,10.0,10.19,16482
