Date,Open,High,Low,Close,Volume
01/01/2015,10.0,11.0,10.0,11.0,35500
01/04/2015,11.0,11.0,11.0,11.0,41610
01/05/2015,11.0,11.0,11.0,11.0,42000
01/06/2015,11.0,11.0,10.0,11.0,32800
01/07/2015,11.0,11.0,11.0,11.0,12700
01/11/2015,11.0,10.0,10.0,10.0,16260
01/12/2015,10.0,10.0,10.0,10.0,3000
01/13/2015,10.0,10.0,10.0,10.0,7500
01/14/2015,10.0,11.0,10.0,11.0,6000
01/18/2015,11.0,11.0,10.0,10.0,48000
01/19/2015,10.0,11.0,11.0,11.0,112500
01/20/2015,11.0,10.0,10.0,10.0,26000
01/22/2015,10.0,10.0,10.0,10.0,57610
01/25/2015,10.0,10.0,10.0,10.0,47109
01/26/2015,10.0,11.0,10.0,10.0,8615
01/27/2015,10.0,10.0,10.0,10.0,21000
01/28/2015,10.0,11.0,10.0,11.0,24110
01/29/2015,11.0,10.0,10.0,10.0,5510
02/01/2015,10.0,11.0,10.0,11.0,54030
02/02/2015,11.0,11.0,11.0,11.0,81230
02/04/2015,11.0,11.0,11.0,11.0,21000
02/05/2015,11.0,11.0,11.0,11.0,7110
02/08/2015,11.0,11.0,11.0,11.0,5610
02/09/2015,11.0,11.0,11.0,11.0,4349
02/10/2015,11.0,11.0,11.0,11.0,15000
02/11/2015,11.0,11.0,11.0,11.0,24000
02/12/2015,11.0,11.0,11.0,11.0,3760
02/15/2015,11.0,11.0,10.0,10.0,62957
02/16/2015,10.0,10.0,10.0,10.0,23600
02/16/2015,10.0,10.0,10.0,10.0,23600
02/18/2015,10.0,10.0,10.0,10.0,7610
02/22/2015,10.0,10.0,10.0,10.0,12000
02/23/2015,10.0,11.0,10.0,11.0,20619
02/24/2015,11.0,10.0,10.0,10.0,2610
02/25/2015,10.0,10.0,10.0,10.0,14830
02/26/2015,10.0,10.0,10.0,10.0,8100
03/01/2015,10.0,10.0,10.0,10.0,1500
03/02/2015,10.0,10.0,10.0,10.0,47830
03/03/2015,10.0,11.0,10.0,11.0,25720
03/04/2015,11.0,11.0,10.0,11.0,7610
03/09/2015,11.0,11.0,11.0,11.0,1100
03/11/2015,11.0,10.0,10.0,10.0,5000
03/12/2015,10.0,10.0,10.0,10.0,1500
03/15/2015,10.0,10.0,10.0,10.0,2610
03/16/2015,10.0,10.0,10.0,10.0,12830
03/17/2015,10.0,10.0,10.0,10.0,12200
03/18/2015,10.0,10.0,10.0,10.0,5000
03/19/2015,10.0,10.0,10.0,10.0,21000
03/22/2015,10.0,10.0,10.0,10.0,11200
03/23/2015,10.0,10.0,10.0,10.0,2000
03/24/2015,10.0,10.0,10.0,10.0,3000
03/25/2015,10.0,10.0,10.0,10.0,10000
03/26/2015,10.0,10.0,10.0,10.0,15000
03/29/2015,10.0,10.0,10.0,10.0,4371
03/31/2015,10.0,10.0,10.0,10.0,62100
04/01/2015,10.0,10.0,10.0,10.0,48650
04/02/2015,10.0,10.0,10.0,10.0,500
04/05/2015,10.0,10.0,10.0,10.0,12000
04/07/2015,10.0,10.0,10.0,10.0,9600
04/08/2015,10.0,10.0,10.0,10.0,5500
04/09/2015,10.0,10.0,10.0,10.0,5000
04/12/2015,10.0,10.0,10.0,10.0,10000
04/13/2015,10.0,10.0,10.0,10.0,1500
04/19/2015,10.0,10.0,10.0,10.0,6000
04/20/2015,10.0,10.0,10.0,10.0,17100
04/21/2015,10.0,10.0,10.0,10.0,10415
04/22/2015,10.0,10.0,10.0,10.0,2000
04/23/2015,10.0,10.0,10.0,10.0,131277
05/24/2015,10.0,10.0,9.0,9.0,28430
05/26/2015,9.0,9.0,9.0,9.0,16600
05/28/2015,9.0,9.0,9.0,9.0,7500
06/01/2015,9.0,9.0,9.0,9.0,18490
06/02/2015,9.0,10.0,10.0,10.0,5600
06/08/2015,10.0,10.0,10.0,10.0,5000
06/08/2015,10.0,10.0,10.0,10.0,5000
06/08/2015,10.0,10.0,10.0,10.0,5000
06/09/2015,10.0,10.0,10.0,10.0,20400
06/10/2015,10.0,10.0,10.0,10.0,2610
06/14/2015,10.0,10.0,10.0,10.0,90880
06/15/2015,10.0,10.0,10.0,10.0,35000
06/16/2015,10.0,10.0,10.0,10.0,7100
06/17/2015,10.0,10.0,10.0,10.0,34550
06/18/2015,10.0,10.0,10.0,10.0,15000
06/21/2015,10.0,10.0,10.0,10.0,19900
06/22/2015,10.0,10.0,10.0,10.0,9800
06/23/2015,10.0,10.0,10.0,10.0,5000
06/24/2015,10.0,10.0,10.0,10.0,5000
06/28/2015,10.0,10.0,10.0,10.0,34000
07/01/2015,10.0,10.0,10.0,10.0,1100
07/07/2015,10.0,10.0,10.0,10.0,5267
07/08/2015,10.0,10.0,10.0,10.0,15550
07/09/2015,10.0,10.0,10.0,10.0,3800
07/12/2015,10.0,10.0,10.0,10.0,7900
07/13/2015,10.0,10.0,10.0,10.0,5000
07/14/2015,10.0,10.0,10.0,10.0,9463
07/15/2015,10.0,10.0,10.0,10.0,9610
07/16/2015,10.0,10.0,10.0,10.0,1000
07/23/2015,10.0,10.0,10.0,10.0,4500
07/27/2015,10.0,11.0,10.0,11.0,12500
07/28/2015,11.0,11.0,11.0,11.0,17500
07/29/2015,11.0,11.0,11.0,11.0,42830
07/30/2015,11.0,11.0,11.0,11.0,35000
08/02/2015,11.0,11.0,11.0,11.0,500
08/03/2015,11.0,11.0,11.0,11.0,10000
08/04/2015,11.0,11.0,11.0,11.0,15000
08/09/2015,11.0,11.0,10.0,10.0,34440
08/10/2015,10.0,10.0,10.0,10.0,5000
08/11/2015,10.0,10.0,10.0,10.0,6000
08/12/2015,10.0,10.0,10.0,10.0,20000
08/13/2015,10.0,10.0,10.0,10.0,17500
08/16/2015,10.0,10.0,10.0,10.0,14000
08/17/2015,10.0,10.0,10.0,10.0,5000
08/18/2015,10.0,11.0,10.0,10.0,84592
08/18/2015,10.0,11.0,10.0,10.0,84592
08/19/2015,10.0,11.0,11.0,11.0,26000
