Date,Open,High,Low,Close,Volume
02/05/2017,10.0,11.0,10.0,10.84,120337
02/06/2017,10.84,10.99,10.58,10.6,85609
02/07/2017,10.6,10.64,10.4,10.47,299007
02/08/2017,10.47,10.25,10.11,10.2,73702
02/09/2017,10.2,10.38,10.15,10.15,22336
02/12/2017,10.15,10.05,9.95,9.95,201248
02/13/2017,9.95,10.1,9.8,10.1,25935
02/14/2017,10.1,10.15,10.0,10.0,63863
02/15/2017,10.0,10.15,10.1,10.1,59087
02/16/2017,10.1,10.3,10.1,10.1,161857
02/19/2017,10.1,10.15,10.0,10.1,60435
02/20/2017,10.1,10.11,10.06,10.11,133004
02/21/2017,10.11,10.2,10.11,10.15,12702
02/22/2017,10.15,10.15,10.1,10.15,9188
02/23/2017,10.15,10.15,10.05,10.05,43848
02/26/2017,10.05,10.19,10.1,10.1,13610
02/28/2017,10.1,10.2,10.0,10.1,69132
03/01/2017,10.1,10.1,10.01,10.05,49742
03/02/2017,10.05,10.15,10.06,10.1,15863
03/05/2017,10.1,10.24,10.05,10.1,25438
03/06/2017,10.1,10.15,10.02,10.15,32512
03/07/2017,10.15,10.13,10.0,10.13,12230
03/09/2017,10.13,10.1,10.0,10.09,48580
03/13/2017,10.09,10.3,10.01,10.11,28788
03/14/2017,10.11,10.1,10.0,10.1,6965
03/15/2017,10.1,10.15,10.0,10.15,56220
03/16/2017,10.15,10.12,10.1,10.1,2655
03/19/2017,10.1,10.14,10.1,10.14,773
03/20/2017,10.14,10.32,10.12,10.32,9462
03/21/2017,10.32,10.5,10.2,10.2,5737
03/22/2017,10.2,10.34,10.2,10.34,23820
03/23/2017,10.34,10.42,10.23,10.3,10602
03/26/2017,10.3,10.43,10.3,10.39,58588
03/28/2017,10.39,10.45,10.1,10.45,57764
03/29/2017,10.45,10.66,10.3,10.3,14349
03/30/2017,10.3,10.45,10.11,10.3,27600
04/02/2017,10.3,10.4,10.19,10.21,19713
04/03/2017,10.21,10.3,10.1,10.15,22459
04/04/2017,10.15,10.25,10.02,10.15,85097
04/06/2017,10.15,10.35,10.15,10.3,73459
04/09/2017,10.3,10.25,10.05,10.25,60251
04/10/2017,10.25,10.25,10.1,10.16,343507
04/11/2017,10.16,10.25,10.04,10.05,53914
04/12/2017,10.05,10.4,10.0,10.3,34408
04/13/2017,10.3,10.3,10.25,10.3,11024
04/16/2017,10.3,10.5,10.3,10.3,17647
04/18/2017,10.3,10.3,10.2,10.2,10380
04/19/2017,10.2,10.16,10.05,10.12,147654
04/20/2017,10.12,10.25,10.04,10.1,4139
04/23/2017,10.1,10.1,10.01,10.09,6679
04/24/2017,10.09,10.15,10.06,10.06,21373
