Date,Open,High,Low,Close,Volume
10/07/2013,280,280,280,280,163
10/08/2013,280,275,252,252,594
10/09/2013,252,247,231,231,265
10/22/2013,231,227,219,219,30
10/23/2013,219,215,199,199,50
10/24/2013,199,196,181,186,844
10/27/2013,186,187,185,185,770
10/28/2013,185,192,181,192,1745
10/29/2013,192,195,189,189,363
10/30/2013,189,198,192,194,1087
10/31/2013,194,197,197,197,163
11/07/2013,197,200,200,200,20
11/10/2013,200,203,203,203,228
11/12/2013,203,199,199,199,90
11/13/2013,199,202,198,201,1614
11/14/2013,201,197,197,197,163
11/24/2013,197,203,200,200,505
11/25/2013,200,208,200,204,1613
11/26/2013,204,216,208,212,432
11/27/2013,212,216,216,216,98
11/28/2013,216,237,220,237,1288
12/02/2013,237,241,241,241,130
12/03/2013,241,265,245,265,743
12/08/2013,212,216,216,216,114
01/29/2014,216,220,220,220,98
02/02/2014,220,228,220,220,911
02/04/2014,220,224,224,224,108
02/06/2014,224,225,225,225,163
02/09/2014,225,233,225,233,750
02/12/2014,233,241,233,240,588
02/16/2014,240,244,244,244,325
02/17/2014,244,262,248,262,499
02/18/2014,262,277,267,277,423
02/25/2014,277,282,282,282,166
02/26/2014,282,292,287,292,326
03/04/2014,292,287,287,287,98
03/05/2014,287,300,292,300,1630
03/06/2014,300,316,306,316,652
03/09/2014,316,334,322,330,1161
03/10/2014,330,340,334,340,716
03/11/2014,340,359,346,359,634
03/12/2014,359,372,357,357,1336
03/17/2014,357,350,350,350,163
03/24/2014,350,344,344,344,114
04/01/2014,344,338,332,332,110
04/02/2014,332,326,326,326,163
04/03/2014,326,320,304,304,659
04/07/2014,304,301,295,295,815
04/27/2014,295,290,290,290,325
05/06/2014,290,285,285,285,228
05/07/2014,285,290,280,280,286
05/11/2014,280,275,275,275,118
05/13/2014,275,271,270,271,375
05/21/2014,271,290,270,290,535
05/22/2014,290,285,280,280,144
05/25/2014,280,295,280,295,191
05/26/2014,295,300,300,300,20
06/01/2014,300,296,296,296,98
06/17/2014,296,291,280,280,215
06/17/2014,296,291,280,280,215
06/18/2014,280,278,275,278,366
06/26/2014,278,273,268,268,207
06/29/2014,268,275,270,275,196
07/06/2014,275,280,275,280,123
07/07/2014,280,285,285,285,12
07/10/2014,285,300,290,300,328
07/13/2014,300,306,306,306,12
07/16/2014,306,324,312,324,187
07/17/2014,324,336,330,336,337
07/20/2014,336,342,342,342,40
07/21/2014,342,348,348,348,12
07/24/2014,348,354,354,354,114
07/30/2014,354,389,361,389,1093
07/31/2014,389,403,390,403,414
08/06/2014,403,411,411,411,76
08/07/2014,411,405,403,405,863
08/12/2014,405,405,405,405,48
08/28/2014,405,397,390,390,110
11/03/2014,390,390,390,390,40
11/23/2014,390,383,351,351,1193
11/24/2014,351,358,338,338,108
12/08/2014,338,332,332,332,81
12/09/2014,332,326,326,326,12
12/11/2014,326,320,296,296,256
12/14/2014,296,291,291,291,203
12/17/2014,291,286,281,281,827
12/24/2014,281,276,276,276,12
01/01/2015,276,271,271,271,359
01/18/2015,271,276,276,276,44
01/19/2015,276,275,262,275,3694
01/20/2015,275,270,265,265,406
01/22/2015,265,265,260,265,106
01/25/2015,265,260,260,260,163
01/28/2015,260,272,265,272,128
01/29/2015,272,296,272,296,1092
02/01/2015,296,300,297,300,584
