Date,Open,High,Low,Close,Volume
03/05/2013,0,333,333,333,80
11/14/2013,0,620,620,620,31500
01/01/2014,620,620,620,620,8580
01/14/2014,620,608,608,608,11500
01/16/2014,608,620,620,620,17160
03/06/2014,620,620,620,620,8580
04/20/2014,620,608,608,608,3500
04/29/2014,608,620,620,620,5000
05/07/2014,620,632,632,632,5000
05/22/2014,632,644,644,644,2200
05/25/2014,644,656,656,656,8580
05/28/2014,656,650,650,650,52000
08/19/2014,650,650,650,650,28759
08/28/2014,650,650,650,650,28759
10/14/2014,650,689,663,689,1500
10/15/2014,689,730,702,702,17317
10/16/2014,702,744,716,744,1500
10/19/2014,744,773,758,773,1000
10/20/2014,773,819,788,819,1500
10/21/2014,819,851,835,851,1000
10/22/2014,851,902,868,902,1500
10/26/2014,902,956,920,956,1500
10/27/2014,956,1000,975,1000,35583
12/08/2014,1000,1000,1000,1000,16247
12/11/2014,1000,1000,1000,1000,3822
12/14/2014,1000,980,980,980,2660
01/22/2015,980,980,980,980,1000
03/10/2015,980,1078,999,1078,5000
03/11/2015,1078,1100,1090,1100,95000
04/08/2015,1100,1100,1100,1100,40000
04/15/2015,1100,1078,1078,1078,3000
04/21/2015,1078,1078,1078,1078,20850
06/09/2015,1078,1057,1036,1036,5400
06/17/2015,1036,1020,1000,1000,23000
07/15/2015,1000,1020,1000,1020,39000
08/06/2015,1020,1025,1025,1025,50000
09/10/2015,1025,1005,1005,1005,1620
09/22/2015,1005,1025,1025,1025,13000
07/10/2016,1755,1755,1755,1755,2015
11/16/2016,1755,1755,1755,1755,3120
11/22/2016,1755,1720,1686,1686,1000
11/23/2016,1686,1686,1686,1686,8700
04/25/2017,1375,1375,1375,1375,25000
07/11/2017,1375,1348,1250,1250,78000
08/17/2017,1250,1225,1195,1195,28000
10/16/2017,1195,1172,1172,1172,14042
10/18/2017,1172,1175,1175,1175,37500
03/05/2018,715,715,715,715,218
