Date,Open,High,Low,Close,Volume
03/17/2014,0,352,352,352,20
03/18/2014,352,366,359,366,20
03/20/2014,366,366,366,366,10
03/23/2014,366,402,373,402,60
03/24/2014,402,426,410,426,52
03/25/2014,426,468,434,468,84
03/26/2014,468,477,477,477,10
03/27/2014,477,495,486,495,20
04/02/2014,495,534,504,534,40
04/06/2014,534,587,544,587,297
04/07/2014,587,587,587,587,30
04/09/2014,587,598,598,598,10
04/10/2014,598,598,598,598,20
04/13/2014,598,598,598,598,10
04/15/2014,598,633,609,633,30
04/16/2014,633,696,645,696,415
04/17/2014,696,765,709,765,231
04/20/2014,765,841,780,841,560
04/21/2014,841,908,779,891,4173
04/22/2014,891,900,835,870,1792
04/23/2014,870,887,840,880,2109
04/27/2014,880,877,846,848,479
04/28/2014,848,850,840,840,636
04/29/2014,840,870,831,845,340
04/30/2014,845,869,840,840,732
05/04/2014,840,870,832,870,1114
05/05/2014,870,904,880,880,560
05/06/2014,880,950,897,915,1550
05/07/2014,915,966,922,966,1541
05/08/2014,966,985,915,960,1349
05/11/2014,960,941,923,923,130
05/12/2014,923,920,873,890,238
05/13/2014,890,946,874,940,422
05/15/2014,940,922,922,922,30
05/15/2014,940,922,922,922,30
05/18/2014,922,922,870,870,250
05/19/2014,870,932,855,879,552
05/20/2014,879,918,896,918,500
05/21/2014,918,900,870,885,151
05/22/2014,885,885,869,885,201
05/25/2014,885,902,902,902,10
05/26/2014,902,884,875,875,121
05/27/2014,875,875,861,861,192
05/28/2014,861,878,860,878,221
06/01/2014,878,890,861,890,70
06/02/2014,890,900,873,890,190
06/03/2014,890,907,907,907,10
06/04/2014,907,905,836,855,260
06/05/2014,855,856,822,835,242
06/08/2014,835,821,820,821,20
06/09/2014,821,851,834,835,60
06/10/2014,835,855,819,855,100
06/11/2014,855,924,872,924,40
06/12/2014,924,925,925,925,10
06/15/2014,925,907,907,907,100
06/19/2014,907,889,889,889,60
06/24/2014,889,884,867,884,70
06/29/2014,884,901,901,901,49
06/30/2014,901,884,884,884,162
07/01/2014,884,867,867,867,30
07/02/2014,867,850,850,850,280
07/03/2014,850,845,845,845,91
07/06/2014,845,898,860,898,109
07/07/2014,898,933,915,933,20
07/09/2014,933,915,915,915,81
07/20/2014,915,1006,897,1000,3040
07/21/2014,1000,1100,1000,1036,3155
07/22/2014,1036,1020,962,999,1605
07/23/2014,999,1005,985,985,943
07/24/2014,985,966,932,935,447
07/30/2014,935,920,900,900,241
07/31/2014,900,882,850,852,84
08/03/2014,852,835,835,835,10
08/04/2014,835,820,820,820,70
08/05/2014,820,830,815,830,20
08/06/2014,830,846,835,835,367
08/07/2014,835,819,819,819,10
08/12/2014,819,835,835,835,100
08/13/2014,835,823,806,823,100
08/14/2014,823,830,825,825,191
08/18/2014,825,809,784,784,70
08/19/2014,784,799,784,799,211
08/20/2014,799,790,790,790,130
08/21/2014,790,800,800,800,50
08/24/2014,800,816,770,816,140
08/25/2014,816,810,795,795,131
08/27/2014,795,790,775,781,557
08/28/2014,781,796,796,796,10
08/31/2014,796,811,811,811,10
09/01/2014,811,800,784,790,308
09/03/2014,790,805,775,775,382
09/04/2014,775,775,760,760,120
09/07/2014,760,745,718,718,90
