Date,Open,High,Low,Close,Volume
03/30/2011,236,232,232,232,534
04/04/2011,232,228,224,224,68
04/07/2011,224,220,216,216,83
08/22/2011,216,212,212,212,355
08/29/2011,212,208,208,208,73
10/23/2011,208,208,208,208,296
10/24/2011,208,204,204,204,37
11/13/2011,204,200,200,200,20
07/01/2012,200,187,184,184,300
07/12/2012,184,181,181,181,40
07/26/2012,181,178,175,175,414
07/30/2012,175,172,158,158,385
07/31/2012,158,155,143,143,364
08/01/2012,143,141,129,129,492
08/05/2012,129,127,117,117,898
08/06/2012,117,117,117,117,247
08/07/2012,117,117,115,115,156
08/08/2012,115,114,110,110,460
08/12/2012,110,112,112,112,24
08/13/2012,112,116,114,116,78
08/14/2012,116,116,115,115,265
08/19/2012,115,115,115,115,10
08/26/2012,115,114,113,113,364
08/27/2012,113,113,113,113,39
08/28/2012,113,113,111,113,373
08/30/2012,113,115,115,115,36
09/05/2012,115,115,115,115,30
09/06/2012,115,113,110,112,1048
09/09/2012,112,114,110,114,401
09/13/2012,114,114,112,114,110
09/17/2012,114,112,112,112,12
09/23/2012,112,112,112,112,39
09/24/2012,112,112,111,112,479
09/25/2012,112,112,112,112,44
09/30/2012,111,109,109,109,77
10/01/2012,109,107,107,107,23
10/01/2012,109,107,107,107,23
10/02/2012,107,105,105,105,471
10/09/2012,105,103,103,103,77
10/10/2012,103,105,105,105,44
10/11/2012,105,107,107,107,17
10/17/2012,107,109,109,109,35
11/06/2012,109,107,107,107,167
11/07/2012,107,105,105,105,207
11/08/2012,105,108,106,108,1226
11/21/2012,108,106,106,106,10
11/22/2012,106,108,108,108,576
11/26/2012,108,106,106,106,100
12/10/2012,106,104,104,104,130
01/27/2013,104,104,102,104,200
01/31/2013,104,106,104,106,470
02/10/2013,106,105,105,105,40
02/19/2013,105,105,105,105,146
03/05/2013,105,105,105,105,74
03/07/2013,105,105,105,105,48
03/18/2013,105,103,101,101,99
03/20/2013,101,99,98,98,78
03/24/2013,98,99,97,99,188
03/27/2013,99,98,98,98,161
04/29/2013,98,98,98,98,154
05/05/2013,98,106,99,100,2699
05/06/2013,100,102,102,102,50
05/07/2013,102,104,104,104,100
05/12/2013,104,102,100,100,738
05/13/2013,100,100,100,100,60
05/14/2013,100,98,98,98,200
05/19/2013,98,97,97,97,100
06/04/2013,97,97,97,97,97
06/18/2013,97,98,98,98,53
09/30/2013,98,97,95,95,1466
10/29/2013,95,96,95,95,1414
12/08/2013,95,96,96,96,908
12/11/2013,96,99,97,99,60
12/12/2013,99,108,100,108,295
01/20/2014,108,106,106,106,1440
01/21/2014,106,104,104,104,156
02/02/2014,104,114,106,114,75
02/03/2014,114,125,116,125,120
02/04/2014,125,135,127,133,2810
02/06/2014,146,160,148,160,3168
02/09/2014,160,176,163,176,807
02/10/2014,176,179,179,179,200
02/12/2014,179,179,170,170,797
02/16/2014,170,167,167,167,50
02/18/2014,167,164,161,161,1212
02/23/2014,161,158,158,158,178
04/15/2014,158,155,152,152,153
04/28/2014,152,149,145,145,243
04/30/2014,145,147,147,147,256
05/06/2014,147,145,145,145,192
05/07/2014,145,143,143,143,83
05/11/2014,143,145,145,145,509
05/20/2014,145,143,143,143,100
06/11/2014,143,141,139,139,677
06/12/2014,139,137,137,137,187
06/17/2014,137,135,135,135,14
06/17/2014,137,135,135,135,14
06/18/2014,135,133,133,133,146
06/19/2014,133,133,131,131,1013
06/26/2014,131,132,130,130,541
06/29/2014,130,132,132,132,82
06/30/2014,132,132,130,130,317
07/01/2014,130,138,132,138,301
07/06/2014,138,136,136,136,401
07/07/2014,136,138,136,136,901
07/08/2014,136,138,138,138,201
07/14/2014,138,140,140,140,18
07/15/2014,140,144,142,144,164
07/20/2014,144,148,146,148,135
07/22/2014,148,162,150,162,80
07/23/2014,162,168,165,168,20
07/24/2014,168,174,171,174,817
07/27/2014,174,183,177,183,109
07/28/2014,183,189,186,189,319
07/30/2014,189,201,192,201,306
07/31/2014,201,221,203,221,2160
08/03/2014,221,225,218,218,1631
08/04/2014,218,218,207,207,1820
08/05/2014,207,211,207,207,585
08/06/2014,207,203,197,197,176
08/07/2014,197,197,195,195,190
08/14/2014,195,198,198,198,1127
08/18/2014,198,195,195,195,809
08/19/2014,195,201,198,200,651
08/20/2014,200,196,196,196,35
09/11/2014,196,195,195,195,100
10/13/2014,195,195,195,195,27
10/15/2014,195,192,180,180,367
10/28/2014,180,177,163,163,430
10/30/2014,163,160,160,160,12
11/02/2014,160,157,157,157,50
11/03/2014,157,154,154,154,82
11/04/2014,154,157,151,151,780
12/18/2014,143,141,141,141,164
01/19/2015,141,139,139,139,73
01/28/2015,139,137,137,137,32
02/01/2015,137,137,135,137,398
02/02/2015,137,145,139,145,164
02/03/2015,145,159,147,159,446
02/04/2015,159,165,159,159,1006
03/03/2015,159,156,144,144,890
03/09/2015,144,158,146,158,5489
03/10/2015,158,173,161,173,2791
03/11/2015,173,170,158,159,2612
03/12/2015,159,168,162,167,2160
03/16/2015,167,169,169,169,755
03/18/2015,169,169,166,168,1899
03/19/2015,168,168,162,162,781
03/23/2015,162,160,157,157,101
03/25/2015,157,154,154,154,147
03/29/2015,154,151,148,148,1500
03/30/2015,148,146,145,145,241
03/31/2015,145,151,147,151,1750
04/08/2015,151,148,148,148,500
04/15/2015,148,146,145,145,483
04/19/2015,145,143,139,141,1171
05/31/2015,141,139,139,139,27
06/01/2015,139,138,134,134,456
06/22/2015,134,134,131,132,1306
06/23/2015,132,130,128,130,193
06/25/2015,130,128,128,128,87
06/28/2015,128,132,130,132,78
07/09/2015,132,134,133,134,1240
07/13/2015,134,136,135,136,166
07/16/2015,136,134,134,134,44
07/23/2015,134,136,136,136,198
07/26/2015,136,138,138,138,51
07/27/2015,138,142,140,140,319
07/29/2015,140,142,140,140,330
07/30/2015,140,139,139,139,64
08/06/2015,139,137,135,137,608
08/09/2015,137,137,137,137,87
08/10/2015,137,135,129,131,767
08/11/2015,131,130,130,130,45
08/12/2015,130,128,124,124,360
08/13/2015,124,128,126,128,1206
08/20/2015,128,132,128,128,1323
08/23/2015,128,130,125,125,1526
09/16/2015,125,127,127,127,60
