Date,Open,High,Low,Close,Volume
04/21/2011,213,195,195,195,3500
03/27/2013,195,198,198,198,29140
10/29/2013,198,198,198,198,1457
12/05/2013,100,0,0,198,140993
12/22/2014,284,283,283,283,3825
03/01/2015,283,283,283,283,600
04/06/2015,283,283,283,283,165
06/28/2015,283,278,278,278,25000
06/30/2015,278,278,278,278,600
07/11/2017,196,199,199,199,200770
07/20/2017,199,199,199,199,43753
07/25/2017,199,199,199,199,3759
07/26/2017,199,202,202,202,109849
08/03/2017,202,202,202,202,9309
08/13/2017,202,202,202,202,14876
08/16/2017,202,202,202,202,11207
08/17/2017,202,202,202,202,6406
08/21/2017,202,202,202,202,3680
08/31/2017,202,202,202,202,70769
09/10/2017,202,202,202,202,3203
09/24/2017,202,202,202,202,110000
10/12/2017,202,200,200,200,38437
11/06/2017,200,200,200,200,1472
11/08/2017,200,200,200,200,11800
11/12/2017,200,200,200,200,21740
11/23/2017,200,200,200,200,29976
12/31/2017,200,200,200,200,484808
01/14/2018,200,200,200,200,1000
01/16/2018,200,196,196,196,19250
01/22/2018,196,195,195,195,18480
01/25/2018,195,186,186,186,11480
02/04/2018,195,195,195,195,28825
02/26/2018,195,195,195,195,279500
03/06/2018,195,195,195,195,80000
03/20/2018,195,195,195,195,1000
03/29/2018,200,200,200,200,100
04/04/2018,195,195,195,195,13964
04/18/2018,190,226,170,195,2600
