Date,Open,High,Low,Close,Volume
11/15/2017,293,322,298,322,2490
11/16/2017,322,328,290,306,16351
11/19/2017,306,300,276,278,5206
11/20/2017,278,275,251,253,1770
11/21/2017,253,252,247,251,1680
11/22/2017,251,264,254,254,580
11/23/2017,254,259,251,252,420
11/26/2017,252,277,251,265,1430
11/27/2017,265,271,254,265,2928
11/28/2017,265,265,260,265,376
11/29/2017,265,270,260,260,1820
11/30/2017,260,264,259,261,2930
12/04/2017,261,261,252,255,600
12/05/2017,255,254,251,253,420
12/06/2017,253,255,249,255,430
12/10/2017,255,251,250,250,2287
12/11/2017,250,249,245,245,240
12/12/2017,245,253,241,253,160
12/13/2017,253,255,242,246,843
12/14/2017,246,242,240,240,70
12/17/2017,240,242,236,240,220
12/18/2017,240,241,235,235,110
12/19/2017,235,236,232,232,210
12/20/2017,232,232,228,229,500
12/21/2017,229,229,226,226,240
12/24/2017,226,227,218,221,1195
12/26/2017,221,217,213,215,1570
12/27/2017,215,211,203,207,100
12/28/2017,207,207,203,206,280
12/31/2017,206,215,200,211,940
01/01/2018,211,217,211,217,80
01/02/2018,217,221,213,218,130
01/03/2018,218,216,214,216,40
01/04/2018,216,217,212,217,50
01/07/2018,217,220,216,220,160
01/08/2018,220,229,220,229,270
01/09/2018,229,229,227,229,110
01/10/2018,229,229,221,229,90
01/14/2018,229,230,222,222,90
01/16/2018,222,218,215,215,90
01/17/2018,215,219,213,216,423
01/21/2018,216,218,212,215,220
01/22/2018,215,218,211,216,120
01/23/2018,216,214,212,213,110
01/24/2018,213,220,214,220,340
01/25/2018,220,220,216,216,90
01/28/2018,216,215,212,215,100
01/29/2018,215,218,213,215,250
01/31/2018,215,213,208,210,160
02/01/2018,210,207,206,207,70
02/04/2018,207,209,207,207,300
02/05/2018,207,206,204,204,70
02/06/2018,204,204,204,204,40
02/07/2018,204,208,204,207,880
02/08/2018,207,209,202,207,70
02/11/2018,207,211,208,211,140
02/12/2018,211,208,208,208,30
02/14/2018,208,215,200,215,330
02/15/2018,215,222,216,218,190
02/18/2018,222,222,211,211,520
02/20/2018,210,214,210,212,130
02/21/2018,208,214,208,214,100
02/22/2018,210,214,210,213,540
02/25/2018,210,210,203,210,160
02/26/2018,213,213,205,206,50
02/27/2018,206,206,206,206,10
02/28/2018,202,205,202,203,70
03/04/2018,199,199,196,196,170
03/06/2018,199,199,187,190,220
03/07/2018,187,196,184,196,70
03/11/2018,194,197,194,194,1866
03/12/2018,197,198,194,198,130
03/13/2018,199,199,199,199,10
03/14/2018,199,199,199,199,10
03/15/2018,196,196,195,195,40
03/18/2018,192,196,189,189,110
03/19/2018,186,187,186,186,80
03/20/2018,183,184,180,180,80
03/21/2018,180,180,177,180,80
03/22/2018,177,180,177,180,70
03/26/2018,180,180,177,180,30
03/27/2018,177,180,174,180,70
03/28/2018,180,180,180,180,30
03/29/2018,180,183,180,183,170
04/01/2018,183,192,183,189,280
04/02/2018,186,189,185,189,70
04/03/2018,192,192,190,192,160
04/04/2018,195,195,192,195,60
04/05/2018,192,196,189,191,150
04/08/2018,188,193,188,193,180
04/09/2018,192,198,189,189,710
04/10/2018,186,190,184,190,280
04/11/2018,192,202,192,202,250
04/12/2018,199,200,195,195,350
04/15/2018,192,192,189,190,80
04/16/2018,190,191,188,189,190
04/17/2018,190,199,190,195,100
04/18/2018,192,208,190,204,140
04/19/2018,204,214,202,214,250
04/22/2018,218,218,210,210,100
04/23/2018,214,215,206,210,180
04/24/2018,208,208,204,205,540
04/25/2018,201,205,201,201,190
04/26/2018,197,197,195,196,200
04/29/2018,193,195,193,195,60
05/02/2018,192,192,187,187,270
05/03/2018,184,190,184,190,130
05/06/2018,188,191,188,188,240
