Date,Open,High,Low,Close,Volume
04/27/2011,360,360,360,360,2009
05/18/2011,360,360,360,360,6466
06/29/2011,360,353,346,346,4070
08/01/2011,346,340,340,340,1375
09/25/2011,340,340,340,340,20
11/13/2011,340,334,334,334,120
11/20/2011,334,328,322,322,5439
11/28/2011,322,316,290,290,1126
01/18/2012,280,275,252,252,1088
01/25/2012,252,250,250,250,75
01/29/2012,250,250,245,245,357
01/31/2012,245,241,241,241,27
02/01/2012,241,244,244,244,13
02/06/2012,244,242,236,238,10686
02/13/2012,238,234,234,234,54
02/15/2012,234,230,230,230,1201
02/28/2012,230,230,230,230,48
02/29/2012,230,227,226,227,270
03/01/2012,227,223,223,223,39
03/04/2012,223,219,215,215,163
03/06/2012,215,211,211,211,377
03/11/2012,211,211,211,211,13
03/18/2012,211,207,207,207,13
03/19/2012,207,203,203,203,46
03/21/2012,203,199,196,196,375
03/28/2012,196,193,190,190,1948
04/09/2012,190,190,190,190,50
04/30/2012,190,209,193,209,6097
05/07/2012,209,221,213,221,8082
05/29/2012,221,222,222,222,3170
06/12/2012,222,202,198,200,557
06/13/2012,200,204,200,204,163
07/30/2012,204,208,208,208,116
08/14/2012,208,212,212,212,136
08/15/2012,212,209,209,209,246
09/09/2012,209,219,219,219,20
09/11/2012,219,229,229,229,20
09/12/2012,229,240,240,240,20
09/13/2012,240,252,252,252,20
09/16/2012,252,264,264,264,20
09/17/2012,264,282,277,282,184
09/18/2012,282,286,286,286,20
09/19/2012,286,300,294,294,3717
09/20/2012,294,323,308,323,56
09/23/2012,323,345,339,339,282
09/24/2012,339,334,321,321,135
11/25/2012,321,320,315,315,273
12/03/2012,315,311,290,290,127
12/05/2012,290,299,295,299,478
12/11/2012,299,295,294,294,512
12/12/2012,294,290,290,290,19
12/16/2012,290,290,290,290,13
12/20/2012,290,291,291,291,62
12/23/2012,291,291,291,291,624
12/24/2012,291,301,296,301,761
12/26/2012,301,307,307,307,624
12/31/2012,307,307,307,307,859
02/05/2013,307,256,256,256,5149
03/05/2013,256,251,246,246,205
03/20/2013,246,250,249,250,257
04/03/2013,250,247,247,247,50
04/04/2013,247,246,246,246,50
04/29/2013,246,249,249,249,32
05/02/2013,249,245,245,245,100
05/09/2013,245,245,245,245,51
05/20/2013,245,245,245,245,317
06/03/2013,245,249,249,249,454
06/10/2013,249,253,253,253,2600
06/27/2013,253,253,245,253,11628
07/09/2013,253,250,250,250,11031
07/22/2013,250,245,233,233,617
07/30/2013,233,241,237,241,22
08/06/2013,241,249,245,249,595
08/07/2013,249,258,253,258,1354
08/08/2013,258,273,253,273,2754
08/11/2013,273,278,273,273,5333
08/12/2013,273,268,249,250,3487
