Date,Open,High,Low,Close,Volume
04/02/2012,0,177,171,171,282441
01/13/2013,171,410,410,410,100
09/24/2014,100,0,0,100,788840
09/28/2014,100,0,0,100,389468
09/29/2014,100,0,0,100,6220
12/01/2014,418,411,411,411,3718
12/07/2014,411,419,419,419,50
12/10/2014,419,430,423,423,1000
12/11/2014,423,439,431,439,2200
12/14/2014,439,432,432,432,400
12/17/2014,432,448,440,448,300
12/21/2014,448,456,456,456,100
12/22/2014,456,465,465,465,200
12/24/2014,465,483,474,480,900
12/28/2014,480,489,475,481,800
12/28/2014,480,489,475,481,800
12/31/2014,481,472,470,470,950
01/04/2015,470,475,470,475,2500
01/06/2015,475,499,478,490,2880
01/07/2015,490,481,481,481,800
01/11/2015,481,472,468,468,5200
01/12/2015,468,462,460,460,3000
01/13/2015,460,466,460,460,1800
01/14/2015,460,468,468,468,500
01/19/2015,468,504,477,490,2700
01/25/2015,490,495,495,495,2024231
01/26/2015,401,0,0,495,1602173
01/27/2015,495,505,481,504,7450
01/28/2015,504,505,500,500,137606
01/29/2015,500,507,498,507,726816
02/01/2015,507,517,505,505,57179
02/02/2015,505,510,500,510,324037
02/03/2015,510,515,505,505,52798
02/04/2015,505,510,495,495,60242
02/08/2015,495,500,491,491,1300
02/09/2015,491,490,480,485,4350
02/10/2015,485,485,476,485,1800
02/11/2015,485,490,485,490,2000
02/12/2015,490,492,492,492,434
02/15/2015,492,491,490,490,79205
02/16/2015,490,491,490,491,4235
02/16/2015,490,491,490,491,4235
02/18/2015,491,498,492,492,32609
02/22/2015,492,502,492,492,16730
02/23/2015,492,490,485,485,6642
02/24/2015,485,488,479,480,765878
02/25/2015,480,480,480,480,1200
02/26/2015,480,480,479,480,1700
03/01/2015,480,485,482,482,600
03/02/2015,482,499,480,490,6854
03/03/2015,490,492,485,490,25459
03/04/2015,490,495,491,491,894
03/09/2015,491,498,495,495,7037
03/10/2015,495,495,490,490,11000
03/11/2015,490,494,494,494,500
03/12/2015,494,496,490,490,8100
03/15/2015,490,489,489,489,500
03/16/2015,489,490,487,487,5200
03/17/2015,487,492,487,492,5383
03/18/2015,492,492,490,490,2140
03/19/2015,490,492,487,492,6743
03/22/2015,492,494,490,490,8600
03/23/2015,490,492,490,490,16225
03/24/2015,490,494,490,490,11363
03/25/2015,490,492,488,491,12894
03/26/2015,491,487,482,485,14279
03/29/2015,485,484,476,482,1500
03/30/2015,482,482,480,480,13077
03/31/2015,480,485,485,485,500
04/01/2015,485,485,485,485,475
04/02/2015,485,488,485,488,1278
04/05/2015,488,488,488,488,700
04/06/2015,488,490,485,485,4072
04/08/2015,485,490,485,490,5000
04/09/2015,490,495,490,495,1790
04/12/2015,495,500,495,499,3622
04/13/2015,499,503,499,500,2400
04/15/2015,500,504,499,504,11000
04/16/2015,504,504,503,504,380
04/19/2015,504,495,495,495,2000
04/20/2015,495,504,495,499,4700
04/21/2015,499,500,495,495,6750
04/22/2015,495,498,498,498,2128
04/23/2015,498,500,496,498,4700
05/24/2015,498,489,449,449,2100
05/25/2015,449,441,417,435,17563
05/26/2015,435,459,443,446,8928
05/27/2015,446,454,445,445,12965
05/28/2015,445,463,450,458,12489
05/31/2015,458,475,465,472,16971
06/01/2015,472,483,475,483,12200
06/02/2015,483,482,471,482,7630
06/03/2015,482,491,483,484,11582
06/04/2015,484,486,484,486,3700
06/07/2015,486,490,485,490,2750
06/08/2015,490,525,499,507,9210
06/08/2015,490,525,499,507,9210
06/08/2015,490,525,499,507,9210
06/09/2015,507,522,513,517,36100
06/10/2015,517,518,507,507,16475
06/11/2015,507,505,496,505,15525
06/14/2015,505,510,501,510,3183
06/15/2015,510,511,505,507,13589
06/16/2015,507,511,507,511,42377
06/17/2015,511,511,504,504,6366
06/18/2015,504,505,500,502,14075
06/21/2015,502,505,500,500,10600
06/22/2015,500,500,496,500,3130
06/23/2015,500,502,500,500,5190
06/24/2015,500,505,500,502,10000
06/25/2015,502,510,500,500,28200
06/28/2015,500,506,500,506,64800
06/29/2015,506,510,505,509,7150
06/30/2015,509,508,506,508,10550
07/01/2015,508,510,505,505,5986
07/02/2015,505,508,506,507,9400
07/05/2015,507,510,510,510,5200
07/07/2015,510,510,500,510,23600
07/08/2015,510,510,509,509,7550
07/09/2015,509,509,509,509,2500
07/12/2015,509,515,510,510,9916
07/13/2015,510,512,510,512,6200
07/14/2015,512,512,512,512,10800
07/15/2015,512,530,512,530,16475
07/16/2015,530,538,520,520,200
07/22/2015,520,530,513,530,3000
07/23/2015,530,550,533,541,24137
07/26/2015,541,595,551,595,10420
07/27/2015,595,654,600,605,32445
07/28/2015,605,600,585,587,16108
07/29/2015,587,577,566,570,10400
07/30/2015,570,603,581,590,12100
08/02/2015,590,601,592,595,2250
08/03/2015,595,594,585,590,456154
08/04/2015,590,605,584,605,17400
08/05/2015,605,603,590,600,19100
08/06/2015,600,610,600,606,76515
08/09/2015,606,666,613,655,44701
08/10/2015,655,704,668,695,44482
08/11/2015,695,704,680,695,40825
08/12/2015,695,703,681,699,26868
08/13/2015,699,748,700,720,92073
08/16/2015,720,792,734,792,56445
08/17/2015,792,856,790,831,64184
08/18/2015,831,835,792,820,50842
08/18/2015,831,835,792,820,50842
08/19/2015,820,823,795,800,42769
08/20/2015,800,850,800,800,34971
08/23/2015,800,805,785,800,23648
08/24/2015,800,800,780,787,16390
08/25/2015,787,790,761,785,11346
08/26/2015,785,785,774,778,7050
08/27/2015,778,787,771,771,20337
08/31/2015,771,808,773,808,41354
09/01/2015,808,820,800,812,65226
09/02/2015,812,812,794,800,58479
09/03/2015,800,805,795,800,18815
09/06/2015,800,808,792,801,53016
09/07/2015,801,810,800,801,39675
09/08/2015,801,814,804,805,25896
09/09/2015,805,820,807,814,13970
09/10/2015,814,825,800,825,66335
09/13/2015,825,845,825,840,30404
09/14/2015,840,875,810,848,60913
09/15/2015,848,870,848,870,54814
09/16/2015,870,887,860,876,42899
09/17/2015,876,888,856,856,26447
09/22/2015,856,870,820,820,42414
09/23/2015,820,860,836,850,12619
09/24/2015,850,855,833,851,46000
09/28/2015,851,877,818,857,37600
09/29/2015,857,870,850,861,37950
09/30/2015,861,876,862,865,15180
10/01/2015,865,869,859,859,14306
10/04/2015,859,870,855,860,31840
10/05/2015,860,860,845,848,21910
10/06/2015,848,862,840,845,12995
10/07/2015,845,840,820,840,7900
10/08/2015,840,850,826,850,28226
10/11/2015,850,840,826,835,27290
10/14/2015,835,841,835,835,7893
10/15/2015,835,845,834,839,36294
10/18/2015,839,835,821,821,30690
10/19/2015,821,830,823,826,15463
10/25/2015,826,830,828,830,1550
10/27/2015,830,817,800,800,16210
10/28/2015,800,832,770,804,18980
10/29/2015,804,834,815,821,68604
11/01/2015,617,641,600,606,1920
11/02/2015,606,618,600,615,2600
11/03/2015,615,612,603,610,1500
11/04/2015,610,610,601,605,11950
11/05/2015,605,603,599,600,2300
11/08/2015,600,592,588,590,4760
11/09/2015,590,602,596,600,3800
11/10/2015,600,600,590,600,1960
11/15/2015,600,600,594,599,2700
11/16/2015,599,602,590,600,6240
11/18/2015,600,600,595,596,7320
11/19/2015,596,590,587,590,3100
11/22/2015,590,590,568,570,1033
11/23/2015,570,580,570,579,8450
11/24/2015,579,570,565,565,4800
11/25/2015,565,560,550,550,8330
11/26/2015,550,540,531,534,9050
11/29/2015,534,526,515,519,6480
11/30/2015,519,536,510,527,7810
12/01/2015,527,579,519,579,6560
12/02/2015,579,568,546,551,13860
12/03/2015,551,572,555,561,3110
12/06/2015,561,576,554,575,7070
12/07/2015,575,608,570,575,2680
12/08/2015,575,580,570,570,1400
12/09/2015,570,589,575,575,1930
12/10/2015,575,570,564,570,850
12/13/2015,570,580,571,580,1450
12/14/2015,580,575,570,570,2200
12/15/2015,570,560,560,560,100
12/16/2015,560,570,560,560,4400
12/17/2015,560,560,555,555,1680
12/20/2015,555,561,550,561,7580
12/21/2015,561,581,565,570,16230
12/22/2015,570,585,572,585,19210
12/23/2015,585,601,570,581,11800
12/24/2015,581,585,578,580,7600
12/27/2015,580,580,575,577,5990
12/28/2015,577,586,576,576,7640
12/29/2015,576,585,580,585,3700
12/31/2015,585,589,580,585,5194
01/03/2016,585,601,585,600,1930
01/04/2016,600,591,585,591,3460
01/05/2016,591,593,591,591,4490
01/06/2016,591,623,600,620,23007
01/07/2016,620,659,611,657,34814
01/10/2016,657,682,650,662,32810
01/11/2016,662,665,649,651,10990
01/12/2016,651,655,640,650,9400
01/12/2016,651,655,640,650,9400
01/13/2016,650,655,641,650,10505
01/14/2016,650,665,645,659,62550
01/17/2016,659,685,672,676,5275
01/18/2016,676,690,650,670,28650
01/19/2016,670,675,660,671,22755
01/20/2016,671,680,666,672,11964
01/21/2016,672,678,672,673,15824
01/24/2016,673,693,665,693,49019
01/25/2016,693,708,683,705,55702
01/26/2016,705,708,700,700,16098
01/27/2016,700,701,688,691,14950
01/28/2016,691,701,678,700,9988
01/31/2016,700,726,700,726,32200
02/01/2016,726,768,739,768,49180
02/02/2016,768,800,760,789,54261
02/03/2016,789,790,780,780,32051
02/04/2016,780,800,775,784,23189
02/07/2016,784,798,770,772,22700
02/08/2016,772,787,770,777,14540
02/11/2016,777,790,780,789,19214
02/14/2016,789,856,803,836,50278
02/15/2016,836,836,819,831,30269
02/16/2016,831,831,820,827,24276
02/17/2016,827,830,815,829,14564
02/18/2016,829,841,825,835,31826
02/21/2016,835,860,840,856,29344
02/22/2016,856,884,850,881,32336
02/23/2016,881,897,854,881,71616
02/24/2016,881,875,833,860,55126
02/25/2016,860,889,840,884,67570
02/28/2016,884,937,901,911,54515
02/29/2016,911,911,895,903,16228
03/01/2016,903,905,878,891,12676
03/02/2016,891,900,875,875,14290
03/03/2016,875,865,840,856,9268
03/06/2016,856,849,838,840,10015
03/10/2016,840,841,817,840,12770
03/13/2016,840,856,831,840,10500
03/14/2016,840,836,817,830,9883
03/15/2016,830,831,815,818,6778
03/16/2016,818,833,803,833,9510
03/17/2016,833,840,832,838,10450
03/20/2016,838,853,830,845,13730
03/21/2016,845,847,838,847,6303
03/23/2016,847,854,830,840,8090
03/24/2016,840,850,843,850,4948
03/27/2016,850,880,850,863,13430
03/28/2016,863,860,850,859,12580
03/29/2016,859,858,849,850,8200
03/30/2016,850,855,845,847,3780
03/31/2016,847,845,835,835,3731
04/03/2016,835,836,820,836,4210
04/04/2016,836,838,829,835,4770
04/05/2016,835,875,840,875,16889
04/06/2016,875,914,880,891,27399
04/10/2016,891,926,900,922,40379
04/11/2016,922,930,905,930,30288
04/12/2016,930,946,920,945,15535
04/14/2016,945,963,940,963,9961
04/17/2016,963,975,950,957,20360
04/18/2016,957,994,955,970,17989
04/19/2016,970,980,969,972,24200
04/20/2016,972,1010,975,986,44528
04/21/2016,986,1005,990,1000,25546
04/24/2016,1000,1039,1000,1017,31175
04/25/2016,1017,1018,1011,1015,17477
04/26/2016,1015,1020,994,1007,34595
04/27/2016,1007,1013,995,1007,15956
04/28/2016,1007,1010,995,1001,18705
05/02/2016,1001,1021,1000,1000,48112
05/03/2016,1000,1000,980,990,14663
05/04/2016,990,985,966,974,10180
05/05/2016,974,985,950,970,11915
05/08/2016,970,975,960,965,6720
05/09/2016,965,965,951,952,6300
05/10/2016,952,971,941,942,9570
05/11/2016,942,932,915,930,8285
05/12/2016,930,963,940,949,3490
05/15/2016,949,940,930,931,3400
05/16/2016,931,930,920,930,6000
05/17/2016,930,955,930,955,3585
05/18/2016,955,955,945,955,8425
05/19/2016,955,955,940,945,3099
05/22/2016,945,930,911,912,16006
05/23/2016,912,941,905,928,9635
05/24/2016,928,968,930,953,11368
05/25/2016,953,969,916,930,12313
05/26/2016,930,940,912,929,17065
05/29/2016,929,920,909,918,11301
05/30/2016,918,925,909,910,16029
05/31/2016,910,921,905,905,6726
06/01/2016,905,918,887,904,11236
06/02/2016,904,900,886,890,28985
06/05/2016,890,900,870,880,12268
06/06/2016,880,897,885,885,4376
06/07/2016,885,910,890,900,14381
06/08/2016,900,900,884,884,5358
06/09/2016,884,890,875,880,10444
06/12/2016,880,947,870,929,6844
06/13/2016,929,965,906,915,12483
06/14/2016,915,910,900,900,8824
06/15/2016,900,910,891,899,7712
06/16/2016,899,900,886,897,6427
06/19/2016,897,886,880,880,3939
06/20/2016,880,886,868,880,21281
06/21/2016,880,890,868,879,14540
06/22/2016,879,897,880,880,8663
06/23/2016,880,897,865,888,7220
06/26/2016,888,900,880,894,13794
06/27/2016,894,917,890,910,36390
06/28/2016,910,946,900,919,34793
06/29/2016,919,921,896,900,21134
06/30/2016,900,910,896,900,20681
07/03/2016,900,900,882,885,12721
07/04/2016,885,890,880,882,6347
07/05/2016,882,890,874,889,12456
07/06/2016,889,895,881,888,53988
07/10/2016,888,905,881,884,50023
07/11/2016,884,896,880,882,11273
07/12/2016,882,878,843,856,10477
07/13/2016,856,889,861,861,2253
07/14/2016,861,898,862,897,22905
07/17/2016,897,914,896,913,21734
07/18/2016,913,943,910,930,41730
07/19/2016,930,985,932,955,14013
07/20/2016,955,976,945,945,27502
07/21/2016,945,956,931,950,13515
07/25/2016,950,960,932,960,17913
07/26/2016,960,995,960,990,41799
07/27/2016,990,1025,973,977,9980
07/28/2016,977,975,960,966,6803
07/31/2016,966,960,943,950,4784
08/01/2016,950,936,926,930,5378
08/02/2016,930,920,910,918,4896
08/03/2016,918,920,900,915,9337
08/04/2016,915,909,880,884,14389
08/07/2016,884,936,886,890,19367
08/08/2016,890,880,860,860,7196
08/09/2016,860,895,877,895,526
08/10/2016,895,911,865,887,11125
08/11/2016,887,886,880,886,8857
08/14/2016,886,883,865,868,4779
08/15/2016,868,868,846,852,13516
08/16/2016,852,877,855,862,17589
08/17/2016,862,900,865,900,12115
08/21/2016,900,918,899,918,21597
08/22/2016,918,936,890,890,28762
08/23/2016,890,910,886,895,40199
