Date,Open,High,Low,Close,Volume
03/20/2011,555,560,560,560,104
03/24/2011,570,565,560,561,640
03/25/2011,561,561,543,543,961
03/27/2011,543,540,535,535,245
03/28/2011,535,539,510,510,687
03/29/2011,510,510,491,491,311
03/30/2011,491,510,500,505,532
03/31/2011,505,530,505,530,318
04/04/2011,530,539,529,530,872
04/05/2011,530,534,530,530,207
04/06/2011,530,531,520,520,876
04/07/2011,520,531,521,531,20
04/10/2011,531,535,535,535,66
04/11/2011,535,531,526,527,500
04/13/2011,527,525,525,525,267
04/17/2011,525,540,530,535,156
04/18/2011,535,535,535,535,153
04/19/2011,535,536,535,535,73
04/20/2011,535,535,525,530,766
04/21/2011,530,525,505,509,981
04/25/2011,509,500,485,485,581
04/27/2011,485,499,490,499,255
04/28/2011,499,501,482,485,840
05/02/2011,485,480,478,478,134
05/03/2011,478,495,475,486,613
05/04/2011,486,495,486,495,211
05/05/2011,495,502,488,488,838
05/08/2011,488,490,480,480,1262
05/09/2011,480,489,489,489,86
05/10/2011,489,495,486,495,619
05/12/2011,495,501,497,497,121
05/16/2011,497,506,497,506,52
05/18/2011,506,510,510,510,138
05/19/2011,510,510,500,500,1365
05/22/2011,500,495,491,492,117
05/23/2011,492,501,491,491,496
05/24/2011,491,500,500,500,156
05/25/2011,500,507,475,507,4677
05/30/2011,507,500,497,500,252
05/31/2011,500,500,475,475,3319
06/01/2011,475,493,475,484,1360
06/02/2011,484,490,481,481,140
06/05/2011,481,490,485,490,372
06/06/2011,490,485,482,482,208
06/07/2011,482,474,463,470,311
06/08/2011,470,479,470,479,459
06/09/2011,479,470,461,461,68
06/13/2011,461,454,454,454,17
06/15/2011,454,454,409,409,616
06/16/2011,409,401,400,400,714
06/23/2011,400,436,420,436,500
06/26/2011,436,479,444,479,1755
06/27/2011,479,471,453,455,529
06/29/2011,455,455,440,440,673
06/30/2011,440,456,448,456,204
07/03/2011,456,490,465,490,1756
07/04/2011,490,500,487,500,2397
07/05/2011,500,520,500,511,1960
07/06/2011,511,540,510,522,3733
07/10/2011,522,525,515,516,962
07/11/2011,516,517,506,516,2446
07/12/2011,516,530,516,530,640
07/13/2011,530,561,540,540,1400
07/14/2011,540,579,550,565,1858
07/17/2011,565,587,576,587,717
07/18/2011,587,645,598,609,2197
07/19/2011,609,630,612,615,4001
07/20/2011,615,620,615,620,1024
07/21/2011,620,632,605,605,3322
07/24/2011,605,610,572,572,922
07/26/2011,572,570,565,565,690
07/27/2011,565,595,557,595,3366
07/28/2011,595,602,588,588,250
07/31/2011,588,588,579,579,401
08/01/2011,579,568,568,568,156
08/02/2011,568,565,557,557,461
08/03/2011,557,553,548,548,756
08/04/2011,548,548,538,539,1190
08/07/2011,539,550,535,550,605
08/08/2011,550,540,540,540,1394
08/09/2011,540,550,525,550,1239
08/10/2011,550,551,541,551,1214
08/11/2011,551,559,545,559,767
08/15/2011,559,579,569,579,300
08/16/2011,579,570,568,570,411
08/17/2011,570,570,570,570,76
08/18/2011,570,580,565,580,316
08/22/2011,580,569,558,558,163
08/23/2011,558,547,537,541,588
08/25/2011,541,531,512,530,1975
08/28/2011,530,520,510,510,362
08/29/2011,510,501,481,500,1285
08/30/2011,500,528,508,509,697
09/04/2011,509,520,502,502,682
09/06/2011,502,495,495,495,97
09/07/2011,495,505,503,505,370
09/08/2011,505,505,500,505,192
09/12/2011,505,505,495,495,1153
09/13/2011,495,495,471,471,532
09/14/2011,471,471,443,443,1473
09/15/2011,443,459,445,459,475
09/18/2011,459,459,459,459,100
09/19/2011,459,450,446,446,688
09/20/2011,446,460,445,460,818
09/21/2011,460,455,450,451,228
09/22/2011,451,455,450,455,400
09/25/2011,455,476,464,476,732
09/26/2011,476,476,465,465,319
09/27/2011,465,475,465,475,915
09/29/2011,475,480,480,480,100
10/02/2011,480,498,489,498,110
10/16/2011,498,494,485,494,133
10/17/2011,494,491,488,491,494
10/18/2011,491,500,491,491,347
10/19/2011,491,500,490,490,182
10/20/2011,490,510,490,510,2440
10/23/2011,510,515,515,515,20
10/24/2011,515,524,508,508,2193
10/25/2011,508,509,500,500,506
10/30/2011,500,490,482,488,551
10/31/2011,488,499,480,499,1440
11/02/2011,499,528,508,528,160
11/03/2011,528,532,520,526,4055
11/08/2011,526,477,477,477,155
11/09/2011,477,480,462,462,2403
11/10/2011,462,465,465,465,23
11/13/2011,465,466,460,463,182
11/14/2011,463,454,454,454,52
11/15/2011,454,450,450,450,100
11/17/2011,450,451,450,451,96
11/20/2011,451,455,450,455,3456
11/21/2011,455,460,452,460,605
11/22/2011,460,455,452,455,1561
11/23/2011,455,455,455,455,300
11/27/2011,455,450,447,450,530
12/01/2011,449,449,449,449,267
12/04/2011,449,441,441,441,78
12/05/2011,441,445,438,440,264
12/07/2011,440,435,425,425,1587
12/11/2011,425,430,423,423,262
12/12/2011,423,423,423,423,459
12/13/2011,423,431,431,431,577
12/15/2011,431,423,418,420,708
12/18/2011,420,415,411,413,1154
12/19/2011,413,421,415,421,230
12/20/2011,421,424,416,418,819
12/21/2011,418,420,412,413,1730
12/22/2011,413,415,410,415,1733
12/26/2011,415,412,405,410,2021
12/27/2011,410,414,409,409,479
12/28/2011,409,409,401,409,665
12/29/2011,409,411,406,406,592
01/01/2012,406,416,410,416,1032
01/02/2012,416,430,422,430,592
01/03/2012,430,446,438,439,1124
01/04/2012,439,431,431,431,86
01/05/2012,431,430,423,423,484
01/08/2012,423,425,421,422,600
01/09/2012,422,430,428,428,503
01/10/2012,423,436,425,436,1052
01/11/2012,436,444,444,444,20
01/12/2012,444,443,435,439,384
01/18/2012,439,444,444,444,50
01/19/2012,444,445,445,445,68
01/22/2012,445,446,438,445,1780
01/23/2012,445,440,440,440,109
01/25/2012,440,432,418,418,268
01/26/2012,418,410,400,400,65867
01/29/2012,400,424,408,417,293
01/31/2012,417,427,424,427,593
02/01/2012,427,425,425,425,1569
02/05/2012,425,432,425,426,325
02/06/2012,426,425,420,420,576
02/07/2012,420,428,420,422,491
02/08/2012,422,401,401,401,28000
02/12/2012,401,420,409,417,925
02/13/2012,417,422,416,421,254
02/14/2012,421,425,420,421,462
02/15/2012,421,416,416,416,328
02/16/2012,416,408,408,408,2286
02/21/2012,408,416,408,414,2792
02/23/2012,414,416,408,416,2130
02/26/2012,416,428,420,422,710
02/27/2012,422,425,412,422,2776
02/28/2012,422,430,426,430,644
02/29/2012,430,438,425,438,2511
03/01/2012,438,435,426,435,3453
03/04/2012,435,434,424,432,3314
03/05/2012,432,441,425,441,2697
03/06/2012,441,440,433,440,2150
03/11/2012,440,435,421,425,3241
03/12/2012,425,433,421,422,1486
03/13/2012,422,423,423,423,120
03/14/2012,423,430,425,429,573
03/15/2012,429,425,424,425,564
03/18/2012,425,429,423,426,1180
03/19/2012,426,429,425,429,238
03/20/2012,429,435,427,427,586
03/21/2012,427,429,419,429,527
03/25/2012,429,422,422,422,730
03/26/2012,422,426,426,426,27
03/27/2012,426,425,419,425,568
03/29/2012,425,426,422,422,200
04/01/2012,422,427,422,425,597
04/02/2012,425,425,424,424,340
04/03/2012,424,428,422,428,658
04/04/2012,428,430,425,427,262
04/05/2012,427,427,427,427,33
04/08/2012,427,442,428,435,1169
04/09/2012,435,440,439,439,265
04/10/2012,439,464,425,464,2534
04/11/2012,464,483,455,455,1562
04/12/2012,455,482,456,475,1874
04/15/2012,475,512,484,512,1354
04/16/2012,512,551,520,551,4480
04/17/2012,551,584,520,520,3510
04/18/2012,520,555,490,545,2143
04/19/2012,545,577,545,565,5585
04/22/2012,565,594,568,590,3173
04/24/2012,590,649,601,649,3245
04/25/2012,649,713,661,713,1132
04/26/2012,713,764,660,712,10322
04/29/2012,712,720,681,696,5553
04/30/2012,696,685,652,668,1541
05/02/2012,668,655,633,633,467
05/03/2012,633,696,645,696,4084
05/07/2012,696,709,709,709,100
05/08/2012,709,760,670,696,3949
05/09/2012,696,690,670,672,2445
05/10/2012,672,672,634,669,6955
05/13/2012,669,656,615,624,1522
05/14/2012,624,612,562,570,1243
05/15/2012,570,627,581,627,925
05/16/2012,627,689,639,689,2575
05/17/2012,689,724,662,662,6778
05/20/2012,662,675,638,658,3350
05/21/2012,658,685,642,679,6153
05/22/2012,679,669,650,657,5153
05/23/2012,657,644,600,600,964
05/24/2012,600,660,600,634,4405
05/27/2012,634,685,625,680,2938
05/29/2012,680,667,617,617,50
05/30/2012,617,587,556,556,291
05/31/2012,556,576,501,576,6445
06/03/2012,576,633,587,625,2391
06/04/2012,625,620,572,584,2792
06/05/2012,584,573,534,571,2074
06/06/2012,571,560,547,547,781
06/07/2012,547,571,554,560,823
06/10/2012,560,560,540,544,2614
06/11/2012,544,558,554,556,512
06/12/2012,556,580,535,565,1766
06/13/2012,565,564,554,556,906
06/14/2012,556,551,546,551,118
06/17/2012,551,550,540,542,1497
06/18/2012,542,555,535,555,1232
06/19/2012,555,552,544,552,2322
06/20/2012,552,563,554,554,697
06/21/2012,554,560,555,560,744
06/25/2012,560,590,562,590,901
06/26/2012,590,583,572,583,468
06/27/2012,583,609,592,600,2122
06/28/2012,600,634,610,617,2758
