Date,Open,High,Low,Close,Volume
03/20/2011,495,490,490,490,20
03/24/2011,490,481,481,481,40
03/25/2011,481,485,485,485,20
03/29/2011,485,480,480,480,10
03/31/2011,480,475,475,475,10
04/04/2011,475,476,476,476,30
04/05/2011,476,493,475,493,90
04/19/2011,493,484,475,475,30
04/20/2011,475,466,457,457,20
04/21/2011,457,455,446,450,130
04/25/2011,450,441,417,425,290
04/27/2011,425,425,425,425,40
04/28/2011,425,440,425,440,220
05/02/2011,440,459,440,459,50
05/03/2011,459,480,466,471,1240
05/04/2011,471,470,470,470,10
05/05/2011,470,470,470,470,40
05/08/2011,470,470,463,465,60
05/09/2011,465,460,456,460,40
05/10/2011,460,465,458,465,60
05/11/2011,465,468,468,468,30
05/12/2011,468,477,477,477,10
05/15/2011,477,482,473,482,90
05/16/2011,482,500,491,500,200
05/18/2011,500,490,482,482,50
05/19/2011,482,476,476,476,20
05/22/2011,476,467,467,467,10
05/23/2011,467,460,458,458,90
05/31/2011,458,458,448,448,100
06/01/2011,448,450,450,450,30
06/02/2011,450,441,417,433,130
06/07/2011,433,426,425,425,110
06/08/2011,425,420,415,415,110
06/09/2011,415,407,400,401,80
06/12/2011,401,406,399,406,130
06/13/2011,406,400,398,398,140
06/14/2011,398,401,400,401,110
06/15/2011,401,394,386,393,370
06/16/2011,393,393,393,393,20
06/21/2011,408,416,416,416,30
06/23/2011,416,432,424,432,20
06/26/2011,432,440,432,432,70
06/27/2011,432,424,424,424,140
06/29/2011,424,422,422,422,210
07/03/2011,422,419,411,419,360
07/04/2011,419,420,420,420,350
07/05/2011,420,440,428,440,70
07/06/2011,440,465,447,447,200
07/07/2011,447,439,439,439,10
07/10/2011,439,448,440,448,110
07/12/2011,448,456,456,456,60
07/13/2011,456,465,465,465,10
07/14/2011,465,492,474,492,40
07/18/2011,492,500,465,465,510
07/19/2011,465,474,465,474,160
07/20/2011,474,480,467,480,120
07/21/2011,480,480,480,480,50
07/24/2011,480,480,480,480,140
07/25/2011,480,471,453,453,110
07/26/2011,453,470,460,470,250
07/27/2011,470,479,479,479,20
07/28/2011,479,508,481,500,1990
07/31/2011,500,510,500,500,80
08/01/2011,500,510,491,495,850
08/02/2011,495,504,477,486,330
08/03/2011,486,490,480,482,250
08/04/2011,482,500,490,490,350
08/07/2011,490,502,499,502,40
08/08/2011,502,499,483,483,110
08/09/2011,483,476,467,468,220
08/10/2011,468,470,470,470,10
08/11/2011,470,505,479,505,120
08/15/2011,505,555,515,555,1260
08/16/2011,555,550,520,520,970
08/17/2011,520,530,525,525,230
08/18/2011,525,525,515,525,110
08/22/2011,525,535,525,525,540
08/23/2011,525,525,522,522,90
08/24/2011,522,525,522,525,90
08/25/2011,525,540,515,540,240
08/28/2011,540,540,530,532,150
08/29/2011,532,530,515,530,400
08/30/2011,530,532,525,527,190
09/01/2011,527,535,525,529,350
09/04/2011,529,540,532,540,130
09/05/2011,540,550,541,550,370
09/06/2011,550,556,550,550,220
09/07/2011,550,540,531,531,70
09/08/2011,531,521,494,494,820
09/12/2011,494,503,493,493,320
09/13/2011,493,500,486,500,460
09/14/2011,500,500,495,500,280
09/15/2011,500,495,492,495,30
09/18/2011,495,486,468,468,30
09/19/2011,468,477,477,477,10
09/20/2011,477,510,486,505,370
09/21/2011,505,511,508,511,30
09/22/2011,511,514,514,514,50
09/25/2011,514,515,514,515,140
09/26/2011,515,515,515,515,40
09/27/2011,515,520,515,520,210
09/29/2011,520,529,529,529,60
10/10/2011,529,519,519,519,80
10/12/2011,519,520,520,520,20
10/13/2011,520,540,530,540,100
10/16/2011,540,550,535,550,180
10/17/2011,550,545,540,540,110
10/18/2011,540,554,541,554,350
10/19/2011,554,553,543,553,190
10/20/2011,553,560,550,550,130
10/23/2011,550,555,550,550,180
10/24/2011,550,560,560,560,20
10/25/2011,560,581,570,570,40
11/02/2011,570,592,581,592,70
11/03/2011,592,590,590,590,100
11/08/2011,590,579,558,560,170
11/09/2011,560,594,565,594,330
11/10/2011,594,583,544,545,730
11/13/2011,545,555,554,555,120
11/14/2011,555,560,560,560,20
