Date,Open,High,Low,Close,Volume
06/08/2016,273,300,278,300,60
06/09/2016,300,330,306,330,50
06/12/2016,330,361,336,361,50
06/13/2016,361,397,368,397,60
06/14/2016,397,436,404,436,50
06/15/2016,436,479,444,479,1045
06/16/2016,479,526,488,526,8600
06/19/2016,526,548,500,505,21001
06/20/2016,505,515,500,507,9226
06/21/2016,507,520,490,520,9770
06/22/2016,520,528,517,517,2596
06/23/2016,517,527,520,520,7446
06/26/2016,520,530,510,525,6020
06/27/2016,525,530,524,529,3228
06/28/2016,529,549,536,547,8400
06/29/2016,547,580,553,579,10287
06/30/2016,579,615,589,603,12956
07/03/2016,603,612,600,605,6504
07/04/2016,605,610,590,595,4014
07/05/2016,595,612,587,593,7419
07/06/2016,593,624,593,624,12614
07/10/2016,624,676,636,662,7090
07/11/2016,662,670,643,658,3429
07/12/2016,658,658,619,627,8347
07/13/2016,627,639,615,627,4854
07/14/2016,627,640,625,630,11116
07/17/2016,630,670,621,645,5893
07/18/2016,645,660,653,653,2595
07/19/2016,653,676,640,676,4680
07/20/2016,676,676,654,665,5322
07/21/2016,665,656,650,655,2420
07/25/2016,655,690,634,670,11551
07/26/2016,670,710,680,710,11338
07/27/2016,710,758,710,758,8238
07/28/2016,758,760,715,760,11979
07/31/2016,760,775,730,735,23037
08/01/2016,735,736,703,716,7361
08/02/2016,716,719,699,700,6913
08/03/2016,700,709,670,700,6566
08/04/2016,700,714,675,675,9250
08/07/2016,675,704,665,678,11246
08/08/2016,678,665,634,634,3378
08/09/2016,634,697,646,685,5492
08/10/2016,685,698,660,682,9238
08/11/2016,682,695,657,671,13299
08/14/2016,671,665,636,642,10761
08/15/2016,642,640,600,620,12391
08/16/2016,620,633,603,620,14077
08/17/2016,620,642,629,630,10141
08/21/2016,630,643,622,633,4069
08/22/2016,633,627,609,610,2729
08/23/2016,610,622,608,608,3897
08/24/2016,608,619,608,615,6163
08/28/2016,615,634,605,634,3447
08/29/2016,634,646,622,640,8192
08/30/2016,640,642,630,640,5714
08/31/2016,640,647,640,644,3723
09/01/2016,644,673,645,673,6438
09/03/2016,673,677,650,662,3928
09/04/2016,673,677,650,662,3928
09/05/2016,662,688,660,670,10972
09/06/2016,670,686,660,680,12923
09/07/2016,680,678,647,671,9723
09/08/2016,671,672,660,660,7541
09/11/2016,660,680,665,668,7078
09/12/2016,668,671,660,665,3542
09/14/2016,665,675,661,661,3700
09/18/2016,661,667,650,660,3241
09/20/2016,660,660,643,644,5100
09/21/2016,644,645,627,636,6664
09/22/2016,636,652,612,630,4569
09/25/2016,630,630,610,610,8499
09/26/2016,610,640,605,620,3792
09/27/2016,620,640,608,628,7406
09/28/2016,628,630,606,620,10584
09/29/2016,620,622,610,617,3132
10/02/2016,617,625,616,623,6576
10/03/2016,623,640,611,620,5381
10/04/2016,620,620,616,617,7069
10/05/2016,617,630,587,617,2390
10/06/2016,617,635,625,629,3978
07/18/2017,487,478,439,439,11447
07/19/2017,439,441,400,428,44462
07/20/2017,428,436,428,429,16870
07/23/2017,429,429,423,423,7105
07/24/2017,423,430,416,418,10786
07/25/2017,418,432,417,418,8598
07/26/2017,418,426,418,419,6750
07/27/2017,419,423,412,415,8420
07/30/2017,415,418,410,418,4968
07/31/2017,418,422,415,415,3970
08/01/2017,415,438,415,420,13645
08/02/2017,420,438,415,430,20871
08/03/2017,430,436,422,430,18491
08/06/2017,430,445,430,431,10754
08/07/2017,431,440,430,431,22218
08/09/2017,431,445,428,435,11189
08/10/2017,435,433,427,428,7064
08/13/2017,428,428,425,425,4379
08/15/2017,425,433,419,420,5913
08/16/2017,420,426,420,420,6501
08/17/2017,420,430,415,419,14386
08/20/2017,419,429,415,415,11579
