Date,Open,High,Low,Close,Volume
04/04/2011,198,201,201,201,190
04/19/2011,201,221,205,221,63
04/20/2011,221,229,225,229,35
04/21/2011,229,225,221,221,70
05/10/2011,221,225,225,225,45
05/15/2011,225,229,229,229,60
05/18/2011,229,233,233,233,20
05/19/2011,233,237,237,237,20
05/22/2011,237,240,233,237,296
05/23/2011,237,240,235,235,173
05/24/2011,235,235,235,235,20
05/25/2011,235,239,239,239,10
05/26/2011,239,245,239,245,104
05/30/2011,245,247,243,243,41
05/31/2011,243,247,243,246,54
06/01/2011,246,250,248,248,51
06/02/2011,248,248,248,248,50
06/06/2011,248,248,245,248,64
06/07/2011,248,244,244,244,10
06/08/2011,244,247,227,227,144
06/12/2011,227,233,233,233,40
06/14/2011,233,239,235,235,30
06/16/2011,235,243,243,243,110
06/21/2011,248,255,250,255,355
06/23/2011,255,250,247,250,357
06/26/2011,250,255,255,255,40
06/29/2011,255,255,249,255,130
06/30/2011,255,255,254,254,51
07/03/2011,254,249,249,249,20
07/05/2011,249,250,247,250,60
07/07/2011,250,250,250,250,34
07/11/2011,250,257,257,257,29
07/12/2011,257,257,257,257,260
07/13/2011,257,263,258,258,150
07/14/2011,258,258,258,258,90
07/18/2011,258,258,258,258,20
07/19/2011,258,253,244,244,220
07/21/2011,244,240,240,240,35
07/31/2011,240,244,244,244,10
08/03/2011,244,247,243,243,60
08/07/2011,243,243,243,243,10
08/08/2011,243,242,242,242,130
08/10/2011,242,242,242,242,400
09/01/2011,242,238,234,234,403
09/18/2011,234,230,229,229,60
09/26/2011,229,225,221,221,290
09/29/2011,221,217,209,209,30
10/12/2011,209,205,205,205,10
10/13/2011,205,202,200,200,47
10/16/2011,200,204,192,195,178
10/18/2011,195,192,189,192,40
10/23/2011,192,192,192,192,246
10/25/2011,192,189,180,180,70
11/13/2011,180,177,168,168,156
11/21/2011,168,174,171,174,20
11/22/2011,174,186,177,186,40
11/23/2011,186,189,189,189,10
11/24/2011,189,195,192,195,20
11/27/2011,195,192,192,192,10
12/04/2011,199,201,200,201,44
12/05/2011,201,201,201,201,30
12/06/2011,201,205,201,201,20
12/07/2011,201,197,197,197,15
12/11/2011,197,195,192,192,5100
12/13/2011,192,195,195,195,10
12/14/2011,195,201,198,201,20
12/15/2011,201,205,205,205,10
02/23/2012,205,201,201,201,10
02/26/2012,201,205,205,205,45
02/27/2012,205,207,207,207,30
02/29/2012,207,209,209,209,20
03/04/2012,209,210,210,210,10
03/05/2012,210,210,210,210,50
03/06/2012,210,212,210,212,20
03/13/2012,212,212,204,212,176
03/14/2012,212,212,204,206,116
03/18/2012,206,210,198,199,76
03/19/2012,199,202,201,201,63
03/20/2012,201,205,205,205,57
03/21/2012,205,215,209,215,220
03/26/2012,215,215,215,215,110
03/27/2012,215,220,219,220,20
03/28/2012,220,220,220,220,20
04/04/2012,220,221,221,221,60
04/05/2012,221,224,224,224,20
04/19/2012,224,230,228,230,124
05/14/2012,230,233,233,233,20
05/22/2012,233,229,229,229,987
05/24/2012,229,235,233,235,230
05/27/2012,235,235,235,235,34
05/29/2012,235,243,234,234,130
06/03/2012,234,234,234,234,90
06/04/2012,234,234,230,230,70
06/06/2012,230,230,230,230,50
06/07/2012,230,230,230,230,120
06/11/2012,230,226,222,222,20
06/12/2012,222,218,214,214,5060
06/13/2012,214,214,210,210,363
06/14/2012,210,210,195,195,175
06/17/2012,195,192,187,187,80
06/18/2012,187,193,187,193,60
06/19/2012,193,199,193,199,30
06/20/2012,199,206,202,206,580
06/21/2012,206,206,206,206,370
06/25/2012,206,202,189,189,305
06/26/2012,189,186,174,174,514
06/27/2012,174,177,174,177,691
06/28/2012,177,174,174,174,100
07/03/2012,174,171,171,171,10
07/04/2012,171,174,174,174,10
07/09/2012,174,176,176,176,10
07/11/2012,176,176,176,176,50
07/19/2012,176,178,175,175,321
07/25/2012,175,187,178,187,73
07/26/2012,187,190,187,187,90
07/29/2012,187,190,187,187,8084
07/30/2012,187,190,190,190,10
08/01/2012,190,187,187,187,75
08/07/2012,187,185,185,185,80
08/08/2012,185,185,185,185,102
08/26/2012,185,188,188,188,32
08/27/2012,188,185,185,185,84
08/29/2012,185,188,188,188,21
09/04/2012,188,191,191,191,21
09/05/2012,191,199,194,198,720
09/09/2012,198,205,194,194,303
09/10/2012,194,194,194,194,20
09/11/2012,194,197,194,196,157
09/12/2012,196,196,196,196,75
09/13/2012,196,196,193,193,312
09/24/2012,193,193,193,193,190
09/30/2012,196,195,193,195,20
10/01/2012,195,200,198,198,30
10/01/2012,195,200,198,198,30
10/02/2012,198,200,200,200,25
10/03/2012,200,197,194,194,137
10/04/2012,194,197,197,197,30
10/08/2012,197,197,197,197,10
10/18/2012,197,200,196,196,482
10/31/2012,196,198,193,193,141
11/22/2012,193,180,180,180,10
12/06/2012,180,177,177,177,23
01/27/2013,177,178,175,178,282
02/14/2013,178,178,178,178,10
02/24/2013,178,178,178,178,25
02/25/2013,178,175,175,175,13
03/06/2013,175,173,173,173,113
03/17/2013,173,170,170,170,92
03/20/2013,170,173,173,173,147
03/31/2013,173,170,170,170,271
04/08/2013,170,170,170,170,1500
04/11/2013,170,167,167,167,263
04/16/2013,167,167,167,167,10
04/18/2013,167,170,170,170,21
04/25/2013,170,167,167,167,300
05/02/2013,167,165,165,165,13
05/12/2013,165,165,165,165,298
05/20/2013,165,163,163,163,10
05/22/2013,163,162,160,160,283
05/23/2013,160,160,157,157,3219
05/27/2013,157,158,157,158,973
05/28/2013,158,161,158,161,2704
06/02/2013,161,167,164,167,42
06/03/2013,167,172,170,172,94
06/04/2013,172,174,174,174,50
06/05/2013,174,175,173,175,330
06/06/2013,175,177,177,177,50
06/09/2013,177,182,179,179,380
06/10/2013,179,181,181,181,60
06/11/2013,181,183,183,183,100
06/12/2013,183,189,184,189,268
06/16/2013,189,192,192,192,389
06/17/2013,192,194,194,194,10
06/18/2013,194,197,194,194,139
06/19/2013,194,194,194,194,10
06/20/2013,194,197,195,197,266
06/23/2013,197,199,199,199,80
07/01/2013,199,201,201,201,50
07/03/2013,201,197,197,197,3030
07/17/2013,197,194,194,194,55
07/18/2013,194,192,191,192,148
07/22/2013,192,195,195,195,32
07/23/2013,195,197,197,197,10
07/30/2013,197,199,199,199,50
07/31/2013,199,199,199,199,190
08/08/2013,199,203,200,203,50
08/11/2013,203,211,207,211,68
08/12/2013,211,214,214,214,15
08/15/2013,214,210,210,210,3050
08/19/2013,210,214,214,214,30
08/20/2013,214,218,215,218,775
08/25/2013,218,226,222,226,52
08/26/2013,226,230,230,230,249
08/27/2013,230,238,234,238,130
09/03/2013,238,245,240,245,127
09/04/2013,245,246,245,245,248
09/05/2013,245,249,245,245,67
09/08/2013,245,241,233,233,386
09/10/2013,233,230,230,230,100
09/16/2013,230,226,226,226,110
09/26/2013,226,222,218,218,100
09/29/2013,218,218,218,218,271
10/01/2013,218,215,211,215,789
10/02/2013,215,212,212,212,60
10/03/2013,212,212,212,212,252
10/07/2013,212,212,212,212,110
10/31/2013,177,178,178,178,10
11/28/2013,178,181,181,181,53
12/01/2013,181,184,184,184,10
12/02/2013,184,196,187,196,348
12/03/2013,196,199,199,199,53
12/10/2013,199,202,202,202,54
12/12/2013,202,206,206,206,18
12/19/2013,206,210,210,210,12
12/26/2013,210,206,206,206,66
01/06/2014,206,210,210,210,100
01/08/2014,210,214,214,214,18
01/20/2014,214,222,218,222,20
01/21/2014,222,226,226,226,10
01/23/2014,226,234,230,234,1013
01/26/2014,234,257,238,257,89
01/27/2014,257,277,262,277,40
01/28/2014,277,287,282,287,120
01/29/2014,287,292,292,292,158
02/02/2014,292,320,297,320,757
02/04/2014,320,314,314,314,100
02/06/2014,315,332,320,332,202
02/09/2014,332,338,335,335,155
02/12/2014,335,340,340,340,110
02/13/2014,340,346,340,340,532
02/16/2014,340,346,346,346,30
02/23/2014,346,346,340,346,215
02/25/2014,346,341,334,341,1129
02/26/2014,341,347,347,347,562
03/03/2014,347,347,347,347,919
03/04/2014,347,341,341,341,1050
03/05/2014,341,335,329,329,4042
03/06/2014,329,323,318,318,1660
03/09/2014,318,312,308,308,403
03/11/2014,308,310,310,310,137
03/13/2014,310,316,316,316,80
03/17/2014,316,334,322,334,87
03/18/2014,334,346,340,340,4071
03/19/2014,340,346,340,340,360
03/25/2014,340,346,340,340,373
03/26/2014,340,346,340,340,149
03/27/2014,340,340,334,340,74
04/03/2014,340,334,328,328,458
04/16/2014,328,334,334,334,50
04/22/2014,334,340,340,340,11
04/28/2014,340,340,340,340,14
04/30/2014,340,339,339,339,50
05/05/2014,339,333,327,327,40
05/07/2014,327,321,321,321,543
05/15/2014,321,315,315,315,18
05/15/2014,321,315,315,315,18
05/19/2014,315,309,303,309,572
05/20/2014,309,315,303,315,936
05/26/2014,315,309,306,306,1140
05/28/2014,306,300,295,295,93
06/01/2014,295,300,300,300,19
06/02/2014,300,306,306,306,50
06/08/2014,306,300,300,300,1500
06/09/2014,300,296,296,296,40
06/10/2014,296,292,292,292,588
06/12/2014,292,297,292,292,232
06/15/2014,292,287,287,287,112
06/16/2014,287,292,292,292,106
06/17/2014,292,297,297,297,10
06/17/2014,292,297,297,297,10
06/18/2014,297,302,302,302,10
06/19/2014,302,305,305,305,1020
06/23/2014,305,300,300,300,51
06/24/2014,300,306,300,306,664
06/25/2014,306,307,300,300,4090
06/29/2014,300,306,306,306,221
07/02/2014,306,316,310,316,40
07/03/2014,316,310,310,310,20
07/06/2014,310,315,304,315,1131
07/07/2014,315,333,321,324,648
07/08/2014,324,336,330,336,108
07/09/2014,336,336,324,324,463
07/10/2014,324,356,330,352,100
03/26/2015,352,345,345,345,30
03/29/2015,345,344,338,338,500
03/30/2015,338,338,338,338,162
03/31/2015,338,332,320,320,2620
04/01/2015,320,321,320,320,1600
04/02/2015,320,320,314,320,1593
04/05/2015,320,314,310,310,750
04/06/2015,310,306,306,306,100
04/07/2015,306,312,305,311,1603
04/08/2015,311,305,305,305,3142
04/09/2015,305,317,311,317,530
04/12/2015,317,323,317,317,120
04/15/2015,317,329,311,317,437
04/16/2015,317,312,311,311,700
04/19/2015,311,308,303,306,1790
04/20/2015,306,304,301,301,1350
04/21/2015,301,307,300,305,3561
04/22/2015,305,311,301,305,4734
04/23/2015,305,304,302,302,800
05/24/2015,302,296,296,296,300
05/26/2015,296,291,275,275,3390
05/28/2015,275,280,280,280,500
05/31/2015,280,285,270,270,12364
06/01/2015,270,290,275,290,767
06/02/2015,290,286,285,285,629
06/03/2015,285,295,290,292,787
06/04/2015,292,295,295,295,850
06/07/2015,295,306,300,306,495
06/08/2015,306,315,309,315,234
06/08/2015,306,315,309,315,234
06/08/2015,306,315,309,315,234
06/09/2015,315,321,306,310,3431
06/10/2015,310,315,310,315,435
06/11/2015,315,321,309,310,612
06/14/2015,310,311,304,304,2755
06/15/2015,304,310,310,310,400
06/16/2015,310,318,314,314,1122
06/17/2015,314,311,310,311,823
06/18/2015,311,322,310,320,3974
06/21/2015,320,321,318,319,2991
06/22/2015,319,322,321,322,2113
06/23/2015,322,327,325,325,316
06/24/2015,325,325,321,321,459
06/25/2015,321,324,321,324,408
06/30/2015,324,319,314,314,160
07/07/2015,314,320,320,320,79
07/08/2015,320,315,309,309,1323
07/09/2015,309,310,304,305,2517
07/12/2015,305,320,311,320,2465
07/13/2015,320,322,308,322,94675
07/14/2015,322,332,320,320,6842
