Date,Open,High,Low,Close,Volume
03/28/2011,98,100,100,100,420
05/24/2011,100,100,100,100,70
06/08/2011,100,100,100,100,210
06/16/2011,100,95,94,94,860
06/19/2011,94,93,93,93,20
06/20/2011,94,93,93,93,20
06/30/2011,92,92,92,92,160
07/26/2011,92,91,91,91,10
07/28/2011,91,90,90,90,70
08/02/2011,90,90,90,90,680
08/03/2011,90,90,90,90,150
08/07/2011,90,90,86,86,5800
08/17/2011,86,85,85,85,100
08/22/2011,85,84,83,83,170
08/24/2011,83,82,81,81,120
08/25/2011,81,83,82,83,30
08/28/2011,83,84,82,82,100
09/08/2011,82,81,81,81,1350
09/14/2011,81,81,80,80,100
09/15/2011,80,81,81,81,640
09/18/2011,81,80,73,73,5970
09/21/2011,73,72,71,71,150
09/22/2011,71,71,71,71,40
09/26/2011,71,70,70,70,70
10/09/2011,70,71,71,71,630
10/10/2011,71,70,69,69,170
10/12/2011,69,69,68,68,910
10/16/2011,68,68,68,68,20
10/17/2011,68,67,67,67,210
10/19/2011,67,66,62,62,690
10/20/2011,62,63,63,63,20
10/23/2011,63,63,61,61,260
10/24/2011,61,64,62,63,290
10/30/2011,63,63,63,63,70
11/03/2011,63,64,64,64,20
11/08/2011,64,63,63,63,40
11/13/2011,63,69,64,68,470
11/17/2011,68,67,67,67,20
11/20/2011,67,68,68,68,70
11/21/2011,68,70,69,70,40
11/22/2011,70,71,70,70,990
11/23/2011,70,71,71,71,10
11/24/2011,71,72,72,72,90
11/27/2011,72,72,72,72,1150
12/01/2011,74,75,75,75,20
12/04/2011,75,74,73,73,230
12/05/2011,73,72,72,72,40
12/07/2011,72,73,73,73,90
12/12/2011,73,73,72,73,230
12/13/2011,73,75,74,75,60
12/14/2011,75,76,76,76,50
12/15/2011,76,77,77,77,20
12/21/2011,77,76,76,76,70
12/22/2011,76,77,77,77,10
12/26/2011,77,77,77,77,70
12/27/2011,77,78,78,78,90
12/28/2011,78,80,79,80,130
12/29/2011,80,80,79,80,250
01/01/2012,80,81,79,79,530
01/02/2012,79,79,77,77,1220
01/03/2012,77,78,75,78,100
01/04/2012,78,81,79,81,80
01/16/2012,81,84,82,84,390
01/17/2012,84,85,83,85,530
01/25/2012,85,84,83,83,80
01/26/2012,83,85,84,85,170
02/01/2012,85,85,85,85,130
02/07/2012,85,84,84,84,460
02/09/2012,84,83,83,83,10
02/23/2012,83,84,83,83,490
02/26/2012,83,82,80,80,2440
02/27/2012,80,80,79,79,1390
02/28/2012,79,78,78,78,10
02/29/2012,78,78,77,78,400
03/15/2012,78,77,77,77,80
03/25/2012,77,77,77,77,180
03/27/2012,77,76,76,76,150
03/28/2012,76,75,75,75,640
04/04/2012,75,75,74,74,390
04/19/2012,74,74,74,74,10
04/22/2012,74,73,73,73,90
05/07/2012,73,74,74,74,40
05/08/2012,74,75,75,75,80
05/10/2012,75,74,74,74,140
05/20/2012,74,73,73,73,210
05/21/2012,73,77,74,77,100
05/22/2012,77,81,78,81,150
05/23/2012,81,86,82,86,2060
05/24/2012,86,85,85,85,40
05/29/2012,85,87,84,86,1270
05/30/2012,86,93,87,93,1920
06/03/2012,93,92,92,92,890
06/04/2012,92,92,90,92,1380
06/05/2012,92,93,92,92,730
06/06/2012,92,94,92,93,1060
06/07/2012,93,94,93,93,1610
06/10/2012,93,94,92,93,3160
06/11/2012,93,93,92,93,100
06/12/2012,93,94,93,93,1140
06/13/2012,93,93,92,93,340
06/14/2012,93,93,93,93,760
06/17/2012,93,94,93,93,1080
06/18/2012,93,92,92,92,490
06/19/2012,92,92,92,92,80
06/21/2012,92,91,91,91,80
06/26/2012,91,90,89,89,760
06/27/2012,89,90,90,90,150
06/28/2012,90,89,89,89,70
07/01/2012,89,88,88,88,140
07/04/2012,88,87,87,87,1180
07/05/2012,87,86,86,86,80
07/08/2012,86,85,84,84,720
07/09/2012,84,83,83,83,40
07/11/2012,83,82,80,80,790
07/12/2012,80,79,79,79,680
07/17/2012,79,80,80,80,130
07/18/2012,80,80,80,80,60
07/22/2012,80,80,80,80,90
07/24/2012,80,80,79,80,410
07/30/2012,80,79,79,79,40
08/01/2012,79,79,78,78,260
08/05/2012,78,77,77,77,90
08/07/2012,77,76,76,76,10
08/08/2012,76,77,77,77,70
08/12/2012,77,76,76,76,30
08/13/2012,76,76,76,76,240
08/14/2012,76,77,77,77,40
08/15/2012,77,78,78,78,60
08/22/2012,78,77,77,77,140
08/23/2012,77,78,77,78,1240
08/26/2012,78,79,79,79,10
08/27/2012,79,80,79,80,170
08/28/2012,80,81,80,81,550
08/29/2012,81,83,81,83,300
08/30/2012,83,84,83,84,140
09/02/2012,84,84,83,83,170
09/04/2012,83,85,84,84,60
09/05/2012,84,85,85,85,30
09/09/2012,85,84,84,84,20
09/11/2012,84,85,85,85,40
09/12/2012,85,85,85,85,460
09/13/2012,85,86,86,86,40
09/16/2012,86,86,86,86,40
09/17/2012,86,89,87,89,160
09/18/2012,89,89,89,89,150
09/19/2012,89,90,90,90,20
09/20/2012,90,92,91,92,220
09/23/2012,92,92,92,92,30
09/24/2012,92,92,92,92,310
09/25/2012,92,93,93,93,210
09/26/2012,93,95,94,95,280
09/30/2012,95,97,96,97,80
10/01/2012,97,98,97,98,200
10/01/2012,97,98,97,98,200
10/02/2012,98,97,97,97,280
10/03/2012,97,99,98,99,320
10/07/2012,99,99,99,99,70
10/08/2012,99,99,99,99,70
10/09/2012,99,98,98,98,20
10/10/2012,98,99,99,99,210
10/11/2012,99,99,99,99,40
10/14/2012,99,100,100,100,930
10/15/2012,100,102,100,101,450
10/17/2012,101,100,100,100,150
10/30/2012,100,100,100,100,150
10/31/2012,100,100,100,100,200
11/01/2012,100,101,101,101,20
11/04/2012,101,100,100,100,110
11/05/2012,100,102,101,102,540
11/06/2012,102,101,101,101,210
11/07/2012,101,103,103,103,40
11/08/2012,103,109,103,109,180
11/11/2012,109,113,109,113,160
11/18/2012,113,115,113,115,620
11/20/2012,115,117,117,117,120
11/21/2012,117,115,115,115,40
11/22/2012,115,116,115,115,470
11/25/2012,115,117,117,117,120
11/27/2012,117,117,115,116,450
11/28/2012,116,116,114,116,410
11/29/2012,116,118,114,116,570
12/04/2012,116,114,114,114,420
12/05/2012,114,113,112,112,40
12/06/2012,112,113,110,113,750
12/09/2012,113,111,111,111,130
12/10/2012,111,111,111,111,160
12/11/2012,111,115,112,113,1350
12/12/2012,113,111,111,111,300
12/13/2012,111,112,112,112,20
12/16/2012,112,113,111,111,140
12/17/2012,111,114,112,114,740
12/18/2012,114,114,112,113,1280
12/19/2012,113,113,111,111,540
12/20/2012,111,114,111,114,2040
12/23/2012,114,116,112,116,220
12/26/2012,116,120,118,118,2840
12/27/2012,118,118,116,117,160
12/31/2012,117,115,115,115,90
01/01/2013,115,113,113,113,20
01/02/2013,113,112,110,112,1460
01/03/2013,112,116,114,116,190
01/06/2013,116,115,115,115,130
01/07/2013,115,118,115,118,200
01/08/2013,118,118,116,116,660
01/09/2013,116,118,116,116,340
01/10/2013,116,120,116,120,680
01/13/2013,120,122,122,122,40
01/15/2013,122,122,121,122,450
01/16/2013,122,122,121,122,40
01/17/2013,122,123,123,123,70
01/20/2013,123,122,122,122,20
01/21/2013,122,126,123,124,3170
01/22/2013,124,125,125,125,210
01/23/2013,125,129,124,129,1810
01/24/2013,129,129,127,129,80
01/27/2013,129,137,130,137,390
01/28/2013,137,149,139,149,1340
01/30/2013,149,149,138,138,2430
01/31/2013,138,136,134,136,360
02/03/2013,136,134,132,132,1620
02/04/2013,132,132,131,131,710
02/05/2013,131,129,127,129,210
02/06/2013,129,127,126,126,110
02/07/2013,126,124,122,122,920
02/10/2013,122,120,120,120,120
02/12/2013,120,122,120,122,210
02/13/2013,122,128,122,128,400
02/14/2013,128,128,126,126,340
02/21/2013,126,128,126,126,670
02/25/2013,126,126,123,125,1130
02/27/2013,125,124,121,124,230
03/20/2013,124,122,112,112,810
03/21/2013,112,110,109,110,930
03/24/2013,110,108,108,108,80
03/25/2013,108,106,106,106,160
03/27/2013,106,106,106,106,20
03/28/2013,106,106,104,105,1210
03/31/2013,105,107,106,106,260
04/01/2013,106,108,106,106,350
04/02/2013,106,110,106,110,370
04/03/2013,110,114,110,114,950
04/04/2013,114,113,112,112,110
04/07/2013,112,113,111,113,180
04/08/2013,113,113,111,113,160
04/09/2013,113,115,114,114,290
04/11/2013,114,114,112,114,280
04/15/2013,114,116,116,116,60
04/16/2013,116,118,118,118,210
04/17/2013,118,118,116,118,40
04/18/2013,118,122,116,122,210
04/21/2013,122,125,123,125,190
04/22/2013,125,133,127,133,260
04/23/2013,133,131,131,131,500
04/25/2013,131,133,130,133,220
04/28/2013,133,133,133,133,480
04/29/2013,133,133,133,133,690
04/30/2013,133,143,134,135,2520
05/02/2013,135,135,131,131,1000
05/05/2013,131,129,127,127,680
05/07/2013,127,125,121,121,90
05/08/2013,121,121,121,121,40
05/09/2013,121,123,123,123,170
05/12/2013,123,126,122,126,180
05/13/2013,126,132,128,132,730
05/14/2013,132,131,129,129,360
05/19/2013,129,137,131,135,1055
05/20/2013,135,135,134,135,1280
05/21/2013,135,135,131,133,3490
05/22/2013,133,136,134,136,50
05/23/2013,136,135,134,135,1970
05/26/2013,135,139,135,137,180
05/27/2013,137,137,136,137,650
05/28/2013,137,136,135,136,40
05/30/2013,136,142,138,142,2790
06/02/2013,142,141,139,140,1250
06/03/2013,140,144,140,144,80
06/04/2013,144,150,141,150,2090
06/06/2013,150,147,145,147,9850
06/09/2013,147,153,145,147,800
06/10/2013,147,160,149,157,620
06/11/2013,157,160,153,157,4510
06/12/2013,157,160,156,160,140
06/16/2013,160,157,155,155,390
06/17/2013,155,152,149,149,1080
06/18/2013,149,150,145,150,1240
06/19/2013,150,149,147,149,1170
06/24/2013,149,148,147,147,1230
06/25/2013,147,149,143,148,1590
07/07/2013,148,148,148,148,140
07/08/2013,148,146,144,144,40
07/09/2013,144,142,138,138,130
07/10/2013,138,136,132,133,1160
07/11/2013,133,137,130,135,810
07/14/2013,135,136,135,136,320
07/15/2013,136,138,138,138,70
07/16/2013,138,140,140,140,260
07/18/2013,140,139,139,139,910
07/21/2013,139,140,140,140,110
07/22/2013,140,139,139,139,40
07/23/2013,139,141,139,141,1320
07/29/2013,141,141,140,141,560
07/30/2013,141,142,140,140,490
07/31/2013,140,140,140,140,60
08/01/2013,140,138,138,138,60
08/04/2013,138,138,136,138,510
08/05/2013,136,137,137,137,70
08/06/2013,137,135,131,133,400
08/07/2013,133,142,135,142,460
08/11/2013,142,140,140,140,20
08/12/2013,140,138,138,138,70
08/13/2013,138,139,136,139,290
08/14/2013,139,137,135,135,230
08/15/2013,135,137,134,137,390
08/18/2013,137,139,137,139,260
08/19/2013,139,137,137,137,10
08/20/2013,137,138,136,136,870
08/25/2013,136,139,138,139,100
08/26/2013,139,141,141,141,310
08/27/2013,141,142,142,142,20
08/29/2013,142,141,141,141,10
09/01/2013,141,141,140,140,130
09/02/2013,140,144,140,141,690
09/03/2013,141,147,142,147,640
09/04/2013,147,151,149,150,510
09/05/2013,150,162,151,162,720
09/09/2013,162,172,160,170,1730
09/10/2013,170,173,170,173,380
09/11/2013,173,183,174,183,890
09/12/2013,183,189,185,189,570
