Date,Open,High,Low,Close,Volume
10/17/2012,0,115,115,115,306
10/18/2012,115,117,117,117,131
11/05/2012,117,125,119,123,664
11/26/2012,123,123,123,123,59
11/28/2012,123,123,123,123,59
02/19/2013,123,121,119,119,1186
02/20/2013,119,119,119,119,306
02/27/2013,119,117,115,115,101
03/03/2013,115,117,117,117,59
03/04/2013,117,121,119,119,2970
03/06/2013,119,123,121,123,392
03/07/2013,123,121,121,121,30
03/11/2013,121,123,123,123,42
03/13/2013,123,125,123,125,297
03/14/2013,125,127,127,127,30
03/19/2013,127,125,123,125,1801
03/20/2013,125,125,121,121,2734
05/09/2013,121,123,123,123,297
05/12/2013,123,121,121,121,30
05/15/2013,121,123,123,123,297
05/20/2013,123,121,121,121,65
05/22/2013,121,123,122,123,368
05/27/2013,123,125,125,125,900
06/05/2013,125,127,125,125,676
10/02/2013,125,127,125,125,488
10/03/2013,125,127,127,127,244
10/21/2013,127,127,127,127,178
10/28/2013,127,129,129,129,156
10/29/2013,129,141,131,141,436
10/30/2013,141,143,140,140,571
11/10/2013,140,148,142,148,587
11/11/2013,148,158,150,158,2924
11/12/2013,158,160,155,160,2213
11/13/2013,160,163,160,160,2766
11/14/2013,160,176,160,176,7420
11/27/2013,144,153,146,153,80
11/28/2013,153,168,156,168,377
12/02/2013,168,171,170,171,121
12/03/2013,171,180,174,180,60
12/05/2013,180,183,183,183,148
12/08/2013,183,186,186,186,20
12/10/2013,186,189,189,189,1220
12/12/2013,189,195,192,195,40
12/15/2013,195,198,198,198,20
01/02/2014,198,201,201,201,611
01/21/2014,201,221,205,221,588
01/22/2014,221,237,225,237,127
01/23/2014,237,249,241,249,60
01/26/2014,249,253,253,253,72
01/27/2014,253,268,258,268,60
01/28/2014,268,273,270,273,215
01/29/2014,273,268,268,268,377
02/02/2014,268,264,264,264,1000
02/03/2014,264,265,265,265,20
02/09/2014,265,265,260,260,329
02/16/2014,260,270,250,270,2513
02/17/2014,270,297,275,297,1179
02/18/2014,297,320,302,320,625
02/20/2014,320,352,326,352,1827
02/25/2014,352,359,359,359,495
02/26/2014,359,373,366,373,20
03/03/2014,373,369,369,369,65
03/06/2014,369,362,355,355,317
03/09/2014,355,350,348,348,309
03/11/2014,348,342,342,342,200
04/20/2014,342,348,330,330,880
04/23/2014,330,324,324,324,297
04/27/2014,324,325,325,325,100
04/28/2014,325,319,319,319,200
04/29/2014,319,319,313,313,445
04/30/2014,313,307,301,303,1383
05/07/2014,303,321,309,321,1148
05/08/2014,321,315,309,309,200
05/12/2014,309,315,315,315,32
05/13/2014,315,315,315,315,20
05/15/2014,315,346,321,346,3244
05/15/2014,315,346,321,346,3244
05/18/2014,346,380,352,380,1937
05/19/2014,380,378,368,368,1088
05/22/2014,368,375,375,375,59
05/26/2014,375,368,368,368,150
05/27/2014,368,361,361,361,32
05/28/2014,361,355,339,339,1254
06/02/2014,339,345,345,345,50
06/03/2014,345,355,351,355,1094
06/04/2014,355,351,350,351,731
06/05/2014,351,355,351,355,89
06/08/2014,355,369,362,369,406
06/10/2014,369,372,372,372,250
06/11/2014,372,366,362,362,892
06/12/2014,362,360,355,355,290
06/16/2014,355,348,348,348,306
06/23/2014,348,345,342,342,2200
06/26/2014,342,361,348,361,801
06/30/2014,361,375,368,375,132
07/01/2014,375,375,375,375,51
07/02/2014,375,368,368,368,30
07/06/2014,368,361,361,361,80
07/08/2014,361,360,360,360,51
07/09/2014,360,362,355,355,1400
07/16/2014,355,375,362,375,1182
07/17/2014,375,375,375,375,150
07/21/2014,375,396,382,396,69
07/22/2014,396,418,403,418,380
07/23/2014,418,442,424,442,321
07/24/2014,442,450,450,450,264
