Date,Open,High,Low,Close,Volume
04/27/2011,312,255,255,255,400
07/20/2011,255,250,250,250,4165
08/02/2011,250,250,250,250,650
09/07/2011,250,245,245,245,86
10/24/2011,245,245,245,245,3476
11/21/2011,245,241,233,233,4114
11/22/2011,233,229,225,225,115
12/20/2011,225,225,225,225,126
01/23/2012,225,225,225,225,1826
02/05/2012,225,225,225,225,126
02/14/2012,225,225,225,225,1997
02/15/2012,225,225,225,225,1000
03/12/2012,225,229,229,229,200
03/26/2012,229,225,225,225,846
04/09/2012,225,225,225,225,378
04/10/2012,225,225,225,225,300
04/12/2012,225,225,225,225,600
06/14/2012,225,201,201,201,195
07/02/2012,201,197,194,194,1356
07/11/2012,194,191,191,191,1050
07/12/2012,191,191,191,191,812
07/22/2012,191,190,190,190,1145
09/11/2012,190,190,190,190,1622
11/22/2012,190,193,193,193,1000
01/13/2013,193,196,196,196,1000
01/17/2013,196,196,196,196,24
01/22/2013,196,196,196,196,586
01/27/2013,196,196,193,193,581
01/30/2013,193,195,195,195,1036
02/03/2013,195,196,196,196,98
05/19/2013,196,199,199,199,1683
05/20/2013,199,202,202,202,588
06/04/2013,202,206,206,206,27
07/02/2013,206,202,202,202,181
07/17/2013,202,209,205,205,2365
08/12/2013,205,205,205,205,528
09/24/2013,205,210,209,210,568
09/29/2013,210,206,206,206,800
01/23/2014,206,210,210,210,1241
02/02/2014,210,210,210,210,9313
02/11/2014,210,210,210,210,356
02/26/2014,210,210,210,210,1799
03/10/2014,210,210,210,210,151
03/24/2014,210,210,210,210,651
05/08/2014,183,180,180,180,45
07/06/2014,180,186,183,186,221
07/09/2014,186,189,189,189,52
07/10/2014,189,186,180,180,135
07/13/2014,180,189,183,189,210
07/14/2014,189,192,192,192,405
07/16/2014,192,198,195,198,106
07/17/2014,198,201,201,201,999
07/22/2014,201,205,205,205,999
08/03/2014,205,209,209,209,36
08/04/2014,209,217,213,217,170
08/19/2014,217,225,221,225,167
08/21/2014,225,229,229,229,14
08/25/2014,229,251,233,251,472
08/26/2014,251,266,256,266,135
09/21/2014,266,271,266,271,483
09/23/2014,271,280,266,275,1311
09/24/2014,275,280,280,280,81
10/16/2014,280,285,280,280,236
10/28/2014,280,280,275,280,243
11/05/2014,280,285,285,285,22
11/09/2014,285,280,270,270,7669
11/16/2014,270,275,275,275,48
11/24/2014,275,280,280,280,48
11/25/2014,280,280,275,280,113
12/01/2014,280,285,285,285,69
12/11/2014,285,295,290,295,372
12/18/2014,295,295,290,295,2010
12/21/2014,295,290,285,285,211
12/22/2014,285,290,290,290,186
12/23/2014,290,285,280,280,585
01/06/2015,280,285,285,285,221
01/08/2015,285,283,283,283,180
01/11/2015,283,288,288,288,125
02/26/2015,257,262,262,262,1011
03/09/2015,262,267,267,267,545
06/10/2015,267,262,262,262,593
06/21/2015,262,257,257,257,624
07/08/2015,257,272,252,257,4962
08/04/2015,257,265,260,265,1240
08/05/2015,265,260,260,260,152
08/06/2015,260,255,255,255,333
08/10/2015,255,260,260,260,125
08/11/2015,260,265,265,265,235
09/14/2015,265,260,260,260,423
09/17/2015,260,261,256,261,415
10/04/2015,261,287,266,287,1292
10/05/2015,287,305,282,305,354
10/11/2015,305,299,299,299,117
11/15/2015,299,304,304,304,48
11/22/2015,304,298,289,290,5543
11/26/2015,290,295,290,295,541
12/01/2015,295,291,289,289,720
12/02/2015,289,290,290,290,1356
01/12/2016,290,285,280,285,670
01/12/2016,290,285,280,285,670
01/13/2016,285,292,290,292,386
01/14/2016,292,295,276,276,1787
03/24/2016,276,281,271,271,1161
03/28/2016,271,298,276,298,220
03/29/2016,298,327,303,327,510
03/30/2016,327,339,333,339,200
03/31/2016,339,340,328,328,950
04/03/2016,328,322,322,322,200
04/04/2016,322,318,318,318,100
04/10/2016,318,320,320,320,200
04/11/2016,320,326,326,326,230
04/20/2016,326,338,332,338,100
04/24/2016,338,346,340,340,200
04/25/2016,340,340,340,340,291
04/27/2016,340,350,335,350,2547
04/28/2016,350,385,357,378,660
05/02/2016,378,385,380,380,552
05/03/2016,380,387,380,380,1256
05/04/2016,380,373,373,373,100
05/05/2016,373,366,366,366,50
05/11/2016,366,373,373,373,200
05/17/2016,373,366,366,366,1000
05/18/2016,366,370,370,370,100
06/01/2016,370,363,363,363,1000
