Date,Open,High,Low,Close,Volume
03/20/2011,109,119,102,119,2735
03/25/2011,119,126,108,124,1600
03/27/2011,124,132,126,132,130
03/28/2011,132,130,130,130,10
03/29/2011,130,134,128,134,315
03/30/2011,134,132,132,132,160
03/31/2011,132,130,124,130,265
04/04/2011,130,128,126,126,40
04/06/2011,126,132,128,132,30
04/11/2011,132,132,132,132,210
04/19/2011,132,126,122,122,15455
04/21/2011,122,120,118,118,40
04/27/2011,118,116,114,114,290
05/10/2011,114,109,106,106,1090
05/11/2011,106,104,99,103,525
05/12/2011,103,103,101,101,125
05/15/2011,101,99,99,99,70
05/16/2011,99,99,98,99,360
05/18/2011,99,100,97,98,1365
05/19/2011,98,100,98,98,480
05/22/2011,98,102,98,102,9710
05/23/2011,102,100,98,98,550
05/24/2011,98,97,97,97,140
05/25/2011,97,106,94,106,515
05/26/2011,106,107,103,107,160
05/30/2011,107,105,103,104,150
05/31/2011,104,103,101,103,190
06/01/2011,103,105,103,105,100
06/02/2011,105,109,107,109,65
06/16/2011,109,107,101,101,1330
06/19/2011,101,99,98,98,350
06/20/2011,101,99,98,98,350
06/21/2011,107,117,109,115,545
07/03/2011,115,113,111,111,14980
07/12/2011,111,106,104,104,1055
07/17/2011,104,106,102,106,160
07/19/2011,106,116,100,116,875
07/26/2011,116,116,116,116,140
08/15/2011,116,114,110,110,40
09/18/2011,110,108,106,106,5030
09/19/2011,106,104,101,101,320
09/22/2011,101,101,101,101,90
10/09/2011,101,99,96,96,710
10/10/2011,96,95,94,94,275
10/12/2011,94,93,90,90,80
10/13/2011,90,89,83,83,1635
10/16/2011,83,83,82,82,155
