Date,Open,High,Low,Close,Volume
03/20/2011,154,151,151,151,100
03/25/2011,157,157,157,157,70
04/05/2011,157,157,157,157,1000
04/06/2011,157,154,154,154,50
04/07/2011,154,157,157,157,100
04/17/2011,157,160,160,160,100
04/18/2011,160,157,157,157,60
05/05/2011,157,145,145,145,2000
06/05/2011,145,147,147,147,8330
06/23/2011,147,145,145,145,20
08/07/2011,145,143,143,143,200
08/08/2011,143,141,141,141,130
08/11/2011,141,139,137,137,200
09/06/2011,137,135,124,124,1195
09/07/2011,124,122,112,112,1786
09/08/2011,112,110,102,102,1431
09/12/2011,102,100,100,100,440
09/13/2011,100,98,98,98,80
09/14/2011,98,99,99,99,158
11/06/2011,99,99,99,99,528
12/18/2011,97,96,96,96,300
01/01/2012,96,97,97,97,5940
01/23/2012,97,97,97,97,1210
01/31/2012,97,96,95,95,3090
02/01/2012,95,104,93,104,11816
02/02/2012,104,106,106,106,20
02/05/2012,106,110,108,110,120
02/06/2012,110,112,112,112,10
02/23/2012,112,110,108,108,220
03/15/2012,108,110,110,110,100
03/29/2012,110,116,112,116,1050
04/01/2012,116,118,118,118,10
04/02/2012,118,116,116,116,10
04/03/2012,116,122,120,122,20
04/05/2012,122,126,126,126,10
04/12/2012,126,124,122,122,30
04/16/2012,122,120,120,120,10
04/17/2012,120,132,126,132,130
04/18/2012,132,126,126,126,10
04/19/2012,126,132,116,116,280
04/22/2012,116,122,112,112,80
04/24/2012,112,117,117,117,10
04/26/2012,117,122,122,122,10
05/07/2012,122,128,128,128,10
05/08/2012,128,126,126,126,833
05/09/2012,126,132,132,132,10
05/13/2012,132,126,124,124,20
05/17/2012,124,130,130,130,10
05/20/2012,130,128,126,126,110
05/21/2012,126,124,118,118,200
05/22/2012,118,116,108,108,400
05/23/2012,108,113,109,109,70
05/29/2012,109,107,101,101,40
06/04/2012,101,99,96,96,110
06/05/2012,96,95,94,94,150
06/06/2012,94,93,88,88,1900
06/07/2012,88,90,89,90,774
06/10/2012,90,89,89,89,1830
06/13/2012,89,88,88,88,320
06/17/2012,88,92,92,92,10
06/18/2012,92,93,93,93,10
06/28/2012,93,95,94,95,20
07/02/2012,95,98,96,98,50
07/03/2012,98,102,99,102,30
07/05/2012,102,104,104,104,10
07/10/2012,104,106,106,106,10
07/12/2012,106,116,108,116,112
07/15/2012,116,124,118,124,80
09/06/2012,124,124,124,124,100
05/25/2014,124,124,124,124,110
06/24/2014,124,122,122,122,132
06/25/2014,122,120,118,118,400
06/29/2014,118,117,116,116,140
07/03/2014,116,117,117,117,220
07/06/2014,117,128,119,128,1865
07/07/2014,128,130,128,128,800
07/08/2014,128,131,130,131,2040
07/09/2014,131,129,119,121,1388
07/10/2014,121,122,120,122,2450
