Date,Open,High,Low,Close,Volume
05/25/2011,239,235,235,235,1404
06/06/2011,235,231,231,231,20
06/08/2011,231,227,215,215,90
09/06/2011,215,215,215,215,20
12/05/2011,215,213,213,213,20
12/19/2011,213,209,205,205,90
01/31/2012,205,201,191,191,300
02/07/2012,191,188,173,173,200
02/08/2012,173,170,170,170,3120
02/23/2012,170,167,167,167,10
03/18/2012,167,164,152,152,60
03/19/2012,152,149,147,147,40
03/20/2012,147,145,145,145,20
03/28/2012,145,143,141,141,2000
03/29/2012,141,139,131,131,1520
04/03/2012,131,129,127,127,40
04/04/2012,127,125,115,115,120
04/05/2012,115,113,104,104,210
04/08/2012,104,102,97,97,1063
04/09/2012,97,98,98,98,60
04/10/2012,98,102,98,102,1976
04/11/2012,102,102,98,98,1200
04/15/2012,98,106,99,106,180
04/17/2012,106,108,108,108,130
04/19/2012,108,112,110,112,140
04/22/2012,112,118,114,118,100
04/26/2012,118,122,120,122,212
04/29/2012,122,126,122,126,740
04/30/2012,126,128,128,128,355
05/08/2012,128,128,128,128,182
05/17/2012,128,130,130,130,20
05/24/2012,130,128,126,126,282
07/02/2012,126,126,124,124,100
11/07/2012,124,122,122,122,26
11/20/2012,122,120,114,114,310
11/28/2012,114,112,108,108,462
11/29/2012,108,107,106,107,502
01/28/2013,107,105,103,103,256
02/20/2013,103,101,99,100,9172
04/11/2013,100,100,100,100,50
05/07/2013,100,98,98,98,60
06/18/2013,98,97,96,96,20
07/01/2013,96,95,92,92,132
07/17/2013,92,91,91,91,60
08/01/2013,91,92,92,92,50
08/07/2013,92,93,93,93,202
08/14/2013,93,94,94,94,30
09/09/2013,94,97,95,97,60
09/10/2013,97,100,98,100,86
09/11/2013,100,106,100,106,140
09/12/2013,106,108,108,108,20
09/15/2013,108,107,107,107,100
09/16/2013,107,109,107,107,190
09/17/2013,107,111,109,111,40
10/27/2013,111,113,113,113,20
10/30/2013,113,111,111,111,20
12/03/2013,111,121,111,121,1984
12/04/2013,121,127,123,127,471
12/05/2013,127,129,127,129,3000
12/08/2013,129,127,125,125,2500
12/10/2013,125,123,121,121,312
01/05/2014,121,119,119,119,500
01/09/2014,119,117,117,117,52
01/14/2014,117,115,115,115,100
01/16/2014,115,113,113,113,240
01/20/2014,113,111,111,111,602
01/23/2014,111,112,110,112,12227
02/02/2014,112,117,112,117,1800
02/04/2014,117,119,119,119,150
02/06/2014,130,143,132,143,1110
02/09/2014,143,157,145,157,6395
02/10/2014,157,172,160,170,940
02/11/2014,170,187,173,187,864
02/12/2014,187,202,190,202,200
02/13/2014,202,198,198,198,100
02/16/2014,198,195,195,195,40
02/17/2014,195,192,189,189,80
02/18/2014,189,189,186,186,100
02/20/2014,186,189,189,189,20
02/23/2014,189,0,0,189,2770
02/25/2014,185,185,176,176,671
02/26/2014,176,173,167,167,1460
03/03/2014,167,164,158,161,3681
03/04/2014,161,158,158,158,30
03/05/2014,158,164,157,162,1579
03/06/2014,162,159,159,159,100
03/10/2014,159,159,156,159,2065
03/11/2014,159,164,161,161,1173
03/12/2014,161,159,159,159,20
03/17/2014,159,156,153,153,1469
03/23/2014,153,150,150,150,4860
03/24/2014,150,156,153,156,1060
03/25/2014,156,171,159,171,620
