Date,Open,High,Low,Close,Volume
10/27/2013,132,145,132,145,14607
10/28/2013,145,159,147,156,8780
10/29/2013,156,155,148,150,3789
10/30/2013,150,151,150,151,2197
10/31/2013,151,150,148,150,3048
11/06/2013,150,150,147,147,1471
11/07/2013,147,149,145,148,2103
11/10/2013,148,159,150,158,9018
11/11/2013,158,173,161,173,4127
11/12/2013,173,190,175,190,15868
11/13/2013,190,201,188,200,14547
11/14/2013,200,200,193,195,7716
11/21/2013,195,201,198,201,236
11/24/2013,201,216,205,216,951
11/25/2013,216,220,212,219,5056
11/26/2013,219,216,202,202,3424
11/27/2013,202,210,206,210,617
11/28/2013,210,206,199,202,2370
12/01/2013,202,202,193,193,2531
12/02/2013,193,204,190,201,3617
12/03/2013,201,221,203,221,9854
12/04/2013,221,243,225,243,2226
12/05/2013,243,267,247,260,10702
12/08/2013,260,265,234,234,8333
12/09/2013,234,233,218,230,12465
12/10/2013,230,230,223,223,2245
12/11/2013,223,245,223,245,19203
12/12/2013,244,250,241,242,8608
12/15/2013,242,255,240,255,5799
12/16/2013,255,260,260,260,20
12/18/2013,260,265,265,265,300
12/19/2013,265,285,270,285,11718
12/22/2013,285,280,257,260,5960
12/23/2013,261,256,246,246,2235
12/24/2013,246,242,222,225,3586
12/26/2013,225,233,229,233,163
12/29/2013,233,235,230,235,2605
12/31/2013,235,253,239,249,4138
01/01/2014,249,253,241,241,5383
01/02/2014,241,249,240,240,1962
01/05/2014,240,255,241,255,18981
01/06/2014,255,268,260,264,2585
01/07/2014,264,260,254,260,2226
01/08/2014,260,257,255,255,917
01/09/2014,255,257,252,257,1706
01/12/2014,257,257,247,247,1029
01/13/2014,247,256,246,255,9327
01/14/2014,255,256,251,256,3162
01/16/2014,256,255,250,250,2067
01/19/2014,250,255,250,255,2764
01/20/2014,255,265,255,265,3194
01/21/2014,265,265,260,260,839
01/22/2014,260,255,246,246,621
01/23/2014,246,253,249,250,2929
01/26/2014,250,260,250,255,3105
01/27/2014,255,250,246,247,3384
01/28/2014,247,256,250,255,4221
01/29/2014,255,256,250,256,956
02/02/2014,256,254,250,250,306
02/03/2014,250,253,245,245,6558
02/04/2014,245,248,243,248,2268
02/06/2014,248,258,246,258,3447
02/09/2014,258,270,259,269,8140
02/10/2014,269,275,267,268,4942
02/11/2014,268,278,265,265,36404
02/12/2014,265,275,270,273,3065
02/13/2014,273,275,270,275,3883
02/16/2014,275,280,266,270,3740
02/17/2014,270,265,255,255,657
02/18/2014,255,260,255,255,2262
02/20/2014,255,260,260,260,200
02/23/2014,260,270,260,266,4899
02/24/2014,266,271,269,269,388
02/25/2014,269,267,260,266,2467
02/26/2014,266,264,261,261,527
03/03/2014,261,262,251,251,2600
03/04/2014,251,247,242,242,921
03/05/2014,242,250,242,247,660
03/06/2014,247,266,250,266,2975
03/09/2014,266,265,260,262,4203
03/10/2014,262,260,255,255,2627
03/11/2014,255,250,250,250,27
03/12/2014,250,250,240,240,1321
03/13/2014,240,248,240,248,851
03/18/2014,248,244,240,240,1223
03/20/2014,240,239,239,239,40
03/23/2014,239,243,236,236,3365
03/24/2014,236,240,240,240,250
03/25/2014,240,248,244,245,1232
03/26/2014,245,249,241,248,2355
03/27/2014,248,248,242,246,2615
03/31/2014,246,247,243,247,960
04/01/2014,247,248,245,248,621
04/02/2014,248,249,247,247,890
04/03/2014,247,245,240,240,1000
