Date,Open,High,Low,Close,Volume
04/10/2011,160,157,157,157,68
04/11/2011,157,154,154,154,21
04/18/2011,154,157,157,157,102
05/12/2011,157,154,154,154,34
07/28/2011,154,147,147,147,10
08/11/2011,147,145,141,141,50
08/15/2011,141,139,137,137,30
08/16/2011,137,135,135,135,34
08/17/2011,135,133,133,133,10
08/24/2011,133,131,131,131,146
09/08/2011,131,131,131,131,10
09/15/2011,131,129,129,129,34
09/18/2011,129,127,127,127,21
09/21/2011,127,127,127,127,68
10/02/2011,127,129,127,129,88
10/12/2011,129,127,127,127,34
11/14/2011,127,127,127,127,34
11/15/2011,127,127,127,127,374
12/01/2011,127,127,125,127,74
12/04/2011,127,125,125,125,5000
12/05/2011,125,135,127,135,5302
01/04/2012,135,133,133,133,68
02/07/2012,133,131,131,131,34
03/01/2012,131,129,129,129,34
03/04/2012,129,127,127,127,100
03/29/2012,127,129,125,129,612
04/01/2012,129,137,129,137,580
04/03/2012,137,139,139,139,50
06/10/2012,139,140,140,140,136
06/14/2012,140,138,138,138,624
08/21/2012,138,138,138,138,68
08/22/2012,138,137,137,137,34
08/23/2012,137,139,139,139,100
08/26/2012,139,138,138,138,40
08/27/2012,138,138,138,138,238
08/28/2012,138,144,140,144,209
08/29/2012,144,144,142,144,3532
08/30/2012,144,144,142,144,2740
09/02/2012,144,142,142,142,68
09/03/2012,142,143,140,143,847
09/04/2012,143,145,145,145,34
09/09/2012,145,143,142,142,68
09/10/2012,142,146,144,146,50
09/11/2012,146,144,144,144,68
09/12/2012,144,145,143,143,268
09/13/2012,143,145,143,143,16309
09/25/2012,143,145,144,145,189
10/01/2012,145,147,147,147,58
10/01/2012,145,147,147,147,58
10/02/2012,147,149,149,149,68
10/04/2012,149,149,149,149,34
10/11/2012,149,147,147,147,68
10/14/2012,147,149,149,149,34
10/15/2012,149,163,151,163,1316
10/17/2012,163,163,163,163,200
11/05/2012,163,163,160,163,134
11/06/2012,163,172,166,170,186
11/07/2012,170,167,167,167,42
11/22/2012,167,170,170,170,34
11/26/2012,170,173,173,173,68
11/28/2012,173,170,170,170,5000
12/06/2012,170,167,167,167,5000
12/09/2012,167,167,167,167,5000
12/13/2012,167,164,164,164,4000
12/19/2012,164,164,164,164,2062
02/24/2013,164,165,165,165,21
03/14/2013,165,163,160,163,446
03/18/2013,163,160,151,151,510
03/19/2013,151,148,144,144,1500
03/20/2013,144,146,146,146,76
05/09/2013,146,146,146,146,21
05/13/2013,146,144,142,142,68
05/21/2013,142,140,140,140,123
05/28/2013,140,138,138,138,63
05/30/2013,138,140,140,140,400
06/02/2013,140,142,142,142,34
06/03/2013,142,144,144,144,34
06/04/2013,144,146,144,146,163
06/05/2013,146,147,145,147,87
07/03/2013,147,126,124,124,76
07/30/2013,124,126,126,126,34
08/04/2013,126,128,128,128,340
08/05/2013,128,130,130,130,29
08/11/2013,130,132,132,132,10
08/13/2013,132,134,134,134,39
08/15/2013,134,137,136,137,48
08/20/2013,137,141,139,141,68
08/25/2013,141,139,139,139,1334
08/27/2013,139,151,141,151,693
08/29/2013,151,166,154,166,140
09/01/2013,166,181,169,181,90
09/02/2013,181,184,184,184,10
09/03/2013,184,199,187,199,240
09/04/2013,199,218,202,214,2443
09/05/2013,214,210,195,196,657
09/08/2013,196,193,193,193,21
09/10/2013,193,190,190,190,48
09/11/2013,190,192,189,192,582
09/16/2013,192,198,195,198,79
09/17/2013,198,200,199,200,144
09/19/2013,200,200,194,194,222
09/22/2013,194,191,191,191,34
09/25/2013,191,188,188,188,100
09/26/2013,188,185,185,185,230
09/30/2013,185,182,182,182,79
10/01/2013,182,182,179,182,82
10/03/2013,182,180,177,177,50
10/07/2013,177,174,174,174,48
10/08/2013,174,171,171,171,39
10/10/2013,171,174,174,174,10
10/21/2013,174,171,171,171,374
10/22/2013,171,177,174,177,44
10/23/2013,177,175,174,175,48
10/24/2013,175,178,175,178,73
10/28/2013,178,175,175,175,30
10/29/2013,175,175,175,175,273
10/31/2013,175,176,176,176,39
11/14/2013,176,193,179,193,402
11/24/2013,193,199,196,199,2034
11/25/2013,199,206,202,206,619
11/27/2013,206,226,210,226,118
11/28/2013,226,246,230,246,89
12/01/2013,246,246,242,246,168
05/04/2014,246,250,250,250,14
05/08/2014,250,255,255,255,39
05/25/2014,265,270,270,270,500
06/08/2014,270,275,275,275,24
06/11/2014,275,295,280,295,40
06/12/2014,295,300,300,300,48
06/15/2014,300,306,306,306,10
06/16/2014,306,324,312,324,30
06/17/2014,324,336,330,336,68
06/17/2014,324,336,330,336,68
06/18/2014,336,342,342,342,10
06/19/2014,342,354,348,354,36
06/23/2014,354,382,361,382,176
06/24/2014,382,396,389,396,20
06/25/2014,396,419,403,419,117
06/26/2014,419,427,427,427,10
07/02/2014,427,469,435,469,50
07/03/2014,469,515,478,515,240
07/06/2014,515,535,525,535,20
07/07/2014,535,545,545,545,10
07/09/2014,545,588,555,588,598
07/10/2014,588,610,599,610,20
07/13/2014,610,671,622,671,64
07/14/2014,671,738,684,738,103
07/15/2014,738,811,752,811,199
07/16/2014,811,892,827,892,273
07/17/2014,892,981,909,981,4539
07/20/2014,981,1030,980,1030,1093
07/21/2014,1030,1030,979,994,2952
07/22/2014,994,998,950,950,1873
07/23/2014,950,969,950,969,353
07/24/2014,969,958,922,958,682
07/27/2014,958,939,889,900,1038
07/28/2014,900,889,870,889,965
07/30/2014,889,880,833,833,1453
07/31/2014,833,878,840,861,1171
08/03/2014,861,878,840,845,2421
08/04/2014,845,850,840,840,441
08/05/2014,840,860,850,860,493
08/06/2014,860,860,829,829,101
08/07/2014,829,840,825,826,172
08/12/2014,826,821,820,821,109
08/13/2014,821,826,825,826,81
08/14/2014,826,845,842,845,34
08/18/2014,845,867,850,867,401
08/19/2014,867,885,875,885,1095
08/20/2014,885,885,875,875,434
08/21/2014,875,860,860,860,13
08/26/2014,860,843,827,827,60
08/27/2014,827,825,790,790,713
08/28/2014,790,800,784,785,1670
08/31/2014,785,770,740,750,419
09/01/2014,750,751,736,736,186
09/03/2014,736,726,722,725,1222
09/04/2014,725,739,720,720,510
09/07/2014,720,720,710,710,237
09/09/2014,710,715,700,700,313
09/10/2014,700,701,700,700,246
09/11/2014,700,687,686,686,415
09/14/2014,686,680,670,670,54
09/15/2014,670,683,657,683,118
09/16/2014,683,670,670,670,13644
09/17/2014,670,660,660,660,6275
09/18/2014,660,690,673,690,303
09/22/2014,690,717,703,717,894
09/23/2014,717,727,726,727,78
09/24/2014,727,756,735,756,171
09/28/2014,756,780,771,780,74
09/29/2014,780,785,775,775,127
10/08/2014,775,760,760,760,117
10/09/2014,760,775,750,775,1073
10/14/2014,775,770,770,770,114
10/15/2014,770,785,780,780,277
10/16/2014,780,826,795,826,39
10/19/2014,826,878,842,878,631
10/20/2014,878,875,848,848,144
10/21/2014,848,870,864,870,124
10/26/2014,870,865,865,865,72
10/27/2014,865,882,880,882,63
10/30/2014,882,865,865,865,78
11/03/2014,865,850,850,850,68
11/04/2014,850,835,826,826,346
11/05/2014,826,812,810,810,97
11/06/2014,810,842,810,842,62
11/09/2014,842,826,826,826,59
11/10/2014,826,813,810,813,166
11/11/2014,813,800,795,795,64
11/12/2014,795,795,780,781,354
11/13/2014,781,780,766,780,97
11/16/2014,780,780,780,780,245
11/17/2014,780,770,770,770,153
11/18/2014,770,816,785,785,1173
11/19/2014,785,790,785,785,16494
11/23/2014,785,800,800,800,129
11/24/2014,800,822,791,822,5121
11/30/2014,822,810,800,800,185
12/01/2014,800,816,800,800,248
12/02/2014,800,809,785,809,253
12/03/2014,809,822,812,815,477
12/04/2014,815,826,820,820,622
12/07/2014,820,835,825,825,1011
12/08/2014,825,815,810,810,89
12/09/2014,810,815,810,815,578
12/11/2014,815,831,815,831,561
12/14/2014,831,850,847,850,289
12/17/2014,850,835,803,803,126
12/18/2014,803,805,805,805,78
12/21/2014,805,808,808,808,240
12/22/2014,808,806,800,806,148
12/23/2014,806,806,781,781,162
12/28/2014,781,790,785,790,541
12/28/2014,781,790,785,790,541
12/31/2014,790,816,790,816,1197
01/01/2015,816,845,832,845,170
01/04/2015,845,878,861,878,78
01/05/2015,878,910,875,885,994
01/06/2015,885,900,882,882,898
01/07/2015,882,885,830,862,11532
01/08/2015,862,900,875,900,289
01/11/2015,900,988,914,956,1279
01/12/2015,956,958,940,954,801
01/13/2015,954,951,950,951,542
01/14/2015,951,960,950,960,500
01/19/2015,960,941,930,940,6487
01/20/2015,940,1025,940,1025,1095
01/22/2015,1025,1005,960,970,346
01/25/2015,970,970,965,965,227
01/26/2015,965,961,960,961,117
01/27/2015,961,969,950,969,420
02/01/2015,969,970,970,970,49
02/02/2015,970,951,951,951,39
02/03/2015,951,955,950,950,379
02/04/2015,950,931,931,931,39
02/05/2015,931,942,930,942,126
02/08/2015,942,970,942,970,1312
02/09/2015,970,994,985,994,1156
02/10/2015,994,1000,985,997,224
02/11/2015,997,985,980,980,551
02/12/2015,980,999,980,980,1059
02/15/2015,980,975,951,975,1804
02/16/2015,975,1009,975,998,2760
02/16/2015,975,1009,975,998,2760
02/18/2015,998,1017,1001,1015,325
02/22/2015,1015,1012,1000,1009,750
02/23/2015,1009,990,989,990,364
02/24/2015,990,989,971,989,1106
02/25/2015,989,985,980,980,220
02/26/2015,980,990,990,990,200
03/01/2015,990,995,992,994,1170
03/03/2015,994,1025,1001,1021,3223
03/04/2015,1021,1123,1040,1123,5577
03/09/2015,1123,1162,1100,1139,9096
03/10/2015,583,641,594,641,3713
03/11/2015,641,675,645,654,1922
03/12/2015,654,645,641,641,420
03/15/2015,641,640,640,640,216
03/16/2015,640,628,628,628,100
03/19/2015,628,616,604,604,170
03/22/2015,604,592,565,565,951
03/23/2015,565,557,535,540,512
03/24/2015,540,532,524,524,74
03/25/2015,524,515,515,515,50
03/30/2015,515,512,472,472,994
03/31/2015,472,481,481,481,50
04/01/2015,481,477,463,463,888
04/02/2015,463,464,464,464,24
04/05/2015,464,455,455,455,129
04/06/2015,455,455,455,455,78
04/07/2015,455,451,451,451,381
04/08/2015,451,460,460,460,81
04/12/2015,460,471,462,471,78
04/13/2015,471,489,480,489,40
04/16/2015,489,495,495,495,50
04/19/2015,495,510,500,505,1037
04/20/2015,505,515,506,515,1001
04/21/2015,515,530,525,530,364
04/22/2015,530,540,535,540,363
04/23/2015,540,540,525,535,576
06/21/2015,535,525,515,515,45
06/23/2015,515,505,505,505,10
06/24/2015,505,495,495,495,94
06/25/2015,495,486,448,465,1475
06/28/2015,465,483,465,465,257
06/29/2015,465,505,465,505,275
06/30/2015,505,505,492,503,781
07/01/2015,503,502,492,499,556
07/02/2015,438,446,446,446,30
07/05/2015,446,451,449,450,532
07/09/2015,450,450,450,450,24
07/22/2015,450,441,440,440,302
07/23/2015,440,432,424,424,58
07/29/2015,424,425,425,425,288
07/30/2015,425,433,425,425,415
08/02/2015,425,420,420,420,48
08/03/2015,420,428,425,428,554
08/04/2015,428,430,430,430,600
08/06/2015,430,430,430,430,300
08/09/2015,430,446,438,446,258
08/12/2015,446,438,438,438,34
08/16/2015,438,438,438,438,120
08/18/2015,438,463,446,463,234
08/18/2015,438,463,446,463,234
08/19/2015,463,508,472,508,1024
08/20/2015,508,558,518,558,1320
08/23/2015,558,613,551,613,8116
08/24/2015,613,674,625,674,1227
08/25/2015,674,701,673,701,2975
08/26/2015,701,695,670,675,1462
08/27/2015,675,689,675,685,1208
08/31/2015,685,693,672,693,2004
09/01/2015,693,709,700,700,3650
09/02/2015,700,700,686,699,674
09/03/2015,699,696,695,696,153
09/08/2015,696,683,657,657,268
09/09/2015,657,646,635,635,137
09/13/2015,635,635,623,625,173
09/14/2015,625,620,609,609,237
09/15/2015,609,620,620,620,150
09/16/2015,620,625,625,625,151
09/17/2015,625,620,612,612,793
09/28/2015,612,612,600,600,154
09/29/2015,600,600,600,600,10
09/30/2015,600,602,600,600,667
10/04/2015,600,595,590,590,124
10/05/2015,590,579,579,579,100
10/06/2015,579,568,557,557,89
10/11/2015,557,546,526,526,471
10/14/2015,526,517,500,510,2986
10/15/2015,510,510,504,509,1936
10/18/2015,509,501,501,501,39
10/27/2015,501,500,490,490,368
10/28/2015,490,481,481,481,200
10/29/2015,481,476,470,470,2387
11/01/2015,470,488,479,488,456
11/02/2015,488,482,480,480,959
11/03/2015,480,480,472,472,445
11/04/2015,472,475,470,475,200
11/05/2015,475,480,470,470,3036
11/08/2015,470,475,470,470,786
11/09/2015,470,485,472,485,684
11/10/2015,485,499,489,499,1113
11/15/2015,499,492,492,492,260
11/16/2015,492,490,486,486,1190
11/18/2015,486,485,485,485,1000
11/19/2015,485,481,480,480,5218
11/22/2015,480,472,462,462,1250
11/23/2015,462,460,453,460,1500
11/24/2015,460,460,456,460,581
11/26/2015,460,451,444,450,3276
11/29/2015,450,441,433,433,248
12/01/2015,433,454,430,454,648
12/02/2015,454,455,450,455,909
12/03/2015,455,465,464,465,600
12/06/2015,465,474,474,474,400
12/07/2015,474,480,478,480,1022
12/08/2015,480,506,489,502,3073
12/09/2015,502,532,508,532,2072
12/10/2015,532,552,541,541,1200
12/13/2015,541,560,540,560,2023
12/14/2015,560,549,532,532,1196
12/15/2015,532,585,542,584,815
12/16/2015,584,601,590,595,4202
12/17/2015,595,597,573,573,1241
12/20/2015,573,576,565,570,2797
12/21/2015,570,590,566,589,6904
12/22/2015,589,612,598,612,6633
12/23/2015,612,670,624,670,8871
12/24/2015,670,714,683,700,14633
12/27/2015,700,710,680,690,7619
12/28/2015,690,712,685,712,9230
12/29/2015,712,760,710,760,13418
12/31/2015,760,802,770,799,11123
01/03/2016,799,878,814,878,18988
01/04/2016,878,965,895,960,26299
01/05/2016,960,978,904,915,16122
01/06/2016,915,918,876,899,9308
01/07/2016,899,918,900,900,16988
01/10/2016,900,913,886,890,10864
01/11/2016,890,890,880,889,5193
01/12/2016,889,880,861,866,13120
01/12/2016,889,880,861,866,13120
01/13/2016,866,910,867,870,13969
01/14/2016,870,904,876,893,15179
01/20/2016,893,982,910,982,50
01/21/2016,982,1061,1000,1000,5597
01/24/2016,1000,990,990,990,268
01/25/2016,990,1010,990,995,6445
01/26/2016,995,1005,990,990,188
01/27/2016,990,1000,990,990,2200
01/28/2016,990,989,987,987,225
01/31/2016,987,990,975,975,1745
02/01/2016,975,990,980,985,6354
02/02/2016,985,1020,997,1000,14506
02/03/2016,1000,1030,1015,1015,6761
02/04/2016,1015,1080,1015,1080,9688
02/07/2016,1080,1145,1095,1120,13810
02/08/2016,1120,1139,1090,1128,8575
02/11/2016,1128,1195,1135,1136,6061
02/14/2016,1136,1137,1112,1112,481
02/15/2016,1112,1105,1100,1100,1894
02/16/2016,1100,1121,1085,1110,4613
02/17/2016,1110,1149,1100,1149,2584
02/18/2016,1149,1150,1115,1128,6645
02/21/2016,1128,1150,1100,1100,6430
02/22/2016,1100,1120,1086,1100,5606
02/23/2016,1100,1100,1095,1095,1714
02/24/2016,1095,1100,1070,1070,3623
02/25/2016,1070,1093,1089,1093,470
02/28/2016,1093,1086,1072,1080,2564
02/29/2016,1080,1080,1055,1066,4174
03/01/2016,1066,1081,1060,1062,3498
03/02/2016,1062,1142,1070,1121,7161
03/03/2016,1121,1200,1115,1200,13509
03/06/2016,1200,1320,1224,1320,1246
03/10/2016,1320,1452,1346,1452,2590
03/13/2016,1452,1597,1481,1597,51294
03/14/2016,1597,1660,1551,1568,24392
03/15/2016,1568,1600,1536,1591,17872
03/16/2016,1591,1663,1600,1652,36053
03/17/2016,1271,1365,1272,1288,13663
03/20/2016,1288,1315,1270,1300,17414
03/21/2016,1300,1337,1304,1315,9584
03/23/2016,1315,1315,1281,1310,5810
03/24/2016,1310,1305,1284,1290,8751
03/27/2016,1290,1265,1225,1245,5028
03/28/2016,1245,1300,1222,1300,2065
03/29/2016,1300,1290,1226,1265,3563
03/30/2016,1265,1285,1257,1265,2642
03/31/2016,1265,1250,1250,1250,550
04/03/2016,1250,1270,1200,1270,3111
04/04/2016,1270,1295,1235,1295,783
04/05/2016,1295,1280,1251,1256,1420
04/06/2016,1256,1240,1240,1240,50
