Date,Open,High,Low,Close,Volume
09/01/2011,0,135,125,125,4800
09/04/2011,125,123,115,115,3650
11/03/2011,115,115,113,113,163180
11/10/2011,113,111,107,107,44720
11/28/2011,107,105,98,98,14500
12/19/2011,98,98,98,98,142480
01/17/2012,98,99,99,99,167000
02/06/2012,99,100,100,100,5000
02/08/2012,100,102,102,102,8920
02/16/2012,102,104,104,104,20000
03/11/2012,104,106,106,106,10000
07/16/2014,106,105,105,105,900
07/22/2014,105,105,105,105,2000
08/13/2014,105,105,105,105,100
08/24/2014,105,105,105,105,100
09/21/2014,105,105,105,105,250
04/20/2015,105,105,101,101,204900
12/31/2015,101,101,101,101,168000
01/13/2016,101,101,101,101,95250
03/11/2018,101,101,101,101,6800
04/24/2018,100,100,100,100,160000
