Date,Open,High,Low,Close,Volume
05/11/2011,0,136,136,136,240
05/12/2011,136,136,136,136,60
05/19/2011,136,135,135,135,21840
05/22/2011,135,135,135,135,280
05/23/2011,135,135,135,135,2800
06/02/2011,135,135,135,135,400
09/06/2011,135,133,133,133,20
10/19/2011,133,131,131,131,3890
01/16/2012,131,129,129,129,160
01/22/2012,129,129,129,129,4800
01/31/2012,129,127,127,127,20
03/01/2012,127,129,129,129,1000
03/04/2012,129,133,131,133,1950
03/05/2012,133,137,135,137,2000
03/06/2012,137,143,139,143,2280
03/12/2012,143,145,145,145,480
03/18/2012,145,143,143,143,1090
03/27/2012,143,141,139,139,2170
03/28/2012,139,139,139,139,1260
04/01/2012,139,137,135,135,4810
04/08/2012,135,133,131,131,5210
04/12/2012,131,129,127,127,4600
05/20/2012,127,129,129,129,700
05/29/2012,129,127,125,125,4010
05/30/2012,125,125,125,125,800
06/17/2012,125,125,125,125,200
04/21/2014,125,125,125,125,120
04/22/2014,125,123,123,123,140
04/23/2014,123,121,121,121,120
05/28/2014,121,119,117,117,140
06/01/2014,117,115,115,115,20
06/03/2014,115,113,113,113,120
06/05/2014,113,111,111,111,560
06/18/2014,111,113,113,113,120
07/06/2014,113,111,111,111,480
07/15/2014,111,109,109,109,200
07/16/2014,109,111,110,110,240
07/17/2014,110,115,112,115,400
07/30/2014,115,119,104,112,115560
08/03/2014,112,116,112,116,14280
08/04/2014,116,116,116,116,160
08/14/2014,116,126,118,126,50
08/18/2014,126,136,128,136,590
08/19/2014,136,140,138,140,620
08/21/2014,140,144,138,144,10360
08/28/2014,144,148,146,146,360
09/21/2014,146,147,147,147,80
09/22/2014,147,145,145,145,510
11/20/2014,145,145,145,145,520
11/23/2014,145,146,146,146,100
01/01/2015,146,144,144,144,140
01/18/2015,144,142,142,142,120
01/19/2015,142,156,144,156,330
01/20/2015,156,157,157,157,120
01/26/2015,157,172,160,172,820
01/28/2015,172,175,172,172,130
02/04/2015,172,175,175,175,250
02/10/2015,175,175,172,172,280
02/11/2015,172,178,175,176,260
02/18/2015,176,179,176,179,300
02/22/2015,179,176,176,176,200
02/23/2015,176,179,176,179,2180
02/24/2015,179,181,175,175,200
04/15/2015,175,172,169,169,90
04/21/2015,169,166,166,166,100
05/27/2015,166,166,166,166,160
06/24/2015,166,163,160,160,780
07/02/2015,160,161,161,161,1010
07/05/2015,161,158,145,145,10500
07/06/2015,145,143,141,141,100
07/07/2015,141,145,141,143,56640
07/15/2015,125,135,127,135,100
07/16/2015,135,145,137,145,20000
07/29/2015,145,145,145,145,47420
08/18/2015,145,147,147,147,20
08/18/2015,145,147,147,147,20
09/03/2015,147,149,149,149,20
09/06/2015,149,151,151,151,20
09/09/2015,151,154,153,153,340
09/10/2015,153,160,151,154,850
09/17/2015,154,161,157,161,160
09/22/2015,161,158,158,158,20
09/23/2015,158,161,161,161,20
11/03/2015,161,164,155,155,510
11/16/2015,155,158,158,158,2000
11/22/2015,158,161,161,161,40
12/01/2015,161,158,149,149,480
12/02/2015,149,151,151,151,30
12/21/2015,151,148,146,146,130
12/24/2015,146,144,144,144,40
12/27/2015,144,142,136,136,300
12/28/2015,136,136,132,132,470
12/29/2015,132,132,130,132,250
12/31/2015,132,130,130,130,60
01/03/2016,130,128,128,128,90
01/04/2016,128,126,126,126,240
01/05/2016,126,124,124,124,160
01/11/2016,124,122,122,122,30
01/12/2016,122,122,122,122,320
01/12/2016,122,122,122,122,320
01/13/2016,122,120,118,118,70
01/14/2016,118,126,116,126,11060
01/21/2016,126,128,128,128,50
02/14/2016,128,140,130,140,60
02/15/2016,140,154,142,154,2110
02/16/2016,154,169,157,169,2670
02/17/2016,169,175,172,175,35
02/18/2016,175,178,178,178,20
02/22/2016,178,187,181,187,65
02/23/2016,187,184,182,183,583
04/03/2016,183,180,174,174,30
04/04/2016,174,171,160,160,750
04/05/2016,160,157,157,157,100
04/06/2016,157,154,148,148,400
04/10/2016,148,159,149,159,1300
04/11/2016,159,168,149,153,6550
04/12/2016,153,157,150,154,2930
04/14/2016,154,153,152,153,880
04/17/2016,153,156,150,153,3410
04/18/2016,153,156,150,156,2170
04/19/2016,156,158,155,155,1200
04/20/2016,155,158,152,158,8440
04/21/2016,158,161,154,154,5950
04/24/2016,154,151,151,151,300
04/25/2016,151,157,153,157,5010
04/26/2016,157,157,154,154,1040
04/27/2016,154,164,157,163,3321
04/28/2016,163,167,160,160,5320
05/02/2016,160,166,163,166,3720
05/03/2016,166,167,162,167,4949
05/04/2016,167,165,165,165,105
05/05/2016,165,162,159,159,400
05/09/2016,159,171,162,171,630
05/10/2016,171,171,171,171,100
05/16/2016,171,168,165,165,100
05/17/2016,165,163,163,163,690
05/18/2016,163,166,165,166,250
05/19/2016,166,169,163,163,400
05/22/2016,163,166,161,161,2393
05/23/2016,161,167,164,167,4015
05/24/2016,167,165,164,165,1320
05/25/2016,165,167,162,165,2210
05/26/2016,165,163,163,163,230
05/29/2016,163,168,166,167,1130
05/30/2016,167,173,170,170,2350
05/31/2016,170,170,170,170,360
06/01/2016,170,170,167,170,200
06/02/2016,170,170,170,170,800
06/05/2016,170,169,164,164,780
06/06/2016,164,167,166,166,1020
06/07/2016,166,168,165,165,2620
06/09/2016,165,165,162,162,1500
06/12/2016,162,163,161,161,1040
06/13/2016,161,161,160,160,1325
06/14/2016,160,170,163,167,2000
06/15/2016,167,177,165,175,4210
06/16/2016,175,192,175,192,1835
06/19/2016,192,192,189,189,330
06/20/2016,189,188,180,180,3850
06/21/2016,180,198,183,198,13440
06/22/2016,198,205,197,201,3210
06/23/2016,201,201,194,199,2760
06/26/2016,199,218,202,218,6750
06/27/2016,218,216,207,211,2320
06/28/2016,211,220,210,217,2490
06/29/2016,217,236,221,226,5465
06/30/2016,226,230,220,220,1840
07/03/2016,220,224,220,220,1700
07/04/2016,220,220,217,217,3925
07/05/2016,217,215,214,214,1300
07/06/2016,214,235,215,235,21398
07/10/2016,235,239,231,234,7160
07/11/2016,234,230,230,230,300
07/12/2016,230,228,222,224,4800
07/13/2016,224,224,212,224,1145
07/14/2016,224,232,224,232,3690
07/17/2016,232,232,220,220,1200
07/18/2016,220,224,220,220,3400
07/19/2016,220,220,218,218,3360
07/20/2016,218,234,222,228,7200
07/21/2016,228,244,231,235,7065
07/25/2016,235,258,235,258,15225
07/26/2016,258,283,263,283,21474
07/27/2016,283,311,288,311,29020
07/28/2016,311,329,289,299,10903
07/31/2016,299,306,285,306,8955
08/01/2016,306,300,280,292,7281
08/02/2016,292,288,273,273,2780
08/03/2016,273,275,272,272,1420
08/04/2016,272,275,261,265,5161
08/07/2016,265,265,255,255,3600
08/08/2016,255,250,250,250,100
08/10/2016,250,270,255,270,2068
08/11/2016,270,275,265,265,1000
08/14/2016,265,260,255,255,900
08/15/2016,255,250,238,238,3050
08/16/2016,238,234,234,234,10
08/17/2016,234,257,238,257,850
08/21/2016,257,265,255,260,910
08/22/2016,260,260,255,260,1200
09/01/2016,260,255,245,245,2100
09/03/2016,245,249,249,249,10
09/04/2016,245,249,249,249,10
09/05/2016,249,273,245,270,2310
09/06/2016,270,290,262,262,3415
09/07/2016,262,265,257,265,1340
09/08/2016,265,270,265,270,210
09/11/2016,270,275,270,270,300
09/14/2016,270,268,268,268,400
09/20/2016,268,268,268,268,820
09/21/2016,268,265,260,265,470
09/28/2016,265,260,246,246,1550
09/29/2016,246,246,242,246,920
10/02/2016,246,245,237,237,1200
10/03/2016,237,241,241,241,1400
10/05/2016,241,241,237,237,580
10/06/2016,237,245,241,245,200
10/16/2016,245,245,245,245,50
10/18/2016,245,253,248,251,2060
10/19/2016,251,261,256,261,150
10/20/2016,261,269,262,264,750
10/23/2016,264,259,259,259,1000
10/27/2016,259,255,255,255,5550
11/07/2016,255,255,250,254,12560
11/08/2016,254,249,232,232,16420
11/09/2016,232,230,226,230,18390
11/10/2016,230,242,230,230,14840
11/13/2016,230,228,228,228,500
11/14/2016,228,225,225,225,1000
11/15/2016,225,229,225,225,40010
11/16/2016,225,229,229,229,16850
11/17/2016,229,225,222,222,800
12/01/2016,222,226,226,226,250
12/15/2016,226,222,222,222,10
12/18/2016,222,218,200,201,19740
12/19/2016,201,198,197,197,650
12/20/2016,197,194,191,191,150
12/21/2016,191,188,188,188,50
12/26/2016,188,185,170,170,350
12/27/2016,170,167,155,155,720
12/28/2016,155,153,152,152,350
01/01/2017,152,158,155,158,150
01/02/2017,158,168,156,168,530
01/03/2017,168,179,170,175,3060
01/04/2017,175,181,178,181,370
01/05/2017,181,178,172,172,1805
01/08/2017,172,169,167,167,400
01/15/2017,167,170,170,170,100
01/17/2017,170,167,161,161,1100
01/18/2017,161,159,158,158,1100
01/19/2017,158,163,160,163,600
01/22/2017,163,166,166,166,100
01/23/2017,166,167,158,167,61
01/24/2017,167,169,165,169,1420
02/02/2017,169,175,172,175,20
02/06/2017,175,172,172,172,280
02/07/2017,172,169,166,166,1680
02/08/2017,166,169,169,169,580
02/09/2017,169,170,167,167,500
02/12/2017,167,164,161,161,1850
02/15/2017,161,161,152,161,1985
02/16/2017,161,160,160,160,220
02/19/2017,160,157,154,156,460
02/20/2017,156,156,156,156,100
02/21/2017,156,158,158,158,15
02/22/2017,158,158,155,158,4370
02/28/2017,158,155,152,152,300
03/02/2017,152,153,150,153,3900
03/05/2017,153,153,153,153,20
03/06/2017,153,150,150,150,200
03/07/2017,150,149,148,149,10140
03/09/2017,149,147,147,147,100
03/13/2017,147,149,149,149,100
03/19/2017,149,147,147,147,80
03/20/2017,147,160,149,160,1930
03/21/2017,160,175,163,172,2730
03/22/2017,172,177,175,177,270
03/23/2017,177,177,174,174,2400
03/26/2017,174,177,177,177,450
03/28/2017,177,184,180,184,2150
03/29/2017,184,181,181,181,100
03/30/2017,181,180,180,180,500
04/02/2017,180,183,179,183,1200
04/03/2017,183,180,180,180,700
04/09/2017,180,181,179,179,200
