Date,Open,High,Low,Close,Volume
04/10/2011,140,140,140,140,200
05/10/2011,140,138,138,138,266
09/20/2011,138,140,140,140,200
01/08/2012,140,138,138,138,10
01/11/2012,138,136,136,136,400
01/16/2012,136,134,134,134,800
01/22/2012,134,132,132,132,20
03/25/2012,132,118,118,118,10
05/20/2013,118,116,116,116,10
05/23/2013,116,114,114,114,489
05/26/2013,114,116,116,116,10
05/28/2013,116,114,105,105,66
06/13/2013,105,103,99,99,30
06/26/2013,99,98,92,92,250
06/27/2013,92,91,83,83,512
07/01/2013,83,82,82,82,20
07/11/2013,82,81,77,77,50
07/15/2013,77,76,76,76,115
07/17/2013,76,73,73,73,100
07/18/2013,73,72,72,72,10
07/21/2013,72,72,72,72,20
07/22/2013,72,71,70,70,32
07/25/2013,70,69,63,63,108561
07/28/2013,63,63,62,63,274
08/04/2013,63,62,62,62,400
08/05/2013,62,61,61,61,520
08/08/2013,61,60,60,60,480
08/12/2013,60,59,59,59,120
08/14/2013,59,62,60,62,210
08/18/2013,62,64,63,64,160
08/20/2013,64,63,63,63,900
08/27/2013,63,62,60,60,40834
09/10/2013,60,61,61,61,75
09/17/2013,61,62,60,62,1011
09/22/2013,62,63,63,63,16
09/24/2013,63,0,0,63,8078
10/07/2013,63,62,62,62,190
10/08/2013,62,63,60,60,363
10/10/2013,60,60,60,60,450
10/21/2013,60,61,61,61,6585
10/29/2013,61,62,62,62,11
11/26/2013,62,62,62,62,99
11/27/2013,62,63,63,63,253
12/09/2013,63,69,66,69,40
12/10/2013,69,75,70,75,167
12/11/2013,75,77,76,77,150
12/12/2013,77,84,78,84,422
12/18/2013,84,86,85,86,100
12/19/2013,86,87,87,87,10
12/24/2013,86,93,87,93,160
12/26/2013,93,94,94,94,127
12/31/2013,94,97,94,97,2022
01/06/2014,97,98,98,98,1040
01/09/2014,98,97,97,97,1000
01/12/2014,97,96,96,96,100
01/14/2014,96,96,96,96,976
01/20/2014,96,97,97,97,1000
01/21/2014,97,96,96,96,10
01/22/2014,96,99,95,99,2718
01/23/2014,99,100,100,100,198
01/26/2014,100,98,98,98,2307
01/27/2014,98,107,99,107,3500
01/28/2014,107,117,109,117,12930
01/29/2014,117,128,119,128,20523
02/02/2014,128,140,130,140,3842
02/04/2014,140,138,138,138,200
02/10/2014,138,140,138,140,941
02/23/2014,140,138,134,134,1380
02/24/2014,134,132,132,132,480
02/25/2014,132,132,132,132,479
02/26/2014,132,134,122,122,2930
03/05/2014,122,120,114,114,1568
03/06/2014,114,117,113,115,3646
03/09/2014,115,115,114,115,935
03/10/2014,115,113,111,111,1016
03/11/2014,111,109,109,109,500
03/12/2014,109,111,111,111,464
03/13/2014,111,110,108,108,568
03/17/2014,108,106,104,104,599
03/18/2014,104,103,96,96,5087
03/19/2014,96,102,97,102,2786
03/23/2014,102,100,100,100,500
03/27/2014,100,102,99,100,602
03/31/2014,100,102,102,102,2932
04/02/2014,102,104,104,104,200
04/15/2014,104,102,102,102,132
04/16/2014,102,102,102,102,1466
04/17/2014,102,112,104,112,3157
04/20/2014,112,120,114,120,243
04/21/2014,120,120,118,120,1000
04/22/2014,120,118,116,117,530
04/23/2014,117,116,114,116,1149
04/27/2014,116,114,110,110,1240
04/28/2014,110,118,112,118,1784
04/29/2014,118,129,120,122,21639
04/30/2014,122,120,116,116,3253
05/04/2014,116,120,116,117,6392
05/05/2014,117,115,115,115,33
05/06/2014,115,122,116,120,4814
05/07/2014,120,122,118,122,2371
05/08/2014,122,134,124,128,13954
05/11/2014,128,126,124,124,2120
05/12/2014,124,125,122,124,2024
05/13/2014,124,126,122,126,2905
05/15/2014,126,124,122,122,1000
05/15/2014,126,124,122,122,1000
05/18/2014,122,121,113,121,52554
05/19/2014,121,123,121,121,766
05/21/2014,121,123,123,123,21
05/22/2014,123,124,123,124,474
05/25/2014,124,126,122,126,877
05/28/2014,126,124,122,122,4427
06/01/2014,122,120,118,118,948
06/02/2014,118,120,119,120,365
06/03/2014,120,122,121,121,4200
06/05/2014,121,128,123,127,11621
06/08/2014,127,130,127,127,1011
06/09/2014,127,127,127,127,500
06/10/2014,127,125,123,123,762
06/11/2014,123,125,125,125,60
06/15/2014,125,125,125,125,462
06/16/2014,125,125,125,125,330
06/17/2014,125,123,117,119,7315
06/17/2014,125,123,117,119,7315
06/18/2014,119,127,121,127,290
06/19/2014,127,127,125,127,1016
06/25/2014,127,126,125,126,528
06/29/2014,126,124,120,120,264
07/01/2014,120,127,122,123,7505
07/02/2014,123,127,125,127,14097
07/03/2014,127,130,125,130,23552
07/06/2014,130,143,132,143,13775
07/07/2014,143,157,145,155,23148
07/08/2014,155,160,145,160,14039
07/09/2014,160,163,157,157,3370
07/10/2014,157,160,146,148,4743
07/13/2014,148,153,150,150,1971
07/14/2014,150,147,143,147,7572
07/15/2014,147,157,143,157,11594
07/16/2014,157,163,152,152,10638
07/17/2014,152,166,155,160,10405
07/20/2014,160,176,163,172,17951
07/21/2014,172,189,175,189,16182
07/22/2014,189,207,192,207,42340
07/23/2014,207,210,198,201,18801
07/24/2014,201,206,196,198,6935
07/27/2014,198,200,187,190,5338
07/28/2014,190,198,193,196,1920
07/30/2014,196,200,189,192,5322
07/31/2014,192,189,189,189,46
08/03/2014,189,186,186,186,340
08/04/2014,186,188,179,179,6865
08/05/2014,179,185,179,182,2556
08/06/2014,182,182,178,178,2698
08/07/2014,178,195,178,181,14342
08/12/2014,181,178,178,178,165
08/13/2014,178,182,175,180,3680
08/14/2014,180,181,178,181,12094
08/21/2014,181,181,169,169,1007
08/24/2014,169,172,172,172,100
08/25/2014,172,170,170,170,113
08/26/2014,170,171,171,171,80
08/28/2014,171,168,165,165,2330
09/10/2014,165,162,160,160,587
09/14/2014,160,157,154,154,418
09/15/2014,154,151,151,151,80
09/16/2014,151,148,144,144,732
09/17/2014,144,142,138,142,2372
09/18/2014,142,140,136,136,1120
09/22/2014,136,134,128,128,1147
09/24/2014,128,133,130,133,1695
10/08/2014,133,135,135,135,200
10/09/2014,135,143,137,143,264
10/12/2014,143,145,145,145,100
10/14/2014,145,149,147,149,1218
10/15/2014,149,154,151,154,760
10/16/2014,154,160,154,155,2118
10/19/2014,155,161,155,156,2693
10/20/2014,156,159,156,156,561
10/22/2014,156,153,153,153,1142
10/26/2014,153,150,148,148,1481
10/30/2014,148,149,145,145,270
11/02/2014,145,144,143,144,320
11/10/2014,144,142,142,142,4993
11/11/2014,142,140,140,140,100
11/17/2014,140,140,140,140,20
11/24/2014,140,138,132,134,3855
11/30/2014,134,132,127,127,677
12/01/2014,127,125,125,125,1165
12/02/2014,125,125,121,122,1832
12/03/2014,122,128,120,128,2773
12/04/2014,128,140,130,140,19240
12/07/2014,140,144,140,144,55730
