Date,Open,High,Low,Close,Volume
02/08/2017,0,346,334,346,30
02/21/2017,346,352,352,352,10
02/23/2017,352,380,359,380,50
02/26/2017,380,401,387,401,30
03/01/2017,401,441,409,441,72
03/02/2017,441,484,449,484,58
03/05/2017,484,532,493,532,90
03/06/2017,532,574,542,574,54
03/07/2017,574,631,585,631,236
03/09/2017,631,694,643,694,58
03/13/2017,694,763,728,763,182
03/21/2017,663,689,676,689,50
03/22/2017,689,702,702,702,14
03/29/2017,702,737,737,737,14
04/04/2017,737,751,751,751,14
04/10/2017,737,751,751,751,10
04/13/2017,751,766,766,766,10
04/18/2017,766,796,781,796,20
04/24/2017,796,811,811,811,10
04/25/2017,811,859,827,859,38
04/26/2017,859,893,876,893,28
04/27/2017,893,910,910,910,10
04/30/2017,893,910,910,910,20
05/02/2017,910,983,928,983,44
05/04/2017,983,1002,1002,1002,10
05/08/2017,1002,1022,1022,1022,10
05/09/2017,1022,1042,1042,1042,10
05/11/2017,1022,1094,1073,1094,24
05/16/2017,1094,1094,1094,1094,10
05/21/2017,1094,1159,1115,1159,30
05/22/2017,1159,1205,1182,1205,20
05/23/2017,1205,1278,1229,1278,38
05/24/2017,1278,1405,1303,1405,80
05/28/2017,1405,1519,1433,1519,40
05/30/2017,1519,1579,1549,1579,20
05/31/2017,1579,1707,1610,1707,54
06/01/2017,1707,1775,1741,1775,20
06/04/2017,1775,1952,1810,1952,58
06/05/2017,1952,2147,1991,2147,60
06/06/2017,2147,2361,2189,2361,60
06/07/2017,2361,2597,2408,2597,68
06/08/2017,2597,2856,2648,2856,178
06/11/2017,2856,3141,2913,3141,4040
06/12/2017,3141,3455,2956,3070,17573
06/13/2017,3070,3035,2950,3000,6005
06/14/2017,3000,2998,2882,2893,2670
06/15/2017,2893,3009,2840,2901,3317
06/18/2017,2901,2890,2850,2861,1279
06/19/2017,2861,2864,2830,2839,910
06/20/2017,2839,2880,2815,2840,1464
06/21/2017,2840,2927,2821,2856,702
06/22/2017,2856,2890,2821,2890,1405
06/25/2017,2890,2990,2833,2960,1034
06/27/2017,2960,2990,2900,2900,1136
06/28/2017,2900,2955,2900,2926,1203
07/02/2017,2926,2955,2900,2930,898
07/03/2017,2930,2920,2900,2915,522
07/04/2017,2915,2930,2892,2910,358
07/05/2017,2910,3019,2910,3019,617
07/06/2017,3019,3030,2970,3025,1798
07/09/2017,3025,3085,2905,2935,1222
07/10/2017,2935,2980,2934,2950,861
07/11/2017,2950,3000,2944,2980,1698
07/12/2017,2980,2980,2950,2975,993
07/13/2017,2975,2950,2885,2950,898
07/16/2017,2950,2923,2903,2920,1030
07/17/2017,2920,2980,2901,2941,1115
07/18/2017,2941,3000,2950,3000,1985
07/19/2017,3000,3010,2940,3000,2010
07/20/2017,3000,3180,2940,3140,6474
07/23/2017,3140,3233,3095,3110,5689
07/24/2017,3110,3150,2843,3042,1723
07/25/2017,3042,3102,3040,3081,1914
07/26/2017,3081,3120,3050,3091,1592
07/27/2017,3091,3213,3035,3090,1750
07/30/2017,3090,3131,3030,3090,2152
07/31/2017,3090,3120,3081,3100,2068
08/01/2017,3100,3225,3100,3214,3326
08/02/2017,3214,3240,3150,3172,2762
08/03/2017,3172,3235,3155,3174,2575
08/06/2017,3174,3209,3150,3151,2167
08/07/2017,3151,3175,3120,3150,1874
08/09/2017,3150,3179,3100,3156,1613
08/10/2017,3156,3190,3101,3151,2598
08/13/2017,3151,3151,3090,3100,1314
