Date,Open,High,Low,Close,Volume
07/20/2014,108,118,110,118,130
07/21/2014,118,124,120,124,78
07/22/2014,124,136,126,136,163
07/23/2014,136,149,138,149,281
07/24/2014,149,151,151,151,500
07/27/2014,151,163,154,163,68
07/28/2014,163,169,166,169,337
07/30/2014,169,181,172,181,98
07/31/2014,181,196,184,196,94
08/03/2014,196,215,199,215,1400
08/04/2014,215,235,219,235,667
08/05/2014,235,258,239,258,313
08/06/2014,258,283,263,283,415
08/07/2014,283,311,280,305,38536
08/12/2014,305,299,275,285,3033
08/13/2014,285,287,275,280,5090
08/14/2014,280,308,280,299,10629
08/18/2014,299,295,270,271,3034
08/19/2014,271,270,260,260,7055
08/20/2014,260,266,240,250,9328
08/21/2014,250,250,238,239,6897
08/24/2014,239,243,227,234,4141
08/25/2014,234,230,211,212,4869
08/26/2014,212,225,208,211,7916
08/27/2014,211,232,215,225,26823
08/28/2014,225,244,229,241,12659
08/31/2014,241,240,223,230,3818
09/01/2014,230,226,214,220,1970
09/03/2014,220,228,216,228,1548
09/04/2014,228,225,208,220,4640
09/07/2014,220,219,198,205,2173
09/09/2014,205,225,209,222,2133
09/10/2014,222,222,210,220,4336
09/11/2014,220,216,207,215,3187
09/14/2014,215,215,205,212,2371
09/15/2014,212,233,212,213,4343
09/16/2014,213,217,206,213,4749
09/17/2014,213,212,207,211,1569
09/18/2014,211,215,208,215,1252
09/21/2014,215,211,203,207,2346
09/22/2014,207,205,194,199,2068
09/23/2014,199,210,200,205,426
09/24/2014,205,209,199,204,1420
09/28/2014,204,217,204,217,2040
09/29/2014,217,224,217,224,827
09/30/2014,224,231,220,231,1139
10/08/2014,231,235,228,228,85
10/09/2014,228,227,214,214,1423
10/12/2014,214,215,209,215,3181
10/13/2014,215,213,206,206,1155
10/14/2014,206,213,206,211,400
10/15/2014,211,215,201,215,3089
10/16/2014,215,215,210,210,267
10/19/2014,210,214,206,210,1955
10/20/2014,210,212,207,210,1242
10/21/2014,210,210,201,210,636
10/22/2014,210,210,203,209,1166
10/26/2014,209,212,210,211,265
10/27/2014,211,214,207,214,1103
10/28/2014,214,218,210,216,1858
10/30/2014,216,218,205,213,2168
11/02/2014,213,217,209,213,1910
11/03/2014,213,217,208,213,1992
11/04/2014,213,213,212,212,661
11/05/2014,212,215,211,214,3007
11/06/2014,214,215,196,213,1340
11/09/2014,213,210,205,206,5546
11/10/2014,206,214,200,204,3266
11/11/2014,204,208,196,208,2082
11/12/2014,208,210,201,204,1012
11/13/2014,204,207,198,200,1860
11/16/2014,200,201,196,196,648
11/17/2014,196,199,190,193,3038
11/18/2014,193,193,190,193,68
11/19/2014,193,196,190,193,3002
11/20/2014,193,191,188,189,549
11/23/2014,189,198,192,195,1102
11/24/2014,195,197,195,197,1809
11/25/2014,197,195,187,189,2558
11/30/2014,189,186,180,180,1139
12/01/2014,180,178,172,172,680
12/02/2014,172,176,170,176,2004
12/03/2014,176,191,178,191,2639
12/04/2014,191,188,185,185,1118
12/07/2014,185,183,182,182,68
12/08/2014,182,185,179,184,348
12/09/2014,184,181,175,177,1641
12/10/2014,177,178,175,178,91
12/11/2014,178,181,181,181,110
12/14/2014,181,184,182,184,781
12/15/2014,184,190,182,190,921
12/16/2014,190,193,190,190,235
12/17/2014,190,198,190,198,2798
12/18/2014,198,201,197,201,810
12/21/2014,201,197,190,190,1748
12/22/2014,190,193,179,183,1587
12/23/2014,183,186,180,186,2010
12/24/2014,186,184,180,184,1256
12/28/2014,184,187,184,185,197
12/28/2014,184,187,184,185,197
12/29/2014,185,188,173,185,969
12/31/2014,185,188,179,188,233
01/01/2015,188,185,183,185,783
01/04/2015,185,187,185,185,577
01/05/2015,185,188,182,188,2503
01/06/2015,188,186,182,185,536
01/07/2015,185,192,186,186,610
01/08/2015,186,189,183,185,2415
01/11/2015,185,185,181,185,2087
01/12/2015,185,186,177,186,1846
01/13/2015,186,190,184,190,2159
01/14/2015,190,190,184,190,439
01/18/2015,190,188,188,188,356
01/19/2015,188,190,187,190,691
01/20/2015,190,193,182,193,1723
01/22/2015,193,193,182,185,5717
01/25/2015,185,187,180,187,645
01/26/2015,187,196,190,192,6064
01/27/2015,192,211,195,209,10974
01/28/2015,209,217,208,217,1338
01/29/2015,217,221,205,215,1986
02/01/2015,215,211,205,211,1340
02/02/2015,211,223,200,223,20338
02/03/2015,223,226,217,221,6142
02/04/2015,221,230,218,230,5834
02/05/2015,230,235,221,225,6777
02/08/2015,225,228,225,228,51
02/09/2015,228,224,224,224,17
02/10/2015,224,240,220,226,12199
02/11/2015,226,228,222,226,3115
02/12/2015,226,236,222,229,15384
02/15/2015,229,233,226,231,3579
02/16/2015,231,234,226,230,10670
02/16/2015,231,234,226,230,10670
02/18/2015,230,230,223,224,14127
02/23/2015,224,217,211,214,5604
02/24/2015,214,219,215,216,518
02/25/2015,216,225,213,225,1084
02/26/2015,225,233,225,231,432
03/01/2015,231,230,224,228,389
03/02/2015,228,235,232,235,1565
03/03/2015,235,241,234,238,1966
03/04/2015,238,240,236,240,318
03/09/2015,240,244,236,236,842
03/10/2015,236,246,222,246,669
03/11/2015,246,242,225,235,7193
03/12/2015,235,235,227,227,3021
03/15/2015,227,228,223,223,334
03/16/2015,223,227,218,218,1094
03/17/2015,218,232,221,232,696
03/18/2015,232,228,220,224,5051
03/19/2015,224,227,220,227,5963
03/22/2015,227,230,220,220,85
03/23/2015,220,226,220,223,1196
03/24/2015,223,225,220,225,1631
03/25/2015,225,227,223,227,2418
03/26/2015,227,225,220,220,658
03/29/2015,220,225,220,220,1871
03/30/2015,220,224,212,212,85
03/31/2015,212,222,208,215,4037
04/01/2015,215,218,210,210,413
04/02/2015,210,210,202,210,68
04/05/2015,210,212,206,210,832
04/06/2015,210,212,204,210,309
04/07/2015,210,210,210,210,34
04/08/2015,210,222,214,215,2411
04/09/2015,215,221,211,221,2035
04/12/2015,221,225,219,220,2968
04/13/2015,220,216,213,213,145
04/15/2015,213,216,210,210,814
04/16/2015,210,214,206,212,1449
04/19/2015,212,220,215,215,1090
04/20/2015,215,218,207,218,2208
04/21/2015,218,222,218,222,623
04/22/2015,222,218,214,218,193
04/23/2015,218,215,211,215,240
06/03/2015,215,211,207,207,153
06/04/2015,207,212,196,208,5665
06/07/2015,208,209,200,200,6072
06/08/2015,200,212,204,211,1441
06/08/2015,200,212,204,211,1441
06/08/2015,200,212,204,211,1441
06/09/2015,211,231,215,224,3467
06/10/2015,224,220,213,213,651
06/11/2015,213,209,205,205,102
06/14/2015,205,202,199,202,372
