Date,Open,High,Low,Close,Volume
04/23/2013,0,112,110,112,637
04/25/2013,112,110,104,104,1037
05/02/2013,104,104,104,104,19
05/16/2013,104,105,105,105,275
05/21/2013,105,103,96,96,986
05/26/2013,96,96,95,96,140
06/05/2013,96,95,94,94,850
06/11/2013,94,95,95,95,10
06/18/2013,95,95,95,95,70
07/02/2013,95,94,94,94,287
07/03/2013,94,93,91,92,661
07/07/2013,92,91,89,89,198
07/08/2013,89,88,88,88,224
07/09/2013,88,87,80,80,2400
07/11/2013,80,80,78,80,396
07/15/2013,80,85,81,85,277
07/18/2013,85,88,86,88,375
07/22/2013,88,89,89,89,89
07/23/2013,89,88,88,88,448
07/28/2013,88,91,89,91,950
07/29/2013,91,90,90,90,278
08/01/2013,90,89,89,89,89
08/06/2013,89,90,90,90,109
08/07/2013,90,94,91,94,618
08/08/2013,94,102,95,100,1625
08/11/2013,100,100,98,100,457
08/12/2013,100,98,98,98,47
08/15/2013,98,97,97,97,10
08/19/2013,97,96,95,96,717
08/25/2013,96,95,95,95,197
08/26/2013,95,97,96,97,1300
08/27/2013,97,96,95,95,1594
08/29/2013,95,97,96,96,2593
09/01/2013,96,95,95,95,98
09/02/2013,95,95,94,94,625
09/05/2013,94,99,95,99,992
09/08/2013,99,100,100,100,89
09/09/2013,100,98,96,96,991
09/10/2013,96,96,96,96,1346
09/11/2013,96,96,95,96,734
09/15/2013,96,95,95,95,45
09/17/2013,95,96,96,96,1000
09/26/2013,96,99,97,99,546
10/01/2013,93,94,94,94,98
10/02/2013,94,94,93,94,178
10/07/2013,94,95,95,95,196
10/22/2013,95,94,94,94,449
11/27/2013,94,96,95,96,2000
11/28/2013,96,99,97,99,3000
12/01/2013,99,100,100,100,1010
12/02/2013,100,106,102,106,1500
12/03/2013,106,116,108,116,3500
12/04/2013,116,118,118,118,700
12/08/2013,118,129,120,129,3070
12/09/2013,129,134,130,132,2993
12/10/2013,132,138,134,138,2948
12/11/2013,138,136,136,136,188
12/18/2013,136,136,136,136,510
12/19/2013,136,138,138,138,98
12/22/2013,138,140,140,140,89
12/24/2013,140,138,138,138,510
12/26/2013,138,136,132,132,3289
01/21/2014,132,130,130,130,768
01/22/2014,130,134,128,134,6014
01/23/2014,134,134,132,134,286
01/26/2014,134,138,136,138,196
01/27/2014,138,140,140,140,448
01/28/2014,140,144,142,144,134
02/13/2014,144,147,146,147,242
02/16/2014,147,161,149,161,3762
02/17/2014,161,177,164,177,5523
02/18/2014,177,194,180,194,6468
02/20/2014,194,209,197,209,5267
02/23/2014,209,217,213,213,2189
02/24/2014,213,217,212,212,1262
02/26/2014,212,214,210,214,812
03/03/2014,214,218,216,216,304
03/05/2014,216,216,216,216,10
03/09/2014,216,212,212,212,116
04/03/2014,212,208,204,204,36
04/10/2014,204,200,187,187,3203
04/13/2014,187,184,181,181,143
04/15/2014,181,184,181,184,1586
04/16/2014,184,193,185,186,2536
04/17/2014,186,183,183,183,54
04/20/2014,183,180,177,180,706
04/21/2014,180,177,174,174,388
04/23/2014,174,180,177,180,1097
04/27/2014,180,186,180,182,572
04/28/2014,182,191,184,191,864
04/29/2014,191,197,194,197,137
04/30/2014,197,204,200,204,67
05/04/2014,204,214,205,214,3241
05/05/2014,214,223,218,223,205
05/06/2014,223,228,227,227,389
05/07/2014,227,239,231,239,516
05/08/2014,239,243,235,235,730
05/11/2014,235,231,231,231,11
05/12/2014,231,227,227,227,14
05/15/2014,227,231,227,227,462
05/15/2014,227,231,227,227,462
05/18/2014,227,223,219,219,775
05/19/2014,219,224,220,222,4703
05/20/2014,222,226,217,217,3874
05/21/2014,217,221,217,220,1388
05/22/2014,220,217,216,216,295
05/25/2014,216,220,218,220,141
05/28/2014,220,216,216,216,105
06/02/2014,216,212,212,212,1070
06/03/2014,212,210,210,210,188
06/04/2014,210,214,207,214,1401
06/05/2014,214,210,210,210,76
06/08/2014,210,222,214,222,480
06/09/2014,222,228,222,222,1475
06/10/2014,222,219,218,218,94
06/15/2014,218,218,214,214,1084
06/16/2014,214,218,218,218,13
06/25/2014,218,214,214,214,14
07/01/2014,214,218,207,208,3689
07/02/2014,208,212,208,212,584
07/03/2014,212,216,210,210,1126
07/06/2014,210,222,214,218,3385
07/07/2014,218,239,222,239,3277
07/08/2014,239,262,243,262,1526
07/09/2014,262,272,267,270,434
07/13/2014,270,280,275,280,87
