Date,Open,High,Low,Close,Volume
03/25/2011,270,270,270,270,150
03/28/2011,270,270,270,270,237
03/30/2011,270,270,270,270,59
04/19/2011,270,265,255,260,472
05/08/2011,260,260,250,260,2052
05/09/2011,260,255,255,255,20
05/10/2011,255,255,255,255,200
05/11/2011,255,260,260,260,10
05/18/2011,260,255,254,254,310
06/12/2011,254,270,266,270,3185
06/23/2011,270,275,275,275,10
07/06/2011,275,288,288,288,10
07/24/2011,288,283,283,283,2000
07/26/2011,283,293,288,293,583
08/04/2011,293,288,288,288,30
08/18/2011,288,293,293,293,20
08/23/2011,293,293,293,293,2512
08/29/2011,293,288,283,283,210
09/01/2011,283,278,258,263,3100
09/04/2011,263,268,268,268,10
09/08/2011,268,263,263,263,20
09/12/2011,263,262,257,257,264
09/13/2011,257,253,248,248,232
09/14/2011,248,244,244,244,533
09/15/2011,244,248,248,248,10
09/18/2011,248,252,252,252,10
09/19/2011,252,257,257,257,10
09/25/2011,257,256,251,256,1490
09/26/2011,256,251,249,249,620
09/27/2011,249,250,250,250,338
10/17/2011,250,251,250,250,46
11/06/2011,250,265,255,262,3246
11/10/2011,262,267,267,267,346
11/14/2011,267,277,272,277,2341
11/15/2011,277,279,279,279,25
11/16/2011,279,275,275,275,47
11/20/2011,275,271,271,271,2302
11/27/2011,271,266,261,261,2015
12/01/2011,261,259,255,255,329
12/04/2011,255,255,250,255,749
12/05/2011,255,260,255,255,1411
12/06/2011,255,265,250,250,725
12/07/2011,250,245,245,245,4353
12/08/2011,245,241,241,241,14848
01/05/2012,241,201,201,201,1800
02/16/2012,201,201,201,201,1200
03/18/2012,201,205,205,205,11500
03/19/2012,205,205,205,205,5072
04/18/2012,205,204,204,204,750
04/26/2012,204,204,204,204,1170
05/24/2012,204,208,204,208,145
06/18/2012,208,208,208,208,5072
07/03/2012,208,204,200,200,1036
07/10/2012,200,200,200,200,488
07/17/2012,200,200,200,200,84
08/12/2012,200,205,194,194,1073
08/14/2012,194,197,194,194,181
08/15/2012,194,196,191,191,1764
08/16/2012,191,190,190,190,2000
08/19/2012,190,187,187,187,2500
08/21/2012,187,184,184,184,2166
08/22/2012,184,181,180,180,1151
08/23/2012,180,178,178,178,1334
08/27/2012,178,175,175,175,1500
08/28/2012,175,177,177,177,2166
09/13/2012,177,183,180,183,487
09/20/2012,183,189,186,189,923
10/07/2012,189,207,192,207,3311
10/08/2012,207,227,207,227,689
10/09/2012,227,235,231,235,100
10/10/2012,235,244,239,240,1050
10/11/2012,240,240,236,240,215
11/04/2012,240,243,243,243,150
11/05/2012,243,247,247,247,20
11/06/2012,247,265,251,265,306
11/07/2012,265,290,270,290,168
11/18/2012,290,285,285,285,55
11/25/2012,285,289,289,289,200
11/26/2012,289,284,284,284,100
11/27/2012,284,289,279,289,215
12/02/2012,289,285,285,285,544
12/05/2012,285,285,285,285,145
12/06/2012,285,289,289,289,950
12/09/2012,289,290,290,290,125
12/10/2012,290,285,285,285,100
12/23/2012,285,284,280,284,845
01/02/2013,284,279,279,279,150
01/03/2013,279,274,274,274,200
01/06/2013,274,270,270,270,200
01/09/2013,270,275,275,275,105
01/10/2013,275,285,274,285,399
01/13/2013,285,290,285,285,10180
01/15/2013,285,290,285,285,9536
01/17/2013,285,285,285,285,2048
01/22/2013,285,290,290,290,100
01/24/2013,290,290,290,290,4000
01/28/2013,290,290,285,285,1286
02/04/2013,285,289,289,289,1939
02/05/2013,289,290,289,290,2749
02/07/2013,290,285,280,280,4237
02/13/2013,280,285,285,285,985
02/14/2013,285,291,285,291,614
02/17/2013,291,301,296,301,4000
02/19/2013,301,313,307,313,3000
02/20/2013,313,315,315,315,476
02/27/2013,315,320,314,314,5011
03/21/2013,314,314,314,314,100
03/28/2013,314,314,314,314,66
03/31/2013,314,314,307,311,6804
04/03/2013,311,315,285,306,7078
04/04/2013,306,300,300,300,100
04/07/2013,300,299,299,299,580
04/08/2013,299,299,299,299,200
05/28/2013,299,237,237,237,300
06/05/2013,237,233,233,233,659
06/06/2013,233,235,235,235,200
07/14/2013,235,239,239,239,636
07/21/2013,239,239,235,239,237
08/08/2013,239,261,243,261,60
08/11/2013,261,286,266,286,50
08/12/2013,286,314,291,314,660
08/13/2013,314,344,320,330,1666
08/14/2013,330,330,324,324,580
08/15/2013,324,318,318,318,776
08/20/2013,318,318,306,318,162
08/26/2013,318,324,324,324,50
08/27/2013,324,342,330,342,140
08/29/2013,342,361,346,361,972
09/02/2013,361,365,365,365,20
09/03/2013,365,364,364,364,4300
09/04/2013,364,364,364,364,2800
09/09/2013,364,365,358,358,390
09/10/2013,358,351,344,344,502
09/11/2013,344,340,340,340,81
09/12/2013,340,340,340,340,400
09/15/2013,340,334,334,334,75
09/25/2013,334,352,330,348,2902
