Date,Open,High,Low,Close,Volume
04/24/2012,275,167,164,164,200
04/26/2012,164,161,149,149,500
04/29/2012,149,147,135,135,700
05/02/2012,135,133,129,129,300
05/03/2012,129,127,127,127,300
05/07/2012,127,121,115,115,632000
05/09/2012,115,113,109,109,300000
05/10/2012,109,109,109,109,153000
05/24/2012,109,111,111,111,65000
05/31/2012,111,115,113,115,50000
06/06/2012,115,122,120,122,3000
06/26/2012,122,130,124,130,6000
06/27/2012,130,140,136,140,4000
07/02/2012,140,149,147,149,2000
02/20/2013,149,151,151,151,62800
02/25/2013,151,158,158,158,200
09/24/2013,158,158,158,158,17214
06/09/2014,158,161,161,161,40000
06/12/2014,161,164,164,164,58440
06/23/2014,164,172,172,172,1560
05/26/2016,458,450,450,450,69679
06/06/2016,450,450,450,450,132996
04/10/2017,270,265,265,265,74170
05/22/2017,265,265,260,265,25956
05/28/2017,265,265,265,265,30
