Date,Open,High,Low,Close,Volume
06/11/2014,442,442,419,419,81200
07/15/2014,419,419,419,419,12000
09/04/2014,419,419,419,419,56966
10/21/2014,419,411,411,411,29465
12/15/2014,411,403,403,403,10000
02/24/2015,403,403,403,403,30822
07/09/2015,360,367,367,367,6202
08/09/2015,367,367,367,367,6037
06/19/2016,1775,1775,1775,1775,60899
08/10/2016,1775,1740,1740,1740,20000
08/11/2016,1740,1740,1740,1740,33540
08/21/2016,1740,1706,1640,1640,15000
08/22/2016,1640,1610,1610,1610,15500
08/23/2016,1610,1578,1578,1578,10000
08/24/2016,1578,1578,1578,1578,15000
08/28/2016,1578,1578,1578,1578,20000
08/29/2016,1578,1578,1578,1578,15000
08/30/2016,1578,1578,1578,1578,9000
08/31/2016,1578,1578,1578,1578,11566
09/08/2016,1578,1547,1458,1458,40
09/11/2016,1458,1429,1320,1346,17667
09/28/2016,1346,1346,1346,1346,16000
09/29/2016,1346,1346,1346,1346,15985
10/26/2016,1346,1320,1320,1320,17707
03/16/2017,1320,1294,1294,1294,16603
08/03/2017,1200,1220,1220,1220,500
10/29/2017,1220,1220,1220,1220,30000
11/02/2017,1220,1220,1220,1220,500
12/06/2017,1220,1196,1196,1196,9991
