Date,Open,High,Low,Close,Volume
03/25/2011,302,301,296,301,70
03/31/2011,301,299,295,299,20
04/11/2011,299,304,289,304,50
04/13/2011,304,316,310,316,30
04/17/2011,316,322,322,322,10
04/20/2011,322,322,322,322,150
04/26/2011,322,328,328,328,10
05/10/2011,328,322,316,316,460
05/22/2011,316,310,304,304,60
06/08/2011,304,298,293,293,140
06/26/2011,293,293,283,293,90
06/27/2011,293,298,298,298,20
06/30/2011,298,303,303,303,10
07/13/2011,303,297,287,287,80
07/14/2011,287,314,292,314,90
07/20/2011,314,308,302,302,40
07/24/2011,302,308,308,308,10
08/16/2011,308,308,308,308,180
08/17/2011,308,302,302,302,100
09/04/2011,302,296,296,296,10
09/07/2011,296,291,281,281,90
09/13/2011,281,276,276,276,20
09/15/2011,276,271,251,251,300
09/22/2011,251,250,250,250,90
10/31/2011,250,245,245,245,10
11/20/2011,245,241,241,241,150
12/05/2011,241,249,237,249,170
12/06/2011,249,245,241,241,2060
12/07/2011,241,237,218,222,690
12/12/2011,222,218,202,206,350
12/13/2011,206,210,186,210,4890
12/14/2011,210,214,206,210,1260
12/15/2011,210,206,206,206,260
12/18/2011,206,218,206,210,1520
12/19/2011,210,210,202,202,720
12/20/2011,202,200,199,200,140
12/21/2011,200,220,204,220,90
12/22/2011,220,216,212,216,200
12/26/2011,216,232,216,232,100
12/27/2011,232,240,236,240,30
12/29/2011,240,244,244,244,20
01/02/2012,244,240,234,236,140
01/03/2012,236,240,240,240,40
01/04/2012,240,244,244,244,20
01/05/2012,244,246,238,238,3580
01/08/2012,238,244,240,240,310
01/09/2012,240,238,238,238,100
01/10/2012,238,246,242,246,40
01/11/2012,246,242,242,242,40
01/17/2012,242,245,226,245,190
01/29/2012,245,241,221,241,210
02/02/2012,241,257,245,257,70
02/09/2012,257,252,247,247,2220
02/21/2012,247,243,223,235,4180
02/23/2012,235,242,223,242,4210
02/26/2012,242,246,222,238,4190
02/27/2012,238,234,234,234,4000
02/28/2012,234,230,230,230,4000
02/29/2012,230,243,218,243,4310
03/01/2012,243,246,235,246,3040
03/04/2012,246,242,233,241,3100
03/11/2012,241,241,241,241,50
03/19/2012,241,237,233,233,20
03/20/2012,233,245,237,245,30
03/29/2012,245,249,249,249,10
04/02/2012,249,245,229,241,510
