Date,Open,High,Low,Close,Volume
08/18/2013,297,292,292,292,60
08/19/2013,292,287,272,272,60
08/20/2013,272,267,258,258,40
08/25/2013,258,253,248,248,7189
08/26/2013,248,244,244,244,38
08/27/2013,244,245,245,245,130
09/01/2013,245,241,239,239,666
09/03/2013,239,235,216,216,300
09/09/2013,216,212,195,195,6256
09/10/2013,195,197,190,195,10301
09/11/2013,195,202,190,202,5286
09/12/2013,202,201,196,201,1044
09/15/2013,201,205,196,200,2367
09/16/2013,200,204,196,196,1212
09/17/2013,196,201,193,198,734
09/19/2013,198,198,193,193,577
09/22/2013,190,201,195,198,2369
09/23/2013,198,196,191,196,617
09/24/2013,196,199,194,199,726
09/25/2013,199,197,194,196,828
09/26/2013,196,198,196,196,377
09/29/2013,196,201,196,201,484
09/30/2013,201,200,193,198,4997
10/01/2013,198,198,194,198,534
10/02/2013,198,200,196,196,42
10/03/2013,196,194,194,194,56
10/06/2013,194,195,192,195,135
10/07/2013,195,202,184,200,1463
10/08/2013,200,205,200,200,1366
10/09/2013,200,200,193,198,562
10/10/2013,198,204,198,200,1439
10/29/2013,167,167,167,167,28
11/11/2013,167,170,170,170,58
11/14/2013,170,167,167,167,56
11/24/2013,167,173,170,173,1084
11/26/2013,173,176,176,176,10
12/01/2013,176,188,179,188,86
12/02/2013,188,188,188,188,500
12/03/2013,188,197,191,197,30
12/05/2013,197,200,200,200,290
12/08/2013,200,204,204,204,53
12/10/2013,204,208,208,208,12
12/11/2013,208,212,208,208,28
12/12/2013,208,208,204,208,84
12/16/2013,208,216,212,216,853
12/18/2013,216,220,220,220,13
12/19/2013,220,224,224,224,232
12/22/2013,224,246,228,246,531
12/23/2013,246,250,250,250,181
12/24/2013,250,260,250,260,695
12/26/2013,260,275,265,275,221
12/29/2013,275,285,275,285,487
12/31/2013,285,296,290,296,405
01/01/2014,296,292,292,292,131
01/02/2014,292,287,272,277,983
01/05/2014,277,282,277,278,1186
01/06/2014,278,288,280,283,487
01/07/2014,283,304,288,304,2291
01/08/2014,304,316,310,316,400
01/09/2014,316,334,316,331,1045
01/12/2014,331,354,325,354,6751
01/13/2014,354,367,347,367,1193
01/14/2014,367,368,340,368,1236
01/16/2014,368,375,370,371,1235
01/19/2014,371,378,371,371,605
01/20/2014,371,387,373,380,3983
01/21/2014,380,397,378,397,1937
01/22/2014,397,397,388,388,889
01/23/2014,388,396,382,382,938
01/26/2014,382,375,355,355,2169
01/27/2014,355,350,337,338,1644
01/28/2014,338,341,334,335,684
01/29/2014,335,336,331,336,513
02/02/2014,336,330,310,330,447
02/03/2014,330,363,335,363,940
02/04/2014,363,399,370,399,4270
02/06/2014,394,394,391,391,168
02/09/2014,391,390,377,377,278
02/10/2014,377,370,365,365,130
02/11/2014,365,372,358,372,412
02/12/2014,372,365,362,362,238
02/13/2014,362,382,369,375,472
02/16/2014,375,402,380,402,1114
02/17/2014,402,394,387,387,466
02/18/2014,387,405,387,395,1512
02/20/2014,395,418,395,410,1506
02/23/2014,410,418,404,410,1166
02/24/2014,410,433,418,425,2805
02/25/2014,425,439,412,439,1124
02/26/2014,439,433,417,425,726
03/03/2014,425,418,418,418,205
03/04/2014,418,410,402,410,501
03/05/2014,410,423,410,423,282
03/06/2014,423,415,400,405,1699
03/09/2014,405,421,413,421,487
03/10/2014,421,418,418,418,224
03/11/2014,418,419,392,400,1876
03/12/2014,400,400,392,400,326
03/13/2014,400,405,392,399,967
03/19/2014,399,392,386,386,403
03/20/2014,386,398,381,398,3108
03/23/2014,398,395,390,391,161
03/24/2014,391,398,384,398,1157
03/25/2014,398,410,393,405,1181
03/26/2014,405,410,400,400,885
03/27/2014,400,417,405,417,1980
03/31/2014,417,433,409,433,2374
04/01/2014,433,433,425,430,1379
04/02/2014,430,434,425,432,543
04/03/2014,432,434,422,422,3259
04/06/2014,422,445,414,445,13755
04/07/2014,445,442,432,432,3122
04/09/2014,432,438,423,438,1037
04/10/2014,438,448,437,444,1949
04/13/2014,444,452,432,450,6902
04/15/2014,450,451,447,450,1313
04/16/2014,450,454,441,450,418
04/17/2014,450,445,440,445,1096
04/20/2014,445,449,441,449,271
04/21/2014,449,457,445,450,1523
04/22/2014,450,460,442,460,856
04/23/2014,460,464,449,464,2500
04/27/2014,464,456,441,456,1453
04/28/2014,456,461,441,455,10346
04/29/2014,455,472,460,472,6102
04/30/2014,472,470,458,470,1909
05/04/2014,470,517,479,517,6808
05/05/2014,517,562,527,535,5488
05/06/2014,535,559,539,542,4829
05/07/2014,542,550,530,535,12076
05/08/2014,535,545,530,536,7414
05/20/2014,391,429,398,429,1442
05/21/2014,429,437,411,414,510
05/22/2014,414,406,406,406,484
05/25/2014,406,407,406,406,479
