Date,Open,High,Low,Close,Volume
06/05/2011,0,109,109,109,34341
08/15/2011,107,107,107,107,27294
11/08/2011,107,108,108,108,28157
02/04/2013,108,110,110,110,22894
04/15/2014,100,108,108,108,11076
08/18/2014,108,106,106,106,31208
07/01/2015,334,328,306,306,50
07/02/2015,306,300,279,279,60
07/05/2015,279,274,254,254,50
07/07/2015,254,249,230,230,18984
07/08/2015,230,226,210,210,550
07/16/2015,210,206,190,190,168453
08/12/2015,190,187,187,187,63142
07/28/2016,706,706,706,706,36000
03/21/2017,350,350,350,350,20319
05/16/2017,350,350,350,350,50000
06/15/2017,350,350,350,350,40419
06/27/2017,350,350,350,350,3566
07/02/2017,350,350,350,350,7924
10/09/2017,215,215,215,215,6738
10/10/2017,215,211,211,211,10708
10/25/2017,211,207,203,203,8000
10/29/2017,203,200,200,200,10000
11/05/2017,200,200,200,200,10000
11/06/2017,200,196,196,196,10071
12/13/2017,196,196,196,196,70000
12/31/2017,196,195,195,195,48092
01/07/2018,195,195,195,195,14828
01/09/2018,195,195,195,195,11950
02/04/2018,195,195,195,195,35305
02/12/2018,195,195,195,195,89421
03/20/2018,195,195,195,195,3126
04/26/2018,195,195,195,195,99400
