Date,Open,High,Low,Close,Volume
03/20/2011,260,263,256,263,1024
03/24/2011,259,277,264,277,148
03/25/2011,277,272,251,255,818
03/27/2011,255,260,260,260,20
03/28/2011,260,265,260,265,1446
03/29/2011,265,260,243,243,695
03/30/2011,243,247,228,247,1097
03/31/2011,247,250,239,245,1227
04/04/2011,245,253,245,253,1338
04/05/2011,253,253,241,253,691
04/06/2011,253,250,236,236,1082
04/07/2011,236,259,239,259,1905
04/10/2011,259,269,264,269,20
04/11/2011,269,264,249,249,118
04/13/2011,249,268,253,268,233
04/17/2011,268,263,263,263,36
04/20/2011,263,263,258,263,50
04/21/2011,263,258,258,258,44
04/26/2011,258,254,254,254,68
04/27/2011,254,250,249,250,136
04/28/2011,250,255,250,250,50
05/02/2011,250,245,237,237,197
05/03/2011,237,233,214,214,3424
05/04/2011,214,211,202,211,812
05/05/2011,211,222,206,222,1133
05/08/2011,222,218,214,214,67
05/09/2011,214,218,218,218,30
05/10/2011,218,233,215,233,1080
05/11/2011,233,241,230,235,1776
05/12/2011,235,239,231,239,419
05/15/2011,239,243,238,238,692
05/16/2011,238,240,236,236,277
05/18/2011,236,240,236,240,212
05/19/2011,240,242,239,239,1236
05/22/2011,239,238,235,238,317
05/23/2011,238,239,231,239,340
05/24/2011,239,242,238,239,307
05/26/2011,239,238,237,238,476
05/30/2011,238,242,239,240,408
05/31/2011,240,238,235,235,508
06/01/2011,235,235,231,231,384
06/02/2011,231,227,215,216,1244
06/05/2011,216,216,210,212,756
06/06/2011,212,209,204,208,556
06/07/2011,208,205,196,201,1083
06/08/2011,201,200,197,200,834
06/09/2011,200,201,192,200,3113
06/12/2011,200,210,199,201,937
06/13/2011,201,200,190,193,1938
06/14/2011,193,193,186,186,807
06/15/2011,186,189,183,185,376
06/16/2011,185,182,182,182,248
06/19/2011,182,200,185,200,80
06/20/2011,182,200,185,200,80
06/21/2011,220,242,224,242,70
06/23/2011,242,266,246,266,293
06/26/2011,266,292,240,240,7207
06/27/2011,240,236,216,216,934
06/29/2011,216,216,196,200,1201
06/30/2011,200,220,204,219,3280
07/03/2011,219,240,223,240,775
07/04/2011,240,260,244,251,1502
07/05/2011,251,255,242,245,3550
07/06/2011,245,262,244,253,2264
07/07/2011,253,259,245,259,2756
07/10/2011,259,268,255,261,3768
07/11/2011,261,266,257,260,871
07/12/2011,260,269,260,265,1621
07/13/2011,265,280,260,270,2602
07/14/2011,270,290,270,270,3458
07/17/2011,270,275,275,275,982
07/18/2011,275,290,250,250,3327
07/19/2011,250,275,255,272,2029
07/20/2011,272,280,272,274,1126
07/21/2011,274,293,279,285,1449
07/24/2011,285,280,265,274,2701
07/25/2011,274,269,256,261,1067
07/26/2011,261,266,261,265,316
07/27/2011,265,280,265,280,1554
07/28/2011,280,286,265,270,4550
07/31/2011,270,265,256,262,2454
08/01/2011,262,262,262,262,176
08/02/2011,262,260,250,260,3005
08/03/2011,260,262,250,262,6461
08/04/2011,262,265,261,265,481
08/07/2011,265,260,250,257,1579
08/08/2011,257,255,253,255,266
08/09/2011,255,255,250,255,658
08/10/2011,255,261,251,257,237
08/11/2011,257,262,260,260,920
08/15/2011,260,265,260,262,4594
08/16/2011,262,264,258,261,1103
08/17/2011,261,262,259,260,1434
08/18/2011,260,263,255,263,1368
08/22/2011,263,260,257,257,507
08/23/2011,257,260,256,260,662
08/24/2011,260,264,260,260,645
08/25/2011,260,259,251,255,1655
08/28/2011,255,250,247,247,637
08/29/2011,247,251,242,251,1724
08/30/2011,251,256,248,248,965
09/01/2011,248,253,245,253,750
09/04/2011,253,253,250,251,1948
09/05/2011,251,250,244,244,1105
09/06/2011,244,251,241,241,842
09/07/2011,241,241,229,230,2113
09/08/2011,230,228,224,228,575
09/12/2011,228,225,224,224,412
09/13/2011,224,227,220,227,617
09/14/2011,227,230,226,226,444
09/15/2011,226,230,225,226,691
09/18/2011,226,230,229,230,97
09/19/2011,230,230,224,225,572
09/20/2011,225,225,221,224,1224
09/21/2011,224,225,221,225,385
09/22/2011,225,229,221,229,179
09/25/2011,229,237,232,232,779
09/26/2011,232,235,233,235,1160
09/27/2011,235,243,239,239,324
09/29/2011,239,243,240,243,854
10/02/2011,243,247,243,243,428
10/10/2011,243,247,247,247,64
10/12/2011,247,252,240,240,410
10/13/2011,240,247,242,247,628
10/16/2011,247,247,236,236,435
10/17/2011,236,237,234,235,1090
10/18/2011,235,232,230,231,1321
10/19/2011,231,243,235,238,777
10/20/2011,238,240,231,231,490
10/23/2011,231,232,227,227,641
10/24/2011,227,234,230,232,859
10/25/2011,232,236,231,233,814
10/31/2011,233,248,237,248,961
11/02/2011,248,272,252,270,1275
11/03/2011,270,285,249,258,12044
11/06/2011,258,255,250,255,1158
11/08/2011,255,255,245,248,397
11/09/2011,248,250,237,242,2052
11/10/2011,242,245,230,243,8330
11/13/2011,243,243,239,239,218
11/14/2011,239,241,239,241,575
11/15/2011,241,244,240,244,206
11/16/2011,244,248,243,246,325
11/17/2011,246,246,246,246,200
11/20/2011,246,242,230,235,7935
11/21/2011,235,236,235,235,1673
11/22/2011,235,239,239,239,53
11/23/2011,239,242,240,242,496
11/24/2011,242,242,234,235,1777
11/27/2011,235,238,232,235,1946
11/28/2011,235,236,235,235,208
12/04/2011,234,236,234,235,705
12/05/2011,235,235,232,235,1377
12/06/2011,235,239,235,236,190
12/07/2011,236,235,233,235,550
12/08/2011,235,236,232,233,897
12/11/2011,233,234,229,230,3003
12/12/2011,230,230,223,229,2827
12/13/2011,229,227,223,223,1926
12/15/2011,223,217,217,217,275
12/20/2011,217,213,206,206,654
12/21/2011,206,204,201,203,1268
12/26/2011,203,207,207,207,20
12/27/2011,207,203,203,203,127
12/28/2011,203,204,200,204,991
12/29/2011,204,204,201,204,258
01/01/2012,204,171,171,171,532
01/02/2012,171,213,208,213,419
01/03/2012,213,228,217,225,2840
01/04/2012,225,221,221,221,200
01/05/2012,221,223,219,219,158
01/08/2012,219,223,219,223,805
01/09/2012,223,222,221,222,832
01/11/2012,222,225,215,216,878
01/12/2012,216,232,220,232,80
01/23/2012,232,228,210,213,3035
01/25/2012,213,213,209,211,486
01/26/2012,211,214,209,214,1143
01/29/2012,214,218,214,214,291
01/31/2012,214,217,217,217,32
02/01/2012,217,214,214,214,64
02/02/2012,214,216,211,212,1523
02/05/2012,212,212,206,207,1993
02/06/2012,207,209,205,207,4406
02/07/2012,207,207,204,205,2102
02/08/2012,205,206,202,203,1794
02/09/2012,203,207,201,203,855
02/12/2012,203,206,203,206,330
02/13/2012,206,209,205,207,1436
02/14/2012,207,211,210,210,116
02/15/2012,210,207,203,205,1233
02/16/2012,205,207,200,206,1228
02/23/2012,206,203,203,203,645
02/26/2012,203,207,203,203,391
02/27/2012,203,205,201,205,1120
02/28/2012,205,209,205,209,760
02/29/2012,209,211,210,211,1209
03/01/2012,211,211,211,211,70
03/04/2012,211,210,206,210,1091
03/05/2012,210,210,210,210,100
03/06/2012,210,212,212,212,90
03/11/2012,212,212,208,208,432
03/12/2012,208,208,204,206,4702
03/13/2012,206,209,204,204,7475
03/14/2012,204,205,196,202,13277
03/15/2012,202,205,200,202,4621
03/18/2012,202,204,200,202,498
03/19/2012,202,204,200,201,866
03/20/2012,201,205,200,200,558
03/21/2012,200,209,200,209,1198
03/25/2012,209,205,202,202,421
03/26/2012,202,203,200,203,838
03/27/2012,203,201,199,201,1989
03/28/2012,201,202,199,202,1572
03/29/2012,202,201,200,201,1052
04/01/2012,201,203,197,203,232
04/02/2012,203,205,201,203,479
04/03/2012,203,207,200,205,1349
04/04/2012,205,208,206,208,288
04/05/2012,208,207,207,207,385
04/08/2012,207,206,202,203,2500
04/09/2012,203,210,200,207,5237
04/10/2012,207,212,203,212,395
04/11/2012,212,224,214,214,1758
04/12/2012,214,234,214,234,5677
04/15/2012,234,250,238,244,2290
04/17/2012,244,268,220,223,12214
04/18/2012,223,245,223,245,4246
04/19/2012,245,269,249,269,14028
04/22/2012,269,295,274,295,7989
04/25/2012,295,318,300,318,345
04/26/2012,318,349,290,349,24512
04/29/2012,349,366,340,366,12609
04/30/2012,366,363,335,354,3782
05/03/2012,354,389,361,389,735
05/07/2012,389,419,396,419,665
05/08/2012,419,435,388,398,10810
05/09/2012,398,401,368,375,15840
05/10/2012,375,382,341,362,12228
05/13/2012,362,355,328,339,2389
05/14/2012,339,333,310,319,6765
05/15/2012,319,350,325,350,2541
05/16/2012,350,385,357,385,363
05/17/2012,385,423,368,378,8575
05/20/2012,378,385,357,365,5590
05/21/2012,365,380,357,370,5306
05/22/2012,370,363,350,352,5509
05/23/2012,352,345,328,328,177
05/24/2012,328,358,322,349,3736
05/27/2012,349,379,350,361,3808
06/03/2012,361,361,340,340,7611
06/04/2012,340,339,323,325,3595
06/05/2012,325,319,301,312,6115
06/06/2012,312,306,290,300,3568
06/07/2012,300,306,290,296,4131
06/10/2012,296,301,292,292,1628
06/11/2012,292,304,297,300,2293
06/12/2012,300,300,290,296,4002
06/13/2012,296,296,290,290,7853
06/14/2012,290,295,290,290,643
06/17/2012,290,293,276,279,2482
06/18/2012,279,285,270,285,3053
06/19/2012,285,282,276,279,1392
06/20/2012,279,295,282,286,1674
06/21/2012,286,296,290,295,1321
06/25/2012,295,313,295,313,4473
06/26/2012,313,307,300,301,335
06/27/2012,301,312,302,312,2594
06/28/2012,312,325,316,319,3456
07/01/2012,319,320,309,310,2504
07/02/2012,310,310,297,300,7545
07/03/2012,300,306,305,306,198
07/04/2012,306,313,306,310,3142
07/05/2012,310,319,311,319,1329
07/08/2012,319,325,308,316,728
07/09/2012,316,312,300,312,4371
07/10/2012,312,319,313,315,1799
07/11/2012,315,317,314,315,2579
07/12/2012,315,317,307,317,756
07/15/2012,317,345,311,345,1583
07/19/2012,345,339,324,329,5242
07/22/2012,329,345,331,339,6695
07/23/2012,339,345,336,337,1376
07/24/2012,337,335,325,332,1730
07/25/2012,332,334,326,330,2760
07/26/2012,330,328,321,325,2881
07/29/2012,325,325,315,319,710
07/30/2012,319,325,320,321,3854
07/31/2012,321,325,315,325,4035
08/01/2012,325,329,321,329,2464
08/05/2012,329,323,322,322,225
08/06/2012,322,321,317,321,2038
08/07/2012,321,325,317,325,4128
08/08/2012,325,324,316,319,1586
08/12/2012,319,320,320,320,23
08/13/2012,320,314,302,310,2387
08/14/2012,310,310,298,300,2674
08/15/2012,300,300,290,294,1398
08/16/2012,294,304,282,304,2958
08/19/2012,304,307,300,302,5461
08/21/2012,302,300,295,295,2083
08/22/2012,295,300,293,294,2504
08/23/2012,294,297,288,290,3117
08/26/2012,290,298,289,290,1525
08/27/2012,290,303,294,297,2122
08/28/2012,297,304,300,300,3751
08/29/2012,300,305,298,302,2384
08/30/2012,302,306,299,300,1742
09/02/2012,300,312,303,306,7500
09/03/2012,306,312,304,312,2962
09/04/2012,312,310,302,310,2001
09/05/2012,310,308,304,308,4735
09/06/2012,308,312,306,310,2065
09/09/2012,310,312,306,309,1089
09/10/2012,309,305,304,305,2020
09/11/2012,305,310,301,307,1582
09/12/2012,307,317,307,316,3970
09/13/2012,316,311,310,310,1978
09/16/2012,310,312,310,312,1734
09/17/2012,312,318,309,318,1692
09/18/2012,318,324,318,318,2227
09/19/2012,318,324,315,320,1886
09/20/2012,320,316,310,310,1314
09/23/2012,310,310,301,307,1281
09/24/2012,307,304,298,298,1532
09/25/2012,298,302,297,302,776
09/26/2012,302,305,300,304,1441
09/30/2012,305,303,297,300,625
10/01/2012,300,305,300,300,676
10/01/2012,300,305,300,300,676
10/02/2012,300,300,300,300,841
10/03/2012,300,300,294,295,2316
10/04/2012,295,298,290,290,2165
10/07/2012,290,300,290,298,1405
10/08/2012,298,304,293,300,1095
10/09/2012,300,298,293,293,614
10/10/2012,293,294,289,290,1885
10/11/2012,290,290,285,289,373
10/14/2012,289,293,287,289,480
10/15/2012,289,303,286,291,39514
10/17/2012,291,303,295,302,2997
10/18/2012,302,305,300,304,2442
10/30/2012,304,316,304,311,844
10/31/2012,311,323,313,319,1705
11/01/2012,319,314,308,313,2623
11/04/2012,313,325,308,316,2303
11/05/2012,316,323,311,320,10411
11/06/2012,320,328,320,321,5591
11/07/2012,321,333,325,331,6585
11/08/2012,331,356,330,342,14160
11/11/2012,342,340,317,322,2000
11/12/2012,322,339,320,339,2327
11/18/2012,339,347,337,346,4422
11/20/2012,346,366,345,354,5122
11/21/2012,354,352,329,343,5835
11/22/2012,343,341,335,335,4444
11/25/2012,335,345,319,321,12155
11/26/2012,321,331,315,323,4045
11/27/2012,323,322,317,319,2094
11/28/2012,319,324,317,324,259
11/29/2012,324,322,318,322,2244
12/02/2012,322,316,315,315,386
12/03/2012,315,312,305,307,2374
12/04/2012,307,317,308,313,3193
12/05/2012,313,330,319,329,3442
12/06/2012,329,326,320,323,1369
12/09/2012,323,322,316,317,1916
12/10/2012,317,325,315,325,1085
12/11/2012,325,320,314,316,460
12/12/2012,316,320,310,315,2726
12/13/2012,315,320,312,319,3094
12/16/2012,319,331,322,323,1579
12/17/2012,323,347,316,326,10893
12/18/2012,326,327,316,327,813
12/19/2012,327,334,320,326,1662
