Date,Open,High,Low,Close,Volume
03/24/2011,112,114,114,114,100
03/25/2011,114,113,111,111,130
04/04/2011,111,112,112,112,100
04/05/2011,112,116,114,116,1110
04/07/2011,116,118,116,116,150
04/10/2011,116,114,114,114,10
04/11/2011,114,112,112,112,50
04/13/2011,112,112,112,112,100
04/18/2011,112,110,110,110,120
04/19/2011,110,110,110,110,60
04/20/2011,110,110,110,110,140
04/27/2011,110,113,112,113,140
05/05/2011,113,111,111,111,20
05/10/2011,111,110,110,110,580
05/12/2011,110,110,110,110,430
05/15/2011,110,110,109,109,190
05/16/2011,109,110,110,110,290
05/18/2011,110,112,110,112,360
05/22/2011,112,110,110,110,500
05/23/2011,110,112,109,109,1150
05/24/2011,109,111,109,111,180
05/25/2011,111,113,113,113,510
05/26/2011,113,115,111,115,1820
06/02/2011,115,113,113,113,40
06/05/2011,113,113,113,113,200
06/07/2011,113,113,113,113,90
06/08/2011,113,115,109,109,420
06/12/2011,109,109,108,109,160
06/13/2011,109,108,108,108,100
07/11/2011,108,103,103,103,230
07/13/2011,103,105,105,105,30
07/14/2011,105,105,105,105,40
07/21/2011,105,110,108,108,510
07/24/2011,108,109,108,109,640
07/25/2011,109,109,109,109,10
08/04/2011,109,107,103,103,30
08/07/2011,103,101,100,100,9200
08/09/2011,100,102,102,102,20
08/10/2011,102,104,104,104,10
08/15/2011,104,106,106,106,20
08/16/2011,106,108,108,108,2180
08/18/2011,108,116,110,116,40
08/22/2011,116,120,118,120,110
08/23/2011,120,122,120,120,500
08/24/2011,120,124,122,124,40
08/25/2011,124,125,121,121,230
08/29/2011,121,119,117,117,110
09/01/2011,117,117,117,117,880
09/04/2011,117,115,113,113,1350
09/05/2011,113,115,114,115,390
09/06/2011,115,113,113,113,1040
09/07/2011,113,117,113,117,160
09/14/2011,117,116,116,116,10
09/15/2011,116,116,114,115,120
09/22/2011,115,113,113,113,10
09/27/2011,113,111,109,109,230
10/10/2011,109,111,111,111,420
10/13/2011,111,113,111,111,220
10/17/2011,111,109,109,109,40
10/20/2011,109,107,107,107,100
10/23/2011,107,109,109,109,90
10/31/2011,109,111,107,111,100
11/03/2011,111,113,113,113,10
11/06/2011,113,117,115,117,150
11/14/2011,117,115,115,115,40
11/15/2011,115,119,117,117,1330
11/16/2011,117,117,115,117,1390
11/21/2011,117,118,112,112,760
11/27/2011,112,111,111,111,10
12/04/2011,111,110,110,110,150
12/11/2011,110,110,110,110,30
12/12/2011,110,110,110,110,50
12/13/2011,110,108,108,108,300
12/21/2011,108,106,106,106,20
12/22/2011,106,107,107,107,50
12/27/2011,107,108,106,106,260
01/02/2012,106,104,104,104,40
01/09/2012,104,106,106,106,20
01/12/2012,106,107,107,107,10
01/16/2012,107,105,105,105,10
01/17/2012,105,106,101,101,1080
01/18/2012,101,101,101,101,270
01/26/2012,101,103,103,103,50
01/31/2012,103,108,105,108,1000
02/01/2012,108,111,110,110,2000
02/02/2012,110,112,108,108,550
02/06/2012,108,108,106,106,180
02/07/2012,106,106,104,104,460
02/08/2012,104,104,104,104,140
02/09/2012,104,104,104,104,250
02/12/2012,104,106,104,104,40
02/13/2012,104,103,103,103,150
02/14/2012,103,104,102,102,470
02/15/2012,102,102,100,100,340
02/16/2012,100,101,100,101,610
02/23/2012,101,99,99,99,440
02/29/2012,99,106,100,106,80
03/01/2012,106,104,100,101,210
03/04/2012,101,100,98,100,300
03/11/2012,100,100,99,99,60
03/13/2012,99,100,100,100,150
03/14/2012,100,104,102,104,50
03/18/2012,104,102,102,102,60
03/19/2012,102,100,100,100,40
03/25/2012,100,102,102,102,10
03/26/2012,102,102,98,98,1700
03/27/2012,98,98,98,98,2480
03/28/2012,98,99,98,99,430
03/29/2012,99,99,97,97,1270
04/01/2012,97,97,97,97,640
04/03/2012,97,98,98,98,30
04/26/2012,98,99,99,99,20
05/08/2012,99,100,100,100,20
05/09/2012,100,104,102,104,40
05/10/2012,104,104,104,104,10
05/13/2012,104,102,102,102,10
05/14/2012,102,104,104,104,20
05/15/2012,104,102,102,102,20
05/17/2012,102,102,100,100,710
05/21/2012,100,99,98,99,40
05/24/2012,99,98,98,98,110
05/29/2012,98,98,98,98,90
05/30/2012,98,97,97,97,60
05/31/2012,97,98,98,98,50
06/04/2012,98,99,99,99,370
06/05/2012,99,104,100,104,180
06/06/2012,104,104,104,104,500
06/07/2012,104,102,102,102,60
06/10/2012,102,100,100,100,190
06/14/2012,100,99,98,98,160
06/17/2012,98,99,99,99,120
06/26/2012,99,99,98,98,150
06/28/2012,98,100,99,100,60
07/01/2012,100,99,99,99,20
07/09/2012,99,108,100,108,570
07/10/2012,108,108,106,106,70
