Date,Open,High,Low,Close,Volume
01/21/2013,0,11,10,11,500
01/22/2013,11,12,11,12,31400
01/23/2013,12,13,12,13,727200
01/24/2013,13,13,12,12,278700
01/27/2013,12,13,12,12,18700
01/28/2013,12,12,12,12,14800
01/30/2013,12,13,12,13,2300
01/31/2013,13,12,12,12,410
02/03/2013,12,13,12,12,23200
02/04/2013,12,12,12,12,36830
02/05/2013,12,13,13,13,200
02/06/2013,13,13,12,12,8710
02/07/2013,12,12,11,12,41400
02/10/2013,12,12,12,12,1910
02/12/2013,12,12,12,12,41000
02/13/2013,12,12,12,12,21000
02/14/2013,12,12,12,12,2100
02/17/2013,12,13,13,13,100
02/19/2013,13,14,13,14,400
02/20/2013,14,13,13,13,900
02/21/2013,13,13,12,13,17400
02/24/2013,13,13,12,12,30500
02/25/2013,12,13,12,13,32600
02/26/2013,13,13,12,13,12700
02/27/2013,13,13,13,13,600
02/28/2013,13,13,12,12,47100
03/03/2013,12,12,12,12,44900
03/04/2013,12,12,12,12,51700
03/05/2013,12,13,12,13,19600
03/06/2013,13,13,13,13,200
03/07/2013,13,13,13,13,300
03/11/2013,13,13,13,13,100
03/13/2013,13,13,13,13,600
03/14/2013,13,13,12,12,273400
03/17/2013,12,12,12,12,42200
03/18/2013,12,12,11,12,85200
03/19/2013,12,12,12,12,36600
03/20/2013,12,12,12,12,15930
03/21/2013,12,12,12,12,538950
03/24/2013,12,12,12,12,39410
03/25/2013,12,12,12,12,76900
03/27/2013,12,12,12,12,2600
03/31/2013,12,12,12,12,31900
04/01/2013,12,12,11,12,26000
04/02/2013,12,12,12,12,5100
04/03/2013,12,12,12,12,117500
04/04/2013,12,12,11,12,49820
04/07/2013,12,12,12,12,121600
04/08/2013,12,12,11,12,141900
04/09/2013,12,12,12,12,137500
04/11/2013,12,12,12,12,16500
04/15/2013,12,12,12,12,34000
04/16/2013,12,12,12,12,15000
04/17/2013,12,12,12,12,89700
04/18/2013,12,12,12,12,40100
04/21/2013,12,12,12,12,56000
04/22/2013,12,12,11,11,25200
04/23/2013,11,12,11,12,14300
04/25/2013,12,11,11,11,39000
04/28/2013,11,11,11,11,3400
04/29/2013,11,11,11,11,11400
05/02/2013,11,11,11,11,21110
05/05/2013,11,11,11,11,31050
05/06/2013,11,11,11,11,13010
05/07/2013,11,11,11,11,25070
05/08/2013,11,11,11,11,2510
05/09/2013,11,11,11,11,36000
05/13/2013,11,11,11,11,2100
05/14/2013,11,11,11,11,16000
05/16/2013,11,11,11,11,7800
05/19/2013,11,11,11,11,4000
05/21/2013,11,11,11,11,40100
05/23/2013,11,11,11,11,25100
05/26/2013,11,11,11,11,15500
05/27/2013,11,11,11,11,11000
05/28/2013,11,11,11,11,6000
05/30/2013,11,11,11,11,6700
06/02/2013,11,11,11,11,10100
06/03/2013,11,11,11,11,6000
06/04/2013,11,11,10,10,7000
06/05/2013,10,11,11,11,600
06/06/2013,11,11,11,11,33900
06/09/2013,11,10,10,10,4000
06/10/2013,10,10,10,10,6910
06/11/2013,10,11,11,11,1000
06/12/2013,11,10,10,10,6320
06/13/2013,10,10,10,10,11000
06/16/2013,10,10,10,10,5300
06/17/2013,10,10,10,10,3000
06/18/2013,10,10,10,10,2510
06/19/2013,10,10,10,10,17200
06/20/2013,10,10,10,10,44500
06/23/2013,10,10,10,10,18500
06/24/2013,10,10,10,10,2500
06/25/2013,10,10,10,10,10000
06/27/2013,10,10,10,10,16510
06/30/2013,10,10,10,10,2500
07/02/2013,10,10,10,10,37420
07/03/2013,10,10,10,10,66100
07/04/2013,10,10,10,10,5100
07/07/2013,10,10,10,10,5000
07/08/2013,10,10,10,10,6510
07/09/2013,10,10,10,10,1600
07/10/2013,10,10,10,10,3000
07/14/2013,10,10,10,10,2600
07/15/2013,10,11,10,11,1700
07/16/2013,11,11,11,11,2000
07/17/2013,11,11,11,11,2000
07/18/2013,11,11,11,11,7000
07/21/2013,11,11,11,11,8700
07/31/2013,11,11,11,11,5500
08/01/2013,11,11,10,10,11010
08/04/2013,10,11,10,10,16000
08/06/2013,10,11,11,11,25000
08/07/2013,11,11,10,10,18500
08/08/2013,10,11,11,11,500
08/12/2013,11,11,11,11,42600
08/13/2013,11,11,10,11,21900
08/14/2013,11,11,11,11,14220
08/18/2013,11,11,11,11,35100
08/19/2013,11,11,11,11,37900
08/20/2013,11,11,11,11,30600
08/26/2013,11,11,11,11,2200
08/27/2013,11,11,11,11,15000
08/29/2013,11,11,11,11,39000
09/01/2013,11,11,11,11,12220
09/02/2013,11,11,11,11,21500
09/03/2013,11,11,11,11,5100
09/04/2013,11,11,11,11,9800
09/05/2013,11,11,11,11,10550
09/08/2013,11,11,11,11,10000
09/09/2013,11,11,11,11,41000
09/10/2013,11,11,11,11,25700
09/11/2013,11,11,11,11,15000
09/12/2013,11,10,10,10,41700
09/15/2013,10,10,10,10,45000
09/16/2013,10,11,11,11,500
09/17/2013,11,11,10,10,210500
09/19/2013,10,10,10,10,6600
09/22/2013,10,10,10,10,5000
09/23/2013,10,10,10,10,42000
09/24/2013,10,10,10,10,22000
09/25/2013,10,11,10,10,3100
09/26/2013,10,11,10,11,51500
09/29/2013,11,10,10,10,1500
09/30/2013,10,10,10,10,3100
10/01/2013,10,10,10,10,1600
10/02/2013,10,10,10,10,5500
10/03/2013,10,10,10,10,1100
10/06/2013,10,10,10,10,40000
10/09/2013,10,10,10,10,29000
10/21/2013,10,10,10,10,1500
10/22/2013,10,10,10,10,21000
10/23/2013,10,10,10,10,42000
10/24/2013,10,10,10,10,27600
10/27/2013,10,10,10,10,4600
10/28/2013,10,10,10,10,7000
10/29/2013,10,11,10,10,91000
10/30/2013,10,10,10,10,210000
10/31/2013,10,11,10,11,45020
11/06/2013,11,11,10,11,13610
11/07/2013,11,11,11,11,12600
11/10/2013,11,11,11,11,33000
11/11/2013,11,11,11,11,600
11/12/2013,11,11,11,11,710210
11/13/2013,11,11,11,11,17000
11/14/2013,11,11,11,11,221000
11/24/2013,11,12,11,12,7500
11/25/2013,12,12,12,12,39100
11/26/2013,12,12,12,12,10800
11/27/2013,12,12,12,12,13300
11/28/2013,12,12,11,11,7610
12/01/2013,11,12,12,12,36000
12/02/2013,12,12,12,12,24750
12/03/2013,12,12,12,12,90100
12/04/2013,12,12,12,12,108000
12/05/2013,12,13,12,13,142510
12/08/2013,13,13,12,12,34500
12/09/2013,12,12,12,12,124000
12/10/2013,12,12,12,12,217500
12/11/2013,12,12,12,12,76000
12/12/2013,12,12,12,12,10000
12/15/2013,12,12,12,12,301000
12/18/2013,12,12,12,12,10000
12/22/2013,12,13,12,13,116900
12/23/2013,13,13,12,13,84300
12/24/2013,13,13,12,13,17000
12/26/2013,13,13,13,13,550
12/29/2013,13,13,13,13,15000
12/31/2013,13,13,13,13,109800
01/01/2014,13,13,13,13,34600
01/02/2014,13,13,13,13,72100
01/05/2014,13,13,13,13,49300
01/06/2014,13,13,13,13,29900
01/07/2014,13,13,13,13,77600
01/08/2014,13,13,13,13,22600
01/09/2014,13,13,13,13,1500
01/12/2014,13,13,12,13,24820
01/13/2014,13,13,13,13,22400
01/14/2014,13,13,13,13,42400
01/16/2014,13,13,13,13,104000
01/19/2014,13,13,13,13,5000
01/20/2014,13,13,13,13,500
01/21/2014,13,13,13,13,20000
01/22/2014,13,13,13,13,69400
01/23/2014,13,13,13,13,24600
01/26/2014,13,13,13,13,21400
01/27/2014,13,13,13,13,1530
01/28/2014,13,13,13,13,33400
01/29/2014,13,13,13,13,5500
02/02/2014,13,13,13,13,18000
02/03/2014,13,13,13,13,10000
02/04/2014,13,13,13,13,5600
02/06/2014,13,13,13,13,500
02/09/2014,13,13,13,13,3000
02/10/2014,13,13,13,13,1700
02/12/2014,13,13,13,13,9300
02/13/2014,13,13,13,13,213000
02/16/2014,13,13,13,13,209000
02/17/2014,13,13,13,13,30400
02/18/2014,13,13,13,13,20200
02/20/2014,13,13,13,13,12000
02/23/2014,13,13,13,13,75500
02/24/2014,13,13,13,13,58600
02/25/2014,13,13,13,13,137010
02/26/2014,13,13,13,13,8000
03/04/2014,13,13,13,13,251600
03/05/2014,13,13,13,13,18000
03/06/2014,13,13,13,13,185000
03/09/2014,13,13,13,13,52900
03/10/2014,13,13,13,13,34500
03/11/2014,13,13,13,13,199120
03/12/2014,13,13,13,13,2810
03/13/2014,13,13,13,13,2600
03/17/2014,13,13,13,13,7000
03/19/2014,13,13,13,13,17700
03/20/2014,13,13,13,13,6000
03/23/2014,13,13,13,13,9900
03/24/2014,13,13,13,13,3000
03/25/2014,13,13,13,13,10200
03/26/2014,13,13,13,13,1000
03/27/2014,13,13,13,13,13700
04/01/2014,13,13,13,13,17500
04/02/2014,13,13,13,13,12000
04/03/2014,13,13,13,13,8000
04/06/2014,13,13,13,13,31000
04/07/2014,13,13,13,13,1000
04/09/2014,13,13,13,13,5000
04/13/2014,13,13,13,13,500
04/15/2014,13,13,13,13,31000
04/16/2014,13,13,13,13,12920
04/17/2014,13,13,13,13,50000
04/20/2014,13,13,13,13,103200
04/21/2014,13,13,13,13,32800
04/27/2014,13,13,13,13,130200
04/29/2014,13,13,13,13,1000
04/30/2014,13,13,13,13,49600
05/04/2014,13,13,13,13,5000
05/05/2014,13,13,13,13,10500
05/06/2014,13,13,13,13,39900
05/07/2014,13,13,13,13,10250
05/08/2014,13,13,13,13,2000
05/11/2014,13,13,13,13,13600
05/12/2014,13,13,13,13,11000
05/13/2014,13,13,13,13,14900
05/18/2014,13,13,13,13,7100
05/19/2014,13,13,13,13,459200
05/20/2014,13,13,13,13,37800
05/21/2014,13,13,13,13,11300
05/25/2014,13,13,13,13,27510
05/27/2014,13,13,13,13,208000
05/28/2014,13,14,13,13,41100
06/01/2014,13,14,13,14,112000
06/02/2014,14,14,14,14,6000
06/03/2014,14,14,14,14,304700
06/04/2014,14,14,14,14,18700
06/05/2014,14,14,14,14,7000
06/08/2014,14,14,14,14,1000
06/09/2014,14,15,14,14,230000
06/10/2014,14,15,14,14,606830
06/11/2014,14,15,15,15,48500
06/12/2014,15,15,15,15,507000
06/15/2014,15,15,15,15,91310
06/16/2014,15,15,15,15,80000
06/17/2014,15,15,15,15,58900
06/17/2014,15,15,15,15,58900
06/18/2014,15,15,15,15,16600
06/19/2014,15,15,15,15,1043600
06/23/2014,15,15,14,15,622500
06/24/2014,15,15,14,15,516300
06/25/2014,15,15,14,15,155000
06/26/2014,15,15,15,15,82500
06/29/2014,15,15,15,15,857480
06/30/2014,15,15,15,15,251500
07/01/2014,15,15,15,15,140000
07/02/2014,15,15,15,15,40000
07/03/2014,15,15,15,15,143000
07/06/2014,15,15,15,15,92200
07/07/2014,15,16,15,16,10500
07/08/2014,16,17,16,16,67500
07/09/2014,16,17,17,17,25400
07/10/2014,17,16,16,16,217100
07/13/2014,16,17,16,16,207600
07/14/2014,16,16,16,16,265510
07/15/2014,16,16,16,16,8900
07/16/2014,16,17,16,16,14410
07/17/2014,16,17,17,17,12500
07/20/2014,17,17,16,17,136400
07/21/2014,17,18,17,18,14000
07/22/2014,18,18,17,18,200200
07/23/2014,18,18,18,18,75200
07/24/2014,18,19,18,19,49200
07/27/2014,19,19,19,19,184000
07/28/2014,19,19,19,19,385000
07/30/2014,19,19,19,19,43900
07/31/2014,19,20,19,19,115500
08/03/2014,19,19,19,19,4500
08/04/2014,19,19,19,19,25900
08/05/2014,19,19,19,19,10860
08/06/2014,19,19,19,19,35100
08/07/2014,19,19,19,19,206000
08/12/2014,19,19,19,19,91100
08/14/2014,19,19,19,19,1500
08/18/2014,19,18,17,17,45900
08/19/2014,17,17,17,17,52100
08/20/2014,17,18,17,18,23100
08/21/2014,18,18,18,18,10500
08/24/2014,18,18,18,18,13750
08/25/2014,18,17,17,17,18000
08/26/2014,17,17,16,16,52260
08/27/2014,16,17,17,17,135510
08/28/2014,17,18,18,18,143500
08/31/2014,18,18,18,18,90000
09/01/2014,18,18,17,17,57710
09/03/2014,17,18,17,18,111270
09/04/2014,18,18,17,17,86000
09/07/2014,17,18,17,17,30000
09/09/2014,17,17,17,17,135000
09/10/2014,17,17,17,17,35000
09/11/2014,17,17,17,17,181400
09/16/2014,17,17,17,17,1000
09/17/2014,17,16,16,16,8600
09/18/2014,16,16,16,16,57000
09/21/2014,16,16,16,16,5000
09/23/2014,16,16,16,16,1500
10/09/2014,16,16,16,16,8000
10/12/2014,16,16,16,16,5000
10/13/2014,16,16,16,16,15000
10/15/2014,16,16,16,16,17000
10/27/2014,16,16,16,16,400
10/28/2014,16,17,16,17,29200
10/30/2014,17,17,17,17,10000
11/03/2014,17,17,16,16,10400
11/04/2014,16,16,16,16,3000
11/06/2014,16,16,16,16,10000
11/09/2014,16,16,16,16,10000
11/10/2014,16,16,15,15,93000
11/11/2014,15,15,15,15,164510
11/12/2014,15,16,15,16,94200
11/16/2014,16,15,15,15,34100
11/17/2014,15,15,15,15,96650
