Date,Open,High,Low,Close,Volume
03/24/2011,240,238,238,238,2064
03/25/2011,238,237,237,237,1000
03/27/2011,237,235,235,235,1239
03/28/2011,235,233,233,233,100
03/29/2011,233,229,225,225,1062
03/30/2011,225,225,225,225,123
03/31/2011,225,222,218,218,644
04/04/2011,218,222,222,222,161
04/06/2011,222,222,222,222,123
04/11/2011,222,225,221,221,278
04/17/2011,221,220,220,220,211
05/10/2011,220,216,216,216,156
05/12/2011,216,212,212,212,1000
05/15/2011,212,208,208,208,1000
05/16/2011,208,204,204,204,1000
05/18/2011,204,203,203,203,131
05/24/2011,203,193,190,190,9000
05/25/2011,190,190,190,190,10000
05/26/2011,190,190,190,190,10000
06/06/2011,190,187,187,187,17000
06/08/2011,187,190,190,190,300
06/09/2011,190,193,193,193,300
06/12/2011,193,192,192,192,300
06/13/2011,192,190,190,190,1000
06/16/2011,190,193,190,190,1369
06/27/2011,190,193,193,193,1300
07/03/2011,193,196,190,196,1600
07/05/2011,196,196,196,196,713
07/06/2011,196,199,199,199,100
07/07/2011,199,196,196,196,711
07/10/2011,196,199,199,199,100
07/11/2011,199,202,202,202,100
07/13/2011,202,202,202,202,3485
07/24/2011,202,198,198,198,304
07/31/2011,198,200,200,200,1409
08/01/2011,200,196,196,196,200
08/18/2011,196,193,180,180,28015
09/20/2011,180,183,180,183,3346
11/08/2011,183,186,186,186,100
11/15/2011,186,140,140,140,1020144
12/04/2011,192,195,195,195,304
12/05/2011,195,198,198,198,723
12/07/2011,198,201,201,201,304
01/16/2012,201,168,168,168,100
01/23/2012,168,171,171,171,113
01/31/2012,171,171,171,171,762
02/01/2012,171,188,174,188,1252
02/12/2012,188,185,185,185,1496
02/27/2012,185,188,188,188,133
03/06/2012,188,190,190,190,914
03/21/2012,190,194,193,194,1066
04/02/2012,194,197,197,197,133
05/21/2012,197,200,200,200,100
05/29/2012,200,220,204,220,3348
05/31/2012,220,236,224,236,1113
06/03/2012,236,240,240,240,108
06/06/2012,240,248,244,248,400
06/07/2012,248,244,240,240,1563
06/10/2012,240,236,233,233,678
06/11/2012,233,237,237,237,368
06/12/2012,237,234,229,230,6996
06/13/2012,230,226,226,226,647
06/18/2012,226,226,222,226,467
06/27/2012,226,227,223,223,6233
06/28/2012,223,226,225,226,5000
07/01/2012,226,229,225,229,2000
07/02/2012,229,234,230,230,1100
07/04/2012,230,234,234,234,490
07/05/2012,234,230,230,230,8000
07/08/2012,230,230,230,230,512
07/10/2012,230,234,234,234,304
07/11/2012,234,230,230,230,5000
07/15/2012,230,230,230,230,4000
07/17/2012,230,230,230,230,500
07/18/2012,230,230,230,230,5600
07/22/2012,230,231,230,230,6410
07/23/2012,230,230,230,230,1533
07/24/2012,230,234,230,234,11000
07/25/2012,234,230,230,230,10155
07/31/2012,230,238,234,238,2086
08/06/2012,238,236,234,234,5142
08/07/2012,234,236,234,236,1100
08/13/2012,236,236,236,236,1000
08/14/2012,236,236,236,236,859
08/19/2012,236,236,236,236,1273
08/22/2012,236,240,240,240,300
08/30/2012,240,249,237,248,4854
09/02/2012,248,252,252,252,600
09/03/2012,252,257,252,257,466
09/05/2012,257,261,257,261,1100
09/06/2012,261,266,260,261,2417
09/09/2012,261,266,265,265,478
09/10/2012,265,269,266,266,841
09/11/2012,266,266,265,266,1526
09/12/2012,266,270,267,270,963
09/13/2012,270,280,275,280,485
09/16/2012,280,295,285,295,644
09/17/2012,295,298,297,297,1385
09/18/2012,297,292,292,292,200
09/19/2012,292,295,295,295,156
09/25/2012,295,294,290,290,402
09/30/2012,290,285,281,281,320
10/01/2012,281,276,276,276,1000
10/01/2012,281,276,276,276,1000
10/02/2012,276,281,281,281,120
10/03/2012,281,286,272,272,1360
10/04/2012,272,271,270,270,1232
10/07/2012,270,265,265,265,300
10/09/2012,265,270,270,270,142
