Date,Open,High,Low,Close,Volume
07/20/2011,160,163,163,163,140
07/18/2012,163,165,165,165,20
12/09/2012,165,162,153,153,23796
12/23/2012,153,150,150,150,140
03/24/2013,150,143,143,143,20
03/31/2013,143,141,141,141,50
04/01/2013,141,140,130,130,100
04/02/2013,130,124,120,120,40
04/03/2013,120,114,110,110,50
04/04/2013,110,108,99,99,70
04/07/2013,99,95,94,94,60
04/08/2013,94,90,85,85,23436
05/08/2013,85,84,84,84,80
09/28/2014,84,87,85,87,500
10/20/2014,87,88,88,88,10
10/22/2014,88,89,89,89,60
11/05/2014,89,91,90,91,270
11/17/2014,91,92,92,92,10
12/15/2014,92,93,93,93,5000
02/22/2015,58,60,60,60,50
04/16/2015,60,63,63,63,500
08/05/2015,63,66,66,66,50
08/06/2015,66,69,67,69,958
08/23/2015,69,70,70,70,32
11/03/2015,70,71,71,71,985
10/24/2016,350,350,350,350,10
10/26/2016,350,371,357,371,30
10/27/2016,371,406,378,406,50
11/03/2016,406,438,414,438,60
11/07/2016,438,481,446,481,70
11/08/2016,481,490,490,490,10
11/09/2016,490,528,499,528,70
11/10/2016,528,548,538,548,20
11/13/2016,548,558,558,558,10
11/14/2016,558,580,569,580,20
11/16/2016,580,638,591,638,60
11/20/2016,638,650,650,650,20
11/21/2016,650,715,650,715,728
11/22/2016,715,786,728,786,608
11/23/2016,786,771,756,756,54
11/24/2016,756,771,771,771,36
11/27/2016,771,760,760,760,25
11/28/2016,760,745,717,717,4070
11/30/2016,717,770,731,770,255
12/01/2016,770,832,755,832,477
12/06/2016,555,587,565,587,790
12/07/2016,587,598,576,598,1550
12/08/2016,598,598,587,598,110
12/11/2016,598,598,587,598,60
12/12/2016,598,587,543,553,560
12/14/2016,553,561,542,561,1320
12/15/2016,561,560,549,559,320
12/18/2016,559,550,529,539,161
12/19/2016,539,549,529,549,1086
12/20/2016,549,540,539,540,100
12/21/2016,540,530,530,530,80
12/22/2016,530,530,530,530,200
12/28/2016,530,530,530,530,200
01/02/2017,530,521,521,521,100
01/17/2017,521,515,491,491,420
01/18/2017,491,491,482,491,110
01/23/2017,491,498,482,498,260
01/25/2017,498,489,471,480,485
01/30/2017,480,471,462,462,140
01/31/2017,462,455,453,453,150
02/02/2017,453,444,419,440,4860
02/05/2017,440,432,400,400,6155
02/06/2017,400,408,400,400,4069
02/13/2017,400,392,385,385,400
02/14/2017,385,385,378,378,160
02/15/2017,378,371,357,357,300
02/16/2017,357,378,364,378,120
02/19/2017,378,378,364,364,1750
02/20/2017,364,370,370,370,110
02/21/2017,370,382,365,382,1188
02/23/2017,382,375,375,375,100
02/26/2017,375,370,368,368,120
03/14/2017,368,368,361,368,210
03/15/2017,368,361,361,361,200
03/16/2017,361,368,368,368,10
03/19/2017,368,379,365,379,520
03/20/2017,379,400,372,392,1768
03/22/2017,392,390,378,390,5270
03/23/2017,390,394,383,384,1674
03/26/2017,384,391,391,391,520
03/28/2017,391,398,398,398,100
03/29/2017,398,400,400,400,500
03/30/2017,400,440,408,440,655
04/02/2017,440,465,448,465,7110
04/03/2017,465,490,474,490,646
04/04/2017,490,528,481,528,1533
04/06/2017,528,538,528,528,1010
04/09/2017,528,580,538,580,460
04/10/2017,580,602,591,592,1130
04/11/2017,592,615,603,615,600
04/12/2017,615,634,615,622,1460
04/18/2017,622,610,587,587,154
04/19/2017,587,590,579,579,820
04/23/2017,579,601,590,600,700
04/24/2017,600,605,604,605,120
04/25/2017,605,605,590,605,2650
04/26/2017,605,593,564,565,6534
04/27/2017,565,570,570,570,420
05/03/2017,570,580,580,580,10
05/04/2017,580,570,570,570,110
05/07/2017,570,566,566,566,100
05/08/2017,566,577,577,577,10
05/09/2017,577,605,588,605,30
05/15/2017,605,615,571,571,250
05/16/2017,571,582,571,571,110
05/18/2017,571,582,572,580,50
05/23/2017,580,602,590,590,120
05/24/2017,590,580,580,580,500
05/28/2017,580,602,590,590,40
05/30/2017,590,580,580,580,21
05/31/2017,580,591,580,591,391
06/01/2017,591,580,558,569,407
06/04/2017,569,591,580,585,120
06/07/2017,585,601,578,578,100
06/08/2017,578,578,570,570,200
06/11/2017,570,560,560,560,35
06/13/2017,560,549,539,539,30
06/14/2017,539,529,529,529,10
06/15/2017,529,519,509,509,30
06/19/2017,509,519,499,499,40
06/20/2017,499,490,463,463,724
06/21/2017,463,454,454,454,10
06/22/2017,454,445,445,445,10
06/25/2017,445,453,453,453,24
06/27/2017,453,450,450,450,50
07/02/2017,450,441,441,441,10
07/03/2017,441,441,433,441,150
07/04/2017,441,435,417,417,360
07/06/2017,417,425,425,425,120
07/09/2017,425,441,433,441,20
07/12/2017,441,441,433,433,510
07/13/2017,433,435,435,435,500
07/17/2017,435,445,440,445,1000
07/18/2017,445,462,453,462,1020
07/19/2017,462,473,471,473,1520
07/20/2017,473,490,482,483,1200
07/23/2017,483,490,490,490,20
07/24/2017,490,499,499,499,20
07/25/2017,499,505,495,504,1500
08/01/2017,504,506,494,494,1524
08/02/2017,494,490,487,490,330
08/03/2017,490,481,481,481,200
08/06/2017,481,480,472,472,250
08/07/2017,472,470,463,470,850
08/09/2017,470,462,462,462,500
08/10/2017,462,475,466,466,800
08/15/2017,466,470,461,470,250
08/16/2017,470,478,451,451,1028
08/17/2017,451,496,460,496,4600
08/20/2017,496,537,505,532,4320
08/21/2017,532,526,510,520,1195
08/22/2017,520,530,510,520,1120
08/23/2017,520,520,510,510,875
08/24/2017,510,520,520,520,10
08/27/2017,520,572,530,572,2115
08/28/2017,572,578,560,565,3692
08/30/2017,565,572,555,572,3152
08/31/2017,572,576,550,560,2709
09/04/2017,560,559,559,559,10
09/06/2017,559,570,559,570,510
09/07/2017,570,559,558,558,95
09/11/2017,558,566,560,566,210
09/13/2017,566,555,526,526,810
09/14/2017,526,535,516,535,2020
09/17/2017,535,525,525,525,600
09/18/2017,525,525,515,525,257
09/25/2017,525,545,535,545,20
09/26/2017,545,566,555,566,20
10/04/2017,566,577,577,577,30
10/09/2017,577,566,555,555,74
10/10/2017,555,550,535,535,680
10/11/2017,535,577,545,577,430
10/12/2017,577,566,549,549,490
10/15/2017,549,540,539,539,200
10/16/2017,539,545,545,545,250
10/17/2017,545,541,540,540,1140
10/18/2017,540,537,536,537,710
10/23/2017,537,540,540,540,100
10/25/2017,540,535,528,528,270
10/29/2017,528,535,525,535,100
10/31/2017,535,545,545,545,60
11/01/2017,545,540,540,540,40
11/02/2017,540,550,540,540,360
11/07/2017,540,561,540,540,280
11/08/2017,540,540,522,522,196
11/12/2017,522,529,526,529,300
11/14/2017,529,541,533,541,1075
11/15/2017,541,535,531,531,130
11/20/2017,531,521,482,491,1055
11/22/2017,491,482,464,464,240
11/23/2017,464,465,458,465,520
11/26/2017,465,483,474,481,230
11/27/2017,481,483,478,478,460
11/28/2017,478,480,475,480,725
11/29/2017,480,480,472,480,930
11/30/2017,480,481,450,459,3010
12/04/2017,459,468,465,466,80
12/05/2017,466,474,454,474,297
12/06/2017,474,466,465,465,140
12/10/2017,465,456,456,456,540
12/11/2017,456,448,448,448,10
12/13/2017,448,456,447,455,295
12/14/2017,455,455,455,455,60
12/17/2017,455,483,455,455,1250
12/18/2017,455,477,461,470,1400
12/19/2017,470,470,456,461,770
12/20/2017,461,467,467,467,50
12/21/2017,467,470,448,448,7903
12/24/2017,338,344,338,338,300
01/02/2018,338,340,338,338,180
01/07/2018,338,333,328,332,330
01/08/2018,332,335,330,332,540
01/09/2018,332,327,326,326,70
01/10/2018,326,335,330,335,130
01/14/2018,335,340,336,336,190
01/17/2018,336,340,334,334,310
01/22/2018,334,340,340,340,10
02/07/2018,340,336,330,330,30
02/11/2018,330,325,325,325,60
02/14/2018,325,320,320,320,10
02/15/2018,320,315,309,309,530
02/18/2018,303,303,303,303,90
02/20/2018,298,298,297,297,71
02/21/2018,292,293,292,293,450
02/25/2018,288,288,288,288,500
02/26/2018,288,288,288,288,30
03/04/2018,283,283,278,278,20
03/05/2018,273,273,269,273,340
03/06/2018,275,275,272,272,130
03/07/2018,267,273,267,273,980
03/11/2018,268,273,268,268,310
03/12/2018,268,268,267,268,650
03/13/2018,270,270,268,270,600
03/14/2018,266,268,266,268,210
03/15/2018,270,272,270,272,400
03/18/2018,272,272,272,272,200
03/19/2018,275,275,275,275,10
03/20/2018,270,270,270,270,114
