Date,Open,High,Low,Close,Volume
03/20/2011,1779,1770,1770,1770,34
03/24/2011,1785,1760,1700,1700,1140
03/25/2011,1700,1734,1676,1734,1252
03/27/2011,1734,1714,1690,1690,157
03/28/2011,1690,1680,1627,1627,270
03/29/2011,1627,1625,1568,1570,1150
03/30/2011,1570,1581,1521,1581,743
03/31/2011,1581,1683,1552,1622,1040
04/04/2011,1622,1645,1625,1630,504
04/05/2011,1630,1626,1570,1601,969
04/06/2011,1601,1610,1585,1610,328
04/07/2011,1610,1661,1630,1635,263
04/10/2011,1635,1635,1620,1625,325
04/11/2011,1625,1646,1605,1640,1891
04/13/2011,1640,1730,1610,1730,233
04/17/2011,1730,1696,1695,1696,284
04/18/2011,1696,1695,1653,1655,274
04/19/2011,1655,1655,1635,1655,1588
04/20/2011,1655,1658,1610,1625,747
04/21/2011,1625,1615,1598,1600,707
04/25/2011,1600,1581,1550,1575,170
04/26/2011,1575,1551,1551,1551,25
04/27/2011,1551,1581,1520,1581,935
04/28/2011,1581,1555,1550,1555,467
05/02/2011,1555,1580,1550,1550,856
05/03/2011,1550,1559,1539,1555,743
05/04/2011,1555,1560,1540,1540,1867
05/05/2011,1540,1555,1539,1540,1143
05/08/2011,1540,1550,1540,1544,886
05/10/2011,1544,1580,1550,1580,359
05/11/2011,1580,1600,1590,1590,396
05/12/2011,1590,1647,1605,1647,389
05/15/2011,1647,1664,1600,1664,828
05/16/2011,1664,1677,1631,1677,442
05/18/2011,1677,1683,1623,1683,1111
05/19/2011,1683,1688,1650,1683,1424
05/22/2011,1683,1715,1680,1680,208
05/23/2011,1680,1690,1680,1680,795
05/24/2011,1680,1690,1662,1672,1151
05/25/2011,1672,1682,1670,1682,308
05/26/2011,1682,1685,1656,1668,842
05/30/2011,1668,1662,1620,1662,1415
05/31/2011,1662,1660,1550,1600,1244
06/01/2011,1600,1632,1551,1551,388
06/02/2011,1551,1586,1550,1557,1379
06/05/2011,1557,1560,1490,1560,3508
06/06/2011,1560,1541,1490,1541,1182
06/07/2011,1541,1511,1452,1474,420
06/08/2011,1474,1475,1400,1400,1764
06/09/2011,1400,1428,1347,1351,2003
06/12/2011,1351,1368,1340,1368,1468
06/13/2011,1368,1356,1340,1355,1453
06/14/2011,1355,1340,1315,1334,1120
06/15/2011,1334,1315,1280,1300,1151
06/16/2011,1300,1430,1290,1430,1596
06/19/2011,1430,1573,1458,1573,2217
06/20/2011,1430,1573,1458,1573,2217
06/21/2011,1698,1750,1700,1750,4412
06/23/2011,1750,1801,1750,1801,6599
06/26/2011,1801,1836,1620,1620,4486
06/27/2011,1620,1588,1458,1458,1941
06/29/2011,1458,1576,1370,1570,506
06/30/2011,1570,1561,1513,1560,1381
07/03/2011,1560,1559,1520,1559,573
07/04/2011,1559,1570,1535,1550,1354
07/05/2011,1550,1590,1550,1580,3419
07/06/2011,1580,1620,1575,1615,1721
07/07/2011,1615,1632,1585,1600,1477
07/10/2011,1600,1650,1570,1640,1426
07/11/2011,1640,1675,1649,1649,1019
07/12/2011,1649,1720,1670,1671,1431
07/13/2011,1671,1740,1672,1700,973
07/14/2011,1700,1800,1690,1800,999
07/17/2011,1800,1980,1836,1980,655
07/18/2011,1980,2019,1800,1846,1273
07/19/2011,1846,1895,1842,1885,1716
07/20/2011,1885,1960,1880,1948,2432
07/21/2011,1948,1994,1905,1955,1729
07/24/2011,1955,1954,1820,1876,883
07/25/2011,1876,1839,1800,1809,427
07/26/2011,1809,1801,1795,1800,1638
07/27/2011,1800,1876,1800,1839,854
07/28/2011,1839,1860,1815,1840,569
07/31/2011,1840,1841,1800,1832,331
08/01/2011,1832,1829,1785,1825,429
08/02/2011,1825,1830,1790,1830,540
08/03/2011,1830,1818,1790,1800,435
08/04/2011,1800,1805,1790,1796,585
08/07/2011,1796,1805,1805,1805,30
08/08/2011,1805,1815,1780,1780,121
08/09/2011,1780,1745,1659,1680,1468
08/10/2011,1680,1777,1690,1740,312
08/11/2011,1740,1750,1695,1702,1013
08/15/2011,1702,1740,1698,1734,1356
08/16/2011,1734,1745,1734,1739,395
08/17/2011,1739,1743,1665,1690,1746
08/18/2011,1690,1721,1700,1721,1061
08/22/2011,1721,1715,1680,1691,404
08/23/2011,1691,1710,1691,1700,586
08/24/2011,1700,1703,1671,1700,263
08/25/2011,1700,1705,1700,1705,618
08/28/2011,1705,1671,1534,1550,3311
08/29/2011,1550,1611,1520,1611,687
08/30/2011,1611,1611,1568,1600,1331
09/01/2011,1600,1629,1570,1590,1761
09/04/2011,1590,1600,1570,1592,653
09/05/2011,1592,1584,1555,1555,1579
09/06/2011,1555,1549,1524,1525,1371
09/07/2011,1525,1535,1492,1510,1132
09/08/2011,1510,1505,1480,1480,670
09/12/2011,1480,1484,1455,1460,724
09/13/2011,1460,1470,1440,1465,1317
09/14/2011,1465,1440,1319,1325,3561
09/15/2011,1325,1395,1340,1360,385
09/18/2011,1360,1365,1328,1365,698
09/19/2011,1365,1365,1365,1365,100
09/20/2011,1365,1392,1360,1392,217
09/21/2011,1392,1425,1400,1415,409
09/22/2011,1415,1495,1430,1489,300
09/25/2011,1489,1490,1470,1485,517
09/26/2011,1485,1501,1488,1488,160
09/27/2011,1488,1489,1480,1487,281
09/29/2011,1487,1500,1489,1489,81
10/02/2011,1489,1497,1488,1488,286
10/09/2011,1488,1480,1480,1480,100
10/12/2011,1480,1500,1480,1480,559
10/13/2011,1480,1480,1480,1480,43
10/16/2011,1480,1481,1480,1480,60
10/17/2011,1480,1485,1452,1470,437
10/18/2011,1470,1470,1445,1450,316
10/19/2011,1450,1465,1435,1440,648
10/20/2011,1440,1453,1430,1450,773
10/23/2011,1450,1445,1400,1415,385
10/24/2011,1415,1412,1395,1406,860
10/25/2011,1406,1401,1391,1399,921
10/30/2011,1399,1400,1398,1400,381
10/31/2011,1400,1400,1399,1400,803
11/02/2011,1400,1540,1428,1540,193
11/03/2011,1540,1601,1510,1569,1320
11/06/2011,1569,1565,1491,1495,1381
11/08/2011,1495,1490,1470,1470,807
11/09/2011,1470,1492,1441,1469,986
11/10/2011,1469,1476,1425,1447,886
11/13/2011,1447,1428,1390,1428,2180
11/14/2011,1428,1428,1400,1400,712
11/15/2011,1400,1414,1370,1371,2514
11/16/2011,1371,1352,1325,1350,1415
11/17/2011,1350,1348,1347,1347,210
11/20/2011,1347,1371,1341,1371,755
11/21/2011,1371,1350,1340,1344,695
11/22/2011,1344,1344,1340,1344,525
11/23/2011,1344,1352,1340,1350,358
11/24/2011,1350,1349,1340,1349,440
11/27/2011,1349,1351,1339,1339,1269
11/28/2011,1339,1345,1340,1340,818
12/01/2011,1341,1346,1340,1346,553
12/04/2011,1346,1345,1336,1340,947
12/05/2011,1340,1345,1331,1345,1078
12/06/2011,1345,1348,1339,1339,690
12/07/2011,1339,1345,1338,1342,361
12/08/2011,1342,1342,1323,1328,1752
12/11/2011,1328,1328,1304,1304,1841
12/12/2011,1304,1305,1290,1290,1126
12/13/2011,1290,1309,1290,1300,287
12/14/2011,1300,1344,1326,1344,163
12/15/2011,1344,1336,1318,1318,922
12/18/2011,1318,1305,1298,1300,159
12/19/2011,1300,1326,1300,1300,322
12/20/2011,1300,1320,1300,1320,1033
12/21/2011,1320,1330,1300,1300,375
12/22/2011,1300,1319,1306,1306,180
12/26/2011,1306,1310,1300,1306,1002
12/27/2011,1306,1315,1300,1315,1470
12/28/2011,1315,1330,1306,1330,466
12/29/2011,1330,1350,1331,1340,223
01/01/2012,1340,1370,1340,1355,1155
01/02/2012,1355,1400,1382,1390,455
01/03/2012,1390,1427,1390,1390,1351
01/04/2012,1390,1385,1349,1375,657
01/05/2012,1375,1384,1350,1384,1204
01/08/2012,1384,1360,1325,1344,2337
01/09/2012,1344,1360,1300,1334,2110
01/10/2012,1384,1375,1300,1352,1520
01/11/2012,1352,1399,1305,1399,904
01/12/2012,1399,1410,1340,1410,437
01/16/2012,1410,1387,1341,1370,960
01/17/2012,1370,1397,1370,1397,100
01/18/2012,1397,1370,1343,1348,212
01/19/2012,1348,1374,1347,1350,375
01/22/2012,1350,1350,1332,1340,1022
01/23/2012,1340,1350,1320,1330,1716
01/25/2012,1330,1345,1315,1345,637
01/26/2012,1345,1330,1302,1330,1732
01/29/2012,1330,1322,1320,1322,578
01/31/2012,1322,1336,1308,1336,1887
02/01/2012,1336,1325,1325,1325,36
02/02/2012,1325,1325,1310,1325,643
02/05/2012,1325,1338,1325,1338,75
02/06/2012,1338,1344,1330,1344,379
02/07/2012,1344,1345,1338,1345,420
02/08/2012,1345,1345,1340,1345,200
02/09/2012,1345,1344,1320,1324,1695
02/12/2012,1324,1332,1322,1332,2039
02/13/2012,1332,1344,1325,1331,575
02/14/2012,1331,1336,1331,1335,571
02/15/2012,1335,1350,1345,1350,61
02/16/2012,1350,1345,1330,1331,5547
02/21/2012,1331,1335,1325,1333,908
02/23/2012,1333,1340,1334,1340,112
02/26/2012,1340,1365,1345,1352,202
02/27/2012,1352,1350,1340,1345,1113
02/28/2012,1345,1360,1350,1360,639
02/29/2012,1360,1375,1360,1366,213
03/01/2012,1366,1398,1368,1398,924
03/04/2012,1398,1395,1380,1384,186
03/05/2012,1384,1396,1370,1370,710
03/06/2012,1370,1383,1370,1383,220
03/11/2012,1383,1375,1368,1375,421
03/12/2012,1375,1375,1375,1375,50
03/13/2012,1375,1388,1375,1380,390
03/14/2012,1380,1379,1365,1379,736
03/15/2012,1379,1375,1352,1352,919
03/18/2012,1352,1372,1360,1368,603
03/19/2012,1368,1375,1350,1375,220
03/20/2012,1375,1375,1360,1360,323
03/21/2012,1360,1387,1355,1387,639
03/25/2012,1387,1380,1351,1378,858
03/26/2012,1378,1377,1340,1377,1414
03/27/2012,1377,1404,1350,1377,310
03/28/2012,1377,1360,1350,1360,212
03/29/2012,1360,1382,1342,1382,212
04/01/2012,1382,1356,1338,1350,327
04/02/2012,1350,1382,1348,1382,564
04/03/2012,1382,1360,1350,1350,938
04/04/2012,1350,1377,1350,1377,951
04/05/2012,1377,1371,1345,1371,150
04/08/2012,1371,1377,1365,1377,609
04/09/2012,1377,1380,1375,1380,318
04/10/2012,1380,1399,1388,1399,656
04/11/2012,1399,1430,1400,1424,1858
04/12/2012,1424,1455,1400,1450,1560
04/15/2012,1450,1581,1479,1581,535
04/16/2012,1581,1709,1612,1709,350
