Date,Open,High,Low,Close,Volume
03/20/2011,133,133,131,133,246
03/25/2011,133,139,135,139,70
03/27/2011,139,141,141,141,14
04/05/2011,141,139,139,139,84
04/10/2011,139,137,132,132,800
04/13/2011,132,130,128,128,416
04/17/2011,128,132,130,132,110
04/25/2011,132,130,126,128,3445
05/04/2011,128,126,120,120,1775
05/05/2011,120,120,120,120,359
05/10/2011,120,118,118,118,200
05/15/2011,118,120,120,120,144
05/16/2011,120,122,120,120,154
05/18/2011,120,121,121,121,100
05/25/2011,121,120,120,120,31
06/01/2011,120,128,126,128,40
06/02/2011,128,130,130,130,30
06/05/2011,130,128,128,128,300
06/19/2011,128,126,126,126,100
06/20/2011,128,126,126,126,100
06/21/2011,130,132,132,132,117
06/26/2011,132,130,130,130,100
06/27/2011,130,136,136,136,10
06/29/2011,136,134,132,132,40
07/12/2011,132,136,134,136,66
07/17/2011,136,138,134,138,288
07/18/2011,138,136,135,136,500
07/19/2011,136,134,128,128,1345
07/20/2011,128,128,124,126,1369
07/21/2011,126,124,120,120,1126
07/24/2011,120,122,122,122,100
07/28/2011,122,120,120,120,139
07/31/2011,120,118,116,116,708
08/01/2011,116,114,112,112,191
08/02/2011,112,112,110,112,515
08/03/2011,112,110,110,110,300
08/04/2011,110,109,103,103,2530
08/07/2011,103,103,103,103,1991
08/08/2011,103,107,105,105,3760
08/10/2011,105,107,107,107,20
08/11/2011,107,106,106,106,500
08/16/2011,106,108,107,108,221
08/18/2011,108,108,106,108,1357
08/23/2011,108,107,106,107,788
08/24/2011,107,106,104,106,817
08/25/2011,106,104,101,101,3790
09/01/2011,101,100,98,100,3521
09/04/2011,100,103,100,101,3878
09/06/2011,101,100,100,100,595
09/07/2011,100,102,100,100,2424
09/08/2011,100,98,98,98,100
09/12/2011,98,99,99,99,300
09/13/2011,99,98,98,98,506
09/15/2011,98,98,97,97,221
09/19/2011,97,98,97,98,510
09/20/2011,98,100,99,100,66
09/21/2011,100,99,98,99,538
09/22/2011,99,99,98,98,500
09/27/2011,98,94,93,93,10223
09/29/2011,93,102,97,102,3810
10/13/2011,102,100,98,98,400
10/16/2011,98,102,98,100,41046
10/19/2011,100,95,94,94,520
10/20/2011,94,102,95,102,1593
10/23/2011,102,112,104,108,9350
10/24/2011,108,110,106,110,667
10/25/2011,110,112,110,110,150
10/31/2011,110,108,107,107,861
11/03/2011,107,109,105,105,173
11/10/2011,105,103,101,101,216
11/14/2011,101,100,99,100,290
11/15/2011,100,99,98,98,1226
11/16/2011,98,100,99,100,1343
11/17/2011,100,100,98,98,2850
11/21/2011,98,102,99,102,470
11/22/2011,102,101,100,100,2876
11/23/2011,100,101,101,101,200
11/24/2011,101,100,98,98,1769
11/27/2011,98,99,97,99,2106
12/01/2011,94,95,95,95,54
12/04/2011,95,98,96,98,551
12/05/2011,98,99,98,99,186
12/06/2011,99,100,100,100,11
12/07/2011,100,102,97,97,1826
12/08/2011,97,97,96,97,1462
12/11/2011,97,96,96,96,479
