Date,Open,High,Low,Close,Volume
03/20/2011,133,131,131,131,10
03/24/2011,128,130,128,128,120
03/25/2011,128,126,124,126,210
03/27/2011,126,124,124,124,60
03/28/2011,124,124,120,121,160
03/29/2011,121,119,117,118,150
03/30/2011,118,116,113,116,160
03/31/2011,116,114,109,113,320
04/04/2011,113,113,110,112,640
04/05/2011,112,111,109,109,140
04/06/2011,109,113,109,111,280
04/07/2011,111,111,111,111,270
04/10/2011,111,110,108,110,240
04/11/2011,110,110,110,110,40
04/13/2011,110,113,112,112,260
04/17/2011,112,114,114,114,60
04/18/2011,114,116,114,114,160
04/19/2011,114,112,108,111,340
04/20/2011,111,110,106,108,310
04/21/2011,108,108,106,106,450
04/26/2011,106,104,104,104,60
04/27/2011,104,106,102,102,380
04/28/2011,102,102,100,100,290
05/02/2011,100,104,102,104,80
05/03/2011,104,108,104,108,480
05/04/2011,108,107,106,106,100
05/05/2011,106,108,104,104,550
05/08/2011,104,104,104,104,40
05/11/2011,104,102,101,101,530
05/12/2011,101,101,100,101,350
05/15/2011,101,105,99,105,570
05/16/2011,105,107,105,107,80
05/18/2011,107,109,107,109,70
05/19/2011,109,107,107,107,80
05/22/2011,107,114,106,114,810
05/23/2011,114,112,112,112,90
05/26/2011,112,111,111,111,30
05/30/2011,111,109,109,109,50
05/31/2011,109,107,100,101,710
06/01/2011,101,103,101,103,310
06/02/2011,103,103,101,103,880
06/05/2011,103,105,100,100,510
06/06/2011,100,102,99,100,850
06/07/2011,100,105,103,103,70
06/09/2011,103,101,98,98,190
06/12/2011,98,97,97,97,320
06/13/2011,97,97,95,96,410
06/14/2011,96,95,94,95,50
06/15/2011,95,96,95,95,720
06/16/2011,95,94,93,94,200
06/19/2011,94,95,95,95,120
06/20/2011,94,95,95,95,120
06/21/2011,95,94,94,94,180
06/27/2011,94,94,94,94,70
06/29/2011,94,94,91,91,110
07/03/2011,91,91,90,90,70
07/04/2011,90,91,90,90,280
07/05/2011,90,91,91,91,20
07/06/2011,91,93,92,93,80
07/11/2011,93,102,94,102,450
07/12/2011,102,112,104,112,190
07/13/2011,112,113,112,113,140
07/14/2011,113,119,115,119,70
07/18/2011,119,117,117,117,50
07/20/2011,117,115,115,115,10
07/24/2011,115,114,110,110,120
07/26/2011,110,108,108,108,20
07/28/2011,108,106,106,106,20
07/31/2011,106,105,100,100,370
08/01/2011,100,100,97,98,220
08/02/2011,98,97,96,96,350
08/03/2011,96,97,96,96,290
08/04/2011,96,100,97,100,160
08/07/2011,100,108,101,106,450
08/08/2011,106,104,102,103,500
08/09/2011,103,102,102,102,120
08/10/2011,102,104,100,102,220
08/11/2011,102,101,100,100,50
08/15/2011,100,100,100,100,10
08/16/2011,100,98,98,98,190
08/17/2011,98,102,99,100,210
08/18/2011,100,100,100,100,40
08/22/2011,100,102,100,100,50
08/23/2011,100,99,98,98,230
08/24/2011,98,99,97,98,170
08/25/2011,98,98,98,98,90
08/28/2011,98,98,97,97,30
08/29/2011,97,98,97,97,90
08/30/2011,97,96,94,95,120
09/01/2011,95,96,94,94,380
09/04/2011,94,97,95,97,290
09/05/2011,97,98,94,94,3510
09/06/2011,94,95,93,94,430
09/07/2011,94,94,93,94,320
