Date,Open,High,Low,Close,Volume
03/20/2011,113,116,114,114,2330
03/24/2011,112,112,112,112,120
03/25/2011,112,112,111,111,840
03/27/2011,111,113,111,113,160
03/28/2011,113,113,110,110,240
03/29/2011,110,110,105,107,1300
03/30/2011,107,108,102,104,840
03/31/2011,104,104,102,104,100
04/04/2011,104,108,104,108,150
04/05/2011,108,106,104,104,140
04/06/2011,104,108,106,107,260
04/07/2011,107,111,109,109,1290
04/10/2011,109,109,108,108,140
04/11/2011,108,109,107,107,240
04/13/2011,107,107,107,107,180
04/17/2011,107,111,105,111,170
04/18/2011,111,112,111,112,450
04/19/2011,112,110,110,110,250
04/20/2011,110,112,108,108,440
04/21/2011,108,110,110,110,30
04/25/2011,110,112,109,109,670
04/26/2011,109,109,109,109,90
04/27/2011,109,109,105,107,630
04/28/2011,107,106,104,104,80
05/02/2011,104,105,105,105,170
05/03/2011,105,105,103,105,120
05/04/2011,105,106,106,106,50
05/05/2011,106,106,106,106,1400
05/08/2011,106,106,106,106,110
05/10/2011,106,104,102,104,220
05/11/2011,104,106,104,104,810
05/12/2011,104,107,103,107,1120
05/15/2011,107,109,109,109,300
05/16/2011,109,111,109,109,540
05/18/2011,109,108,106,106,750
05/19/2011,106,106,102,102,250
05/22/2011,102,100,98,98,230
05/23/2011,98,102,99,102,190
05/24/2011,102,100,99,100,210
05/25/2011,100,105,100,101,820
05/26/2011,101,107,98,105,1900
05/30/2011,105,109,106,109,590
05/31/2011,109,113,111,111,620
06/02/2011,111,111,111,111,40
06/05/2011,111,109,103,103,1520
06/06/2011,103,105,103,103,630
06/07/2011,103,103,103,103,60
06/09/2011,103,101,99,99,200
06/12/2011,99,99,99,99,430
06/13/2011,99,100,99,99,370
06/15/2011,99,99,98,99,70
06/16/2011,99,98,98,98,80
06/19/2011,98,97,96,96,80
06/20/2011,98,97,96,96,80
06/26/2011,98,99,99,99,100
06/30/2011,99,100,100,100,30
07/03/2011,100,101,101,101,10
07/04/2011,101,100,98,99,1400
07/05/2011,99,98,98,98,70
07/06/2011,98,97,96,97,180
07/07/2011,97,102,97,102,140
07/11/2011,102,103,101,101,300
07/12/2011,101,106,101,106,520
07/14/2011,106,114,108,114,170
07/19/2011,114,112,108,108,260
07/20/2011,108,106,103,103,620
07/24/2011,103,101,101,101,40
07/26/2011,101,99,99,99,210
07/27/2011,99,102,100,102,510
07/28/2011,102,100,100,100,70
07/31/2011,100,104,102,104,50
08/01/2011,104,104,102,102,660
08/02/2011,102,104,102,104,360
08/03/2011,104,107,102,107,100
08/04/2011,107,105,104,104,450
08/07/2011,104,104,103,103,430
08/08/2011,103,101,98,98,140
08/09/2011,98,103,99,103,340
08/10/2011,103,102,102,102,200
08/11/2011,102,100,98,99,340
08/15/2011,99,98,98,98,10
08/16/2011,98,102,97,102,720
08/17/2011,102,104,103,103,700
08/18/2011,103,104,99,104,1720
08/22/2011,104,104,102,104,750
08/23/2011,104,105,99,105,980
08/24/2011,105,103,102,102,310
08/25/2011,102,102,100,102,510
08/28/2011,102,102,100,102,1280
