Date,Open,High,Low,Close,Volume
03/29/2011,333,327,303,303,60
03/30/2011,303,297,282,282,40
03/31/2011,282,277,267,267,30
04/04/2011,267,262,252,252,30
04/05/2011,252,247,231,231,520
04/06/2011,231,227,211,211,50
04/07/2011,211,201,201,201,100
04/10/2011,201,197,181,181,110
04/11/2011,181,178,163,163,80
04/13/2011,163,160,147,147,80
04/17/2011,147,140,133,133,170
04/18/2011,133,132,120,120,330
04/19/2011,120,118,108,108,770
04/20/2011,108,106,99,103,2990
04/21/2011,103,105,101,105,3890
04/25/2011,105,106,103,104,2470
04/26/2011,104,104,103,104,540
04/27/2011,104,105,98,103,3150
04/28/2011,103,108,101,102,2730
05/02/2011,102,104,102,102,560
05/03/2011,102,103,103,103,70
05/04/2011,103,105,105,105,20
05/05/2011,105,107,99,100,970
05/08/2011,100,98,98,98,10
05/10/2011,98,99,98,99,1080
05/11/2011,99,99,96,97,360
05/12/2011,97,97,96,97,220
05/15/2011,97,102,96,100,2170
05/16/2011,100,100,99,99,140
05/18/2011,99,99,97,97,970
05/19/2011,97,100,93,100,3540
05/22/2011,100,100,95,96,2090
05/23/2011,96,100,98,98,560
05/24/2011,98,107,99,105,270
05/25/2011,105,109,103,109,360
05/26/2011,109,115,103,115,310
05/30/2011,115,113,104,104,1260
05/31/2011,104,109,100,104,4690
06/01/2011,104,105,103,105,1100
06/02/2011,105,107,103,107,2540
06/05/2011,107,108,104,106,1620
06/06/2011,106,109,104,108,1200
06/07/2011,108,111,102,102,2290
06/08/2011,102,102,102,102,70
06/09/2011,102,104,100,104,2680
06/12/2011,104,104,100,100,2410
06/13/2011,100,101,98,98,80
06/14/2011,98,98,96,96,410
06/15/2011,96,95,95,95,40
06/16/2011,95,102,96,102,470
06/21/2011,100,102,100,102,100
06/23/2011,102,104,104,104,10
06/26/2011,104,106,104,106,20
06/27/2011,106,112,106,106,610
06/29/2011,106,108,99,108,450
06/30/2011,108,108,106,106,240
07/03/2011,106,104,100,100,1040
07/04/2011,100,110,102,108,990
07/05/2011,108,106,102,104,3910
07/06/2011,104,109,103,109,1990
07/07/2011,109,107,107,107,70
07/10/2011,107,109,105,105,310
07/11/2011,105,105,103,105,470
07/17/2011,105,105,105,105,90
07/21/2011,105,104,104,104,180
07/24/2011,104,104,101,101,560
07/25/2011,101,100,98,98,90
07/26/2011,98,97,97,97,10
07/27/2011,97,96,96,96,30
07/28/2011,96,97,97,97,70
07/31/2011,97,98,96,97,540
08/01/2011,97,98,98,98,240
08/02/2011,98,103,98,99,790
08/03/2011,99,102,100,100,620
08/04/2011,100,105,102,105,260
08/07/2011,105,106,105,105,200
08/08/2011,105,110,103,106,620
08/09/2011,106,104,102,104,440
08/10/2011,104,105,104,104,500
08/11/2011,104,104,102,102,170
08/15/2011,102,101,100,100,220
08/16/2011,100,101,100,101,1150
08/17/2011,101,102,102,102,230
08/18/2011,102,101,101,101,320
08/22/2011,101,103,100,100,770
08/23/2011,100,100,99,99,710
08/24/2011,99,99,99,99,180
08/25/2011,99,100,98,100,1730
08/28/2011,100,102,100,100,50
08/29/2011,100,99,98,98,140
08/30/2011,98,99,99,99,130
09/01/2011,99,99,98,99,70
09/04/2011,99,99,99,99,80
09/05/2011,99,100,100,100,150
09/06/2011,100,101,99,99,820
09/07/2011,99,98,98,98,10
09/08/2011,98,102,99,100,680
09/12/2011,100,98,97,97,520
09/13/2011,97,96,96,96,60
09/14/2011,96,98,97,98,230
09/15/2011,98,100,98,99,620
09/18/2011,99,100,96,96,510
09/20/2011,96,96,96,96,380
09/21/2011,96,98,96,98,330
09/22/2011,98,100,97,97,140
09/25/2011,97,98,98,98,50
10/10/2011,98,98,97,97,30
10/12/2011,97,98,98,98,40
10/13/2011,98,97,97,97,40
10/16/2011,97,97,97,97,90
10/17/2011,97,97,96,97,180
10/20/2011,97,97,96,96,780
10/23/2011,96,97,96,96,750
10/24/2011,96,95,95,95,70
10/25/2011,95,95,94,94,180
10/31/2011,94,95,95,95,10
11/03/2011,95,98,96,98,250
11/06/2011,98,101,99,100,790
11/08/2011,100,100,99,100,40
11/09/2011,100,100,98,98,80
11/10/2011,98,97,97,97,170
11/13/2011,97,99,98,98,210
11/14/2011,98,101,97,98,340
11/16/2011,98,98,98,98,10
11/17/2011,98,97,97,97,20
11/21/2011,97,98,97,97,70
11/22/2011,97,98,98,98,320
11/23/2011,98,97,97,97,1730
11/24/2011,97,97,97,97,170
11/27/2011,97,99,96,99,110
12/01/2011,103,101,101,101,30
12/04/2011,101,101,98,98,100
12/05/2011,98,98,97,98,150
