Date,Open,High,Low,Close,Volume
08/22/2012,0,180,177,179,140
10/31/2012,179,171,165,165,40
11/01/2012,165,162,153,153,80
11/04/2012,153,150,143,143,80
11/25/2012,143,136,134,134,40
11/28/2012,134,128,124,124,60
12/02/2012,124,122,122,122,10
12/04/2012,122,120,120,120,20
12/05/2012,120,118,110,110,2000
12/06/2012,110,111,102,108,9975
12/09/2012,108,109,102,108,4489
12/10/2012,108,106,103,104,5930
12/11/2012,104,106,104,106,4650
12/12/2012,106,106,104,106,2279
12/13/2012,106,106,104,104,1520
12/16/2012,104,108,106,108,1600
12/17/2012,108,110,107,110,5392
12/18/2012,110,110,106,108,11140
12/19/2012,108,106,98,100,13398
12/20/2012,100,104,101,103,4789
12/23/2012,103,102,101,101,1050
12/24/2012,101,101,100,101,700
12/26/2012,101,105,102,103,2056
12/27/2012,103,105,103,103,850
12/31/2012,103,103,101,103,2370
01/01/2013,103,101,99,100,3630
01/02/2013,100,100,99,99,1590
01/03/2013,99,99,98,98,3450
01/06/2013,98,97,96,96,1540
01/07/2013,96,98,96,97,1460
01/09/2013,97,96,96,96,120
01/10/2013,96,96,96,96,1200
01/13/2013,96,95,94,95,1958
01/15/2013,95,94,93,94,3840
01/16/2013,94,93,91,92,3606
01/17/2013,92,92,92,92,600
01/20/2013,92,92,91,91,890
01/22/2013,91,92,91,91,710
01/23/2013,91,90,90,90,570
01/24/2013,90,92,91,92,320
01/27/2013,92,91,91,91,1378
01/28/2013,91,91,90,91,1590
01/30/2013,91,92,91,91,1969
01/31/2013,91,92,91,92,756
02/03/2013,92,93,93,93,1839
02/04/2013,93,92,92,92,300
02/05/2013,92,92,92,92,410
02/06/2013,92,92,91,91,300
02/07/2013,91,93,92,93,280
02/10/2013,93,93,92,92,2339
02/13/2013,92,94,92,94,1720
02/14/2013,94,95,95,95,3020
02/19/2013,95,94,94,94,100
02/20/2013,94,95,95,95,836
02/21/2013,95,96,95,96,1050
02/24/2013,96,99,97,98,3100
02/25/2013,98,100,98,100,4640
02/26/2013,100,101,98,101,4975
02/27/2013,101,103,100,103,1390
03/03/2013,103,102,101,101,1540
03/04/2013,101,102,99,99,1286
03/05/2013,99,99,99,99,1390
03/06/2013,99,100,97,99,2380
03/07/2013,99,100,99,99,1550
03/11/2013,99,100,98,98,2400
03/13/2013,98,100,99,99,1159
03/14/2013,99,102,99,99,610
03/17/2013,99,98,97,97,690
03/18/2013,97,97,97,97,980
03/19/2013,97,96,95,95,1530
03/20/2013,95,95,95,95,550
03/24/2013,95,96,95,96,100
03/25/2013,96,95,95,95,120
03/27/2013,95,95,94,94,640
03/28/2013,94,96,95,96,450
04/08/2013,96,97,95,96,1270
04/09/2013,96,95,94,94,720
04/11/2013,94,103,95,103,1536
04/21/2013,103,101,101,101,500
04/22/2013,101,99,99,99,100
04/23/2013,99,98,96,96,1010
04/25/2013,96,95,93,93,940
04/29/2013,93,96,94,96,920
04/30/2013,96,96,96,96,2740
05/02/2013,96,96,96,96,520
05/05/2013,96,95,95,95,110
05/12/2013,95,83,81,81,350
05/13/2013,81,94,92,92,4000
05/14/2013,92,93,92,92,619
05/15/2013,92,91,84,84,7307
05/16/2013,84,83,81,81,1407
05/20/2013,81,83,82,83,1889
05/21/2013,83,84,84,84,70
05/23/2013,84,85,85,85,180
05/26/2013,85,87,86,87,3380
05/27/2013,87,88,88,88,2386
05/28/2013,88,91,89,91,4227
05/30/2013,91,90,89,90,6446
06/04/2013,90,91,89,89,1290
06/05/2013,89,91,90,90,5150
06/06/2013,90,89,89,89,1058
06/10/2013,89,90,89,90,2280
06/11/2013,90,90,90,90,210
06/12/2013,90,91,91,91,200
06/13/2013,91,90,89,89,3240
06/18/2013,89,88,88,88,200
06/25/2013,88,87,87,87,150
06/26/2013,87,87,85,85,2588
06/30/2013,85,86,85,85,772
07/01/2013,85,87,85,85,660
07/02/2013,85,86,83,86,1530
07/03/2013,86,89,87,89,990
07/04/2013,89,90,90,90,810
07/08/2013,90,89,88,88,550
07/09/2013,88,87,85,85,560
07/10/2013,85,88,85,88,2988
07/11/2013,88,89,88,89,240
07/14/2013,89,88,85,85,470
07/15/2013,85,86,84,86,2759
07/16/2013,86,88,86,88,6440
07/17/2013,88,88,87,87,200
07/22/2013,87,91,88,91,460
07/23/2013,91,90,88,88,750
07/25/2013,88,88,88,88,130
07/29/2013,88,92,87,92,8530
