Date,Open,High,Low,Close,Volume
10/17/2011,125,123,123,123,80699
12/07/2011,123,123,123,123,3860
02/23/2012,123,121,121,121,1500
04/09/2012,121,120,120,120,1631
12/16/2012,120,165,162,162,7894
12/19/2012,162,159,159,159,6856
12/24/2012,159,156,156,156,7894
12/26/2012,156,153,153,153,19520
12/27/2012,153,150,147,147,58851
12/24/2015,147,149,149,149,17100
12/27/2015,149,147,147,147,22475
04/12/2016,158,158,151,158,17113
06/05/2016,158,158,158,158,47025
06/28/2016,158,158,158,158,44938
06/30/2016,158,158,158,158,28175
07/04/2016,158,158,158,158,110943
07/05/2016,158,160,158,158,6333
07/06/2016,158,158,158,158,12630
07/11/2016,158,158,158,158,51918
07/13/2016,158,158,158,158,6337
07/17/2016,158,158,158,158,6925
08/31/2016,158,158,158,158,130167
09/14/2016,158,173,161,173,19498
