Date,Open,High,Low,Close,Volume
03/20/2011,120,122,120,122,290
03/24/2011,117,116,116,116,100
03/25/2011,116,118,114,117,130
03/27/2011,117,115,112,112,70
03/28/2011,112,113,111,111,290
03/30/2011,111,110,105,107,240
03/31/2011,107,105,105,105,20
04/04/2011,105,111,107,111,110
04/05/2011,111,111,107,110,450
04/06/2011,110,109,105,109,80
04/07/2011,109,110,108,108,320
04/10/2011,108,115,110,115,240
04/11/2011,115,113,111,111,120
04/17/2011,111,118,113,118,150
04/19/2011,118,116,114,114,30
04/20/2011,114,114,114,114,40
04/21/2011,114,114,107,107,1800
04/25/2011,107,108,104,104,250
04/27/2011,104,105,101,101,100
04/28/2011,101,104,100,104,260
05/02/2011,104,104,100,101,350
05/03/2011,101,100,100,100,100
05/05/2011,100,100,98,100,40
05/08/2011,100,101,99,99,200
05/09/2011,99,100,100,100,20
05/10/2011,100,100,98,100,300
05/12/2011,100,104,99,104,130
05/15/2011,104,104,100,100,370
05/16/2011,100,100,100,100,20
05/18/2011,100,100,97,97,340
05/23/2011,97,96,96,96,60
05/24/2011,96,96,94,96,90
05/31/2011,96,98,96,97,60
06/01/2011,97,96,96,96,10
06/02/2011,96,98,95,98,140
06/05/2011,98,100,98,100,330
06/06/2011,100,99,98,98,20
06/08/2011,98,99,99,99,10
06/09/2011,99,98,98,98,20
06/12/2011,98,98,97,97,70
06/13/2011,97,96,93,93,200
06/14/2011,93,92,89,89,320
06/15/2011,89,89,87,88,230
06/16/2011,88,88,88,88,20
06/19/2011,88,88,88,88,70
06/20/2011,88,88,88,88,70
06/27/2011,90,86,86,86,10
06/29/2011,86,85,85,85,10
07/03/2011,85,84,83,84,400
07/04/2011,84,84,82,82,100
07/05/2011,82,81,81,81,60
07/06/2011,81,82,81,81,70
07/07/2011,81,82,81,82,970
07/13/2011,82,81,81,81,130
07/14/2011,81,82,80,82,410
07/19/2011,82,81,81,81,10
07/20/2011,81,82,81,82,80
07/21/2011,82,84,82,84,350
07/24/2011,84,86,84,86,140
07/25/2011,86,86,85,86,90
07/27/2011,86,87,87,87,100
07/28/2011,87,88,88,88,10
07/31/2011,88,93,89,93,110
08/02/2011,93,100,94,100,140
08/03/2011,100,102,100,100,790
08/04/2011,100,102,100,100,520
08/07/2011,100,100,100,100,40
08/08/2011,100,98,98,98,10
08/15/2011,98,97,97,97,10
08/16/2011,97,98,98,98,30
08/18/2011,98,98,98,98,10
08/22/2011,98,97,96,96,40
08/23/2011,96,96,96,96,90
08/24/2011,96,96,95,95,150
08/28/2011,95,95,94,95,30
09/01/2011,95,95,95,95,10
09/04/2011,95,95,95,95,20
09/05/2011,95,96,95,96,170
09/06/2011,96,95,95,95,20
09/07/2011,95,95,93,93,40
09/08/2011,93,92,89,89,90
09/12/2011,89,90,86,86,260
09/14/2011,86,86,85,85,110
09/15/2011,85,84,84,84,50
09/18/2011,84,83,83,83,20
09/19/2011,83,84,84,84,40
09/21/2011,84,84,84,84,70
09/22/2011,84,85,85,85,30
09/25/2011,85,85,85,85,30
09/29/2011,85,84,84,84,20
10/02/2011,84,84,83,83,210
10/09/2011,83,82,80,80,530
10/10/2011,80,80,80,80,30
10/13/2011,80,81,80,80,40
10/17/2011,80,81,80,80,80
10/23/2011,80,80,79,79,50
10/30/2011,79,80,79,80,430
11/09/2011,80,80,80,80,10
11/13/2011,80,80,78,78,160
11/14/2011,78,79,79,79,70
11/15/2011,79,81,80,81,40
11/16/2011,81,80,80,80,20
11/21/2011,80,79,79,79,10
11/22/2011,79,80,80,80,60
11/23/2011,80,81,78,78,200
11/27/2011,78,77,77,77,10
11/28/2011,77,77,76,77,170
12/07/2011,78,78,78,78,10
12/11/2011,78,78,78,78,80
12/14/2011,78,77,76,76,20
12/15/2011,76,75,73,73,190
12/18/2011,73,72,70,70,70
12/19/2011,70,72,70,71,140
12/20/2011,71,71,70,71,380
12/21/2011,71,70,70,70,10
12/22/2011,70,70,69,70,40
12/27/2011,70,69,69,69,20
12/28/2011,69,68,68,68,10
01/01/2012,68,69,68,68,150
01/02/2012,68,68,68,68,20
01/03/2012,68,68,67,68,70
01/04/2012,68,68,68,68,50
01/05/2012,68,67,67,67,10
