Date,Open,High,Low,Close,Volume
03/28/2011,200,196,196,196,22
04/04/2011,196,199,199,199,192
04/28/2011,199,199,199,199,180
05/16/2011,199,196,196,196,55
07/27/2011,199,199,199,199,177
09/13/2011,199,196,184,184,660
09/22/2011,184,181,178,178,180
10/12/2011,178,175,161,161,197
10/13/2011,161,158,145,145,591
10/16/2011,145,143,131,134,29654
10/17/2011,134,133,132,132,209
10/19/2011,132,137,134,137,579
10/24/2011,137,136,136,136,117
10/30/2011,136,136,136,136,117
10/31/2011,136,136,136,136,143
11/10/2011,136,135,135,135,120
11/14/2011,135,133,133,133,957
11/17/2011,133,137,135,137,400
11/20/2011,137,135,135,135,1121
11/21/2011,135,137,135,137,363
11/22/2011,137,136,136,136,186
11/23/2011,136,135,135,135,40
12/01/2011,137,135,135,135,121
12/04/2011,135,136,136,136,60
12/05/2011,136,139,137,139,678
12/07/2011,139,137,137,137,135
12/08/2011,137,139,139,139,15
12/15/2011,139,137,135,135,50
12/18/2011,135,135,131,133,257
12/20/2011,133,131,121,121,4648
12/21/2011,121,121,121,121,4119
01/02/2012,121,119,119,119,96
01/08/2012,119,119,119,119,957
01/10/2012,119,117,117,117,117
01/11/2012,117,120,119,120,248
01/12/2012,120,124,120,124,156
01/18/2012,124,124,124,124,200
01/22/2012,124,126,126,126,60
01/23/2012,126,130,128,130,143
01/29/2012,130,128,116,116,210
01/31/2012,116,117,116,117,370
02/12/2012,117,120,119,120,317
02/14/2012,120,118,118,118,47
02/21/2012,118,118,118,118,8267
02/23/2012,118,120,120,120,3848
03/13/2012,120,118,118,118,60
03/19/2012,118,118,118,118,60
03/20/2012,118,116,116,116,55
03/21/2012,116,118,114,116,832
04/03/2012,116,118,118,118,234
04/05/2012,118,116,116,116,100
04/29/2012,116,118,118,118,500
04/30/2012,118,128,120,128,52
05/02/2012,128,132,130,132,25
05/10/2012,132,134,134,134,10
05/13/2012,134,134,134,134,20
05/20/2012,134,136,136,136,10
05/27/2012,136,144,138,144,540
06/07/2012,144,142,142,142,64
06/26/2012,142,142,142,142,117
07/01/2012,142,140,140,140,29
07/17/2012,140,138,138,138,117
07/18/2012,138,136,136,136,200
07/19/2012,136,134,134,134,200
07/22/2012,134,134,134,134,500
07/23/2012,134,132,130,130,400
07/24/2012,130,132,132,132,32
07/26/2012,132,131,130,130,541
07/31/2012,130,128,127,127,257
08/06/2012,127,129,129,129,363
08/07/2012,129,128,128,128,220
08/08/2012,128,128,126,128,197
08/12/2012,128,130,130,130,100
08/15/2012,130,130,130,130,13
08/23/2012,130,128,128,128,211
08/26/2012,128,130,127,127,441
08/27/2012,127,127,123,127,990
08/28/2012,127,126,126,126,1567
09/02/2012,126,128,126,126,308
09/04/2012,126,130,128,130,188
09/19/2012,130,128,128,128,224
09/23/2012,128,130,130,130,380
09/26/2012,130,128,128,128,62
09/30/2012,126,124,124,124,1116
10/02/2012,124,122,120,120,242
10/03/2012,120,120,118,120,446
10/04/2012,120,122,119,119,688
10/07/2012,119,121,121,121,113
10/08/2012,121,123,123,123,58
10/09/2012,123,125,124,125,184
10/14/2012,125,123,119,119,3511
10/15/2012,119,123,121,123,144
11/04/2012,123,121,121,121,680
11/05/2012,121,123,123,123,141
11/06/2012,123,125,125,125,27
11/18/2012,125,127,127,127,107
11/21/2012,127,125,119,121,421
11/22/2012,121,123,123,123,117
11/29/2012,123,123,123,123,560
12/05/2012,123,135,129,135,911
12/06/2012,135,148,137,148,398
12/11/2012,148,146,139,139,830
12/12/2012,139,137,137,137,110
12/13/2012,137,135,133,135,275
12/17/2012,135,137,137,137,117
12/18/2012,137,136,136,136,610
12/23/2012,136,134,134,134,80
01/08/2013,134,132,132,132,29
01/31/2013,132,130,130,130,349
02/03/2013,130,128,126,127,1011
02/05/2013,127,129,129,129,60
02/06/2013,129,129,129,129,18
02/07/2013,129,129,127,129,208
02/10/2013,129,127,127,127,176
02/14/2013,127,129,129,129,269
02/20/2013,129,131,131,131,100
02/24/2013,131,133,131,133,404
02/25/2013,133,135,135,135,60
02/27/2013,135,137,137,137,120
03/05/2013,137,141,139,141,327
03/13/2013,141,144,143,144,500
03/18/2013,144,146,146,146,602
03/21/2013,146,160,148,160,11908
03/24/2013,160,166,160,166,405
03/25/2013,166,163,157,157,2695
03/28/2013,157,157,154,154,91
03/31/2013,154,151,146,146,530
04/01/2013,146,144,144,144,31
04/03/2013,144,142,142,142,60
04/07/2013,142,144,143,144,120
04/09/2013,144,146,145,145,154
04/15/2013,145,143,141,141,110
04/16/2013,141,145,141,141,283
04/18/2013,141,143,142,142,48
04/21/2013,142,143,141,143,160
04/22/2013,143,145,145,145,388
04/25/2013,145,147,147,147,105
04/28/2013,147,145,145,145,107
04/30/2013,145,146,143,144,467
05/02/2013,144,142,142,142,60
05/09/2013,142,140,138,138,651
05/22/2013,138,136,136,136,120
05/23/2013,136,135,135,135,360
05/26/2013,135,140,140,140,60
06/03/2013,140,142,141,141,294
06/09/2013,141,139,139,139,451
06/20/2013,139,140,140,140,100
06/23/2013,140,142,138,138,1689
