Date,Open,High,Low,Close,Volume
05/26/2011,295,295,295,295,12
07/13/2011,295,295,295,295,12
07/28/2011,295,295,295,295,34
09/12/2011,295,290,290,290,12
10/20/2011,290,285,285,285,1680
03/18/2012,285,280,275,275,790
07/16/2012,275,270,270,270,34
11/04/2012,270,265,265,265,101
07/30/2013,265,260,241,241,50
07/31/2013,241,237,217,217,80
08/01/2013,217,213,205,205,30
08/08/2013,205,201,201,201,50
08/11/2013,201,197,197,197,10
08/12/2013,197,194,188,188,30
08/14/2013,188,185,179,179,30
08/15/2013,179,176,170,170,150
08/18/2013,170,173,159,159,838
08/19/2013,159,170,144,170,3482
08/20/2013,170,178,165,170,7395
08/25/2013,170,187,170,187,11610
08/26/2013,187,205,190,205,6344
08/27/2013,205,225,201,201,10745
08/29/2013,201,198,185,185,2720
09/01/2013,185,183,167,170,7793
09/02/2013,170,176,173,173,350
09/03/2013,173,176,167,170,1883
09/04/2013,170,173,167,173,1434
09/05/2013,173,176,170,170,2136
09/08/2013,170,167,167,167,364
09/09/2013,167,164,164,164,34
09/10/2013,164,164,161,164,1500
09/11/2013,164,163,161,163,908
09/12/2013,163,160,160,160,824
09/15/2013,160,160,160,160,940
09/16/2013,160,162,160,162,650
09/17/2013,162,162,160,160,845
09/19/2013,160,172,163,172,796
09/22/2013,172,169,161,161,1269
09/23/2013,161,160,158,160,1460
09/25/2013,160,157,144,144,1108
09/26/2013,144,142,142,142,20
09/29/2013,142,140,135,135,622
09/30/2013,135,133,133,133,500
10/01/2013,133,135,131,135,968
10/03/2013,135,137,137,137,101
11/11/2013,137,136,136,136,100
11/13/2013,136,140,138,140,1500
11/14/2013,140,142,140,142,2537
11/24/2013,142,146,144,146,78
11/26/2013,146,148,148,148,20
11/27/2013,148,162,155,162,190
11/28/2013,162,178,165,178,1040
12/01/2013,178,195,181,195,2152
12/02/2013,195,214,198,214,94
12/03/2013,214,235,218,235,71
12/04/2013,235,258,239,258,767
12/05/2013,258,283,263,283,12495
12/08/2013,283,306,287,290,13254
12/09/2013,290,290,270,270,1705
12/10/2013,270,265,250,250,646
12/11/2013,250,249,237,242,3745
12/12/2013,242,248,245,248,1433
12/15/2013,248,257,252,257,1034
12/19/2013,257,267,262,267,1138
12/22/2013,267,270,262,267,2244
12/23/2013,267,272,267,272,5014
12/24/2013,272,285,275,285,3875
12/26/2013,285,306,290,306,1177
12/29/2013,306,306,300,306,1287
12/31/2013,306,310,300,300,1612
01/01/2014,300,307,300,301,9080
01/02/2014,301,307,295,295,220
01/05/2014,295,300,300,300,440
01/06/2014,300,300,294,294,756
01/07/2014,294,299,285,285,2143
01/08/2014,285,300,285,300,1701
01/12/2014,300,304,304,304,494
01/13/2014,304,305,300,301,2513
01/14/2014,301,306,296,306,808
01/16/2014,306,312,301,301,1817
01/19/2014,301,324,300,324,1645
01/20/2014,324,348,330,345,2414
01/21/2014,345,351,339,340,1663
01/22/2014,340,346,340,340,578
01/23/2014,340,340,334,340,1773
01/26/2014,340,351,340,340,3105
01/27/2014,340,346,340,345,2128
01/28/2014,345,362,351,360,3354
01/29/2014,360,390,360,385,5832
02/02/2014,385,385,371,371,1472
02/03/2014,371,390,364,390,5431
02/04/2014,390,408,395,407,8165
02/06/2014,402,409,400,400,2252
02/09/2014,400,410,403,404,3188
02/10/2014,404,400,400,400,1000
02/11/2014,400,424,392,424,3750
02/12/2014,424,420,412,412,818
02/13/2014,412,435,412,435,3788
02/16/2014,435,478,440,478,1990
02/17/2014,478,525,487,525,9966
02/18/2014,525,577,535,577,6297
02/20/2014,577,634,588,634,7233
02/23/2014,634,697,646,692,13194
02/24/2014,692,743,660,660,5221
02/25/2014,660,647,600,601,3480
02/26/2014,601,612,590,590,702
03/03/2014,590,602,589,589,1441
03/04/2014,589,585,560,583,3217
03/05/2014,583,626,580,614,7288
03/06/2014,614,604,600,604,336
03/09/2014,604,610,595,595,501
03/10/2014,595,584,584,584,72
03/11/2014,584,585,563,570,736
03/12/2014,570,570,570,570,48
03/13/2014,570,605,570,605,776
