Date,Open,High,Low,Close,Volume
10/27/2016,152,167,155,167,50
11/03/2016,167,182,170,182,50
11/07/2016,182,200,185,200,60
11/08/2016,200,220,204,220,58
11/09/2016,220,239,214,218,164608
11/10/2016,218,227,215,219,118158
11/13/2016,219,230,217,225,58688
11/14/2016,225,228,220,224,56274
11/15/2016,224,227,220,223,29862
11/16/2016,223,222,217,220,37178
11/17/2016,220,220,204,208,31708
11/20/2016,208,205,188,195,36830
11/21/2016,195,205,183,195,15360
11/22/2016,195,201,191,197,29773
11/23/2016,197,197,185,190,27646
11/24/2016,190,199,179,183,30167
11/27/2016,183,183,174,179,14366
11/28/2016,179,189,164,188,14007
11/29/2016,188,194,180,188,27857
11/30/2016,188,199,190,196,26084
12/01/2016,196,199,189,193,31321
12/04/2016,193,196,188,190,11454
12/05/2016,190,193,186,189,6982
12/06/2016,189,188,185,188,5095
12/07/2016,188,190,184,186,5200
12/08/2016,186,188,183,185,18952
12/11/2016,185,188,182,185,3515
12/12/2016,185,188,179,186,28084
12/14/2016,186,188,180,186,14210
12/15/2016,186,186,182,184,12566
12/18/2016,184,186,183,184,6147
12/19/2016,184,186,181,181,2458
12/20/2016,181,183,179,180,8832
12/21/2016,180,181,175,180,9001
12/22/2016,180,184,179,181,5661
12/26/2016,181,180,175,176,5720
12/27/2016,176,176,168,174,9400
12/28/2016,174,178,164,176,15360
12/29/2016,176,179,171,176,13541
01/01/2017,176,180,174,175,18672
01/02/2017,175,181,175,180,14320
01/03/2017,180,181,173,173,14050
01/04/2017,173,185,175,185,29911
01/05/2017,185,190,183,186,24417
01/08/2017,186,185,180,180,2981
01/09/2017,180,187,180,180,12672
01/10/2017,180,186,183,184,2770
01/11/2017,184,184,182,183,2431
01/12/2017,183,185,179,185,3231
01/15/2017,185,185,181,184,4511
01/16/2017,184,184,177,180,15483
01/17/2017,180,181,177,180,29152
01/18/2017,180,182,175,179,28463
01/19/2017,179,180,177,179,6660
01/22/2017,179,182,178,179,10564
01/23/2017,179,183,179,179,12846
01/24/2017,179,181,175,178,13563
01/25/2017,178,181,168,170,13380
01/26/2017,170,172,162,168,13616
01/30/2017,168,168,159,159,7960
01/31/2017,159,165,153,161,16733
02/01/2017,161,175,164,172,24263
02/02/2017,172,178,170,173,13593
02/05/2017,173,173,167,170,5640
02/06/2017,170,170,167,168,2080
