Date,Open,High,Low,Close,Volume
11/10/2015,312,343,318,343,168
11/29/2015,343,376,349,376,50
11/30/2015,376,383,383,383,10
12/01/2015,383,404,390,404,30
12/02/2015,404,420,412,420,20
12/03/2015,420,436,428,436,28
12/07/2015,436,479,444,479,76
12/08/2015,479,526,502,526,319
12/09/2015,526,578,536,578,130
12/10/2015,578,635,589,635,92
12/13/2015,635,698,647,698,50
12/14/2015,698,767,711,767,85
12/15/2015,767,843,782,843,648
12/16/2015,843,927,859,927,4082
12/17/2015,927,1019,945,1019,11089
12/20/2015,1019,1044,967,980,16297
12/21/2015,980,985,900,951,7937
12/22/2015,951,1020,953,1020,6941
12/23/2015,1020,1075,1000,1050,9042
12/24/2015,1050,1155,1029,1155,7798
12/27/2015,1155,1178,1110,1161,8188
12/28/2015,1161,1175,1141,1153,7129
12/29/2015,1153,1170,1108,1170,7982
12/31/2015,1170,1203,1084,1200,5459
01/03/2016,1200,1225,1180,1225,6898
01/04/2016,1225,1235,1172,1195,3188
01/05/2016,1195,1200,1170,1184,4100
01/06/2016,1184,1190,1105,1136,3875
01/07/2016,1136,1155,1120,1136,1902
01/10/2016,1136,1175,1130,1175,6088
01/11/2016,1175,1175,1130,1161,5645
01/12/2016,1161,1208,1100,1201,7670
01/12/2016,1161,1208,1100,1201,7670
01/13/2016,1201,1250,1195,1228,10301
01/14/2016,1228,1275,1200,1249,7928
01/31/2016,1249,1373,1273,1373,100
02/01/2016,1373,1505,1400,1503,1240
02/02/2016,1503,1500,1475,1475,753
02/03/2016,1475,1479,1450,1470,332
02/04/2016,1470,1442,1415,1440,810
02/07/2016,1440,1468,1412,1412,550
02/14/2016,1412,1439,1439,1439,400
02/15/2016,1439,1411,1330,1370,2349
02/16/2016,1370,1380,1360,1360,745
02/18/2016,1360,1387,1387,1387,10
02/21/2016,1387,1360,1333,1335,48
02/22/2016,1335,1330,1315,1330,350
02/23/2016,1330,1305,1279,1279,103
02/24/2016,1279,1255,1230,1254,386
02/25/2016,1254,1240,1220,1240,112
02/28/2016,1240,1260,1230,1250,90
02/29/2016,1250,1375,1275,1335,3061
03/01/2016,1335,1371,1340,1340,952
03/02/2016,1340,1393,1320,1393,1604
03/06/2016,1393,1420,1388,1420,570
03/10/2016,1420,1560,1448,1559,4791
03/13/2016,1559,1621,1549,1605,2631
03/14/2016,1605,1600,1559,1559,2140
03/15/2016,1559,1570,1501,1501,3596
03/16/2016,1501,1500,1472,1500,125
03/17/2016,1500,1505,1475,1475,472
03/20/2016,1475,1490,1450,1461,1332
03/21/2016,1461,1468,1440,1465,314
03/23/2016,1465,1440,1440,1440,110
03/24/2016,1440,1412,1385,1385,112
03/27/2016,1385,1361,1346,1346,172
03/28/2016,1346,1385,1320,1385,1004
03/29/2016,1385,1485,1400,1450,999
03/30/2016,1450,1450,1421,1421,1248
03/31/2016,1421,1400,1393,1400,916
04/03/2016,1400,1415,1375,1415,420
04/04/2016,1415,1387,1370,1385,1383
04/05/2016,1385,1370,1370,1370,32
04/06/2016,1370,1380,1370,1370,223
04/10/2016,1370,1351,1342,1342,496
04/11/2016,1342,1350,1320,1350,681
04/12/2016,1350,1350,1345,1345,267
04/14/2016,1345,1405,1371,1405,403
04/17/2016,1405,1415,1390,1390,350
04/18/2016,1390,1399,1385,1385,298
04/19/2016,1385,1400,1360,1376,180
04/20/2016,1376,1380,1349,1376,377
04/21/2016,1376,1400,1353,1372,292
04/24/2016,1372,1380,1355,1370,245
04/25/2016,1370,1380,1360,1380,243
04/26/2016,1380,1410,1368,1388,2050
04/27/2016,1388,1450,1380,1450,1619
04/28/2016,1450,1479,1425,1443,1192
05/02/2016,1443,1445,1430,1430,170
05/03/2016,1430,1435,1387,1400,700
05/04/2016,1400,1395,1373,1373,50
05/05/2016,1373,1401,1360,1380,1400
05/08/2016,1380,1400,1350,1400,1326
05/09/2016,1400,1420,1376,1400,644
05/10/2016,1400,1405,1371,1375,1415
05/11/2016,1375,1448,1360,1400,750
05/12/2016,1400,1445,1375,1433,1968
05/15/2016,1433,1430,1405,1415,1808
05/16/2016,1415,1420,1390,1415,759
05/17/2016,1415,1465,1414,1450,1496
05/18/2016,1450,1485,1422,1457,6656
05/19/2016,1457,1539,1415,1512,8515
