Date,Open,High,Low,Close,Volume
03/24/2011,330,324,324,324,20
03/25/2011,324,308,296,296,30
03/27/2011,296,291,267,267,640
03/28/2011,267,254,254,254,1850
03/29/2011,254,242,229,229,130
04/28/2011,229,191,188,188,200
05/19/2011,188,185,185,185,90
05/22/2011,185,182,182,182,70
05/25/2011,182,182,182,182,40
06/06/2011,182,179,176,176,20
06/07/2011,176,170,164,164,30
06/08/2011,164,156,156,156,10
07/03/2011,156,149,149,149,10
09/04/2011,149,147,145,145,300
09/19/2011,145,143,141,141,80
09/20/2011,141,139,139,139,10
09/21/2011,139,137,131,131,230
09/22/2011,131,129,129,129,10
10/24/2011,129,127,125,125,50
11/08/2011,125,123,113,113,478
11/09/2011,113,111,103,107,464
11/10/2011,107,110,107,110,466
11/13/2011,110,108,106,106,100
11/14/2011,106,106,103,106,160
11/15/2011,106,105,103,104,90
11/16/2011,104,102,100,100,30
11/21/2011,100,104,102,104,90
11/22/2011,104,110,106,107,470
11/23/2011,107,107,105,105,210
11/24/2011,105,105,103,104,470
11/27/2011,104,104,104,104,10
12/05/2011,102,102,100,102,40
12/06/2011,102,104,103,103,40
12/07/2011,103,102,102,102,80
12/08/2011,102,102,102,102,30
12/11/2011,102,104,104,104,40
12/12/2011,104,102,102,102,40
12/13/2011,102,100,100,100,10
12/14/2011,100,99,99,99,60
12/15/2011,99,98,98,98,10
12/18/2011,98,98,96,97,630
12/19/2011,97,98,92,94,840
12/20/2011,94,94,92,94,344
12/21/2011,94,94,92,93,174
12/22/2011,93,99,94,99,624
12/26/2011,99,99,98,98,552
12/27/2011,98,98,93,95,972
12/28/2011,95,96,91,92,1056
12/29/2011,92,93,89,92,1226
01/01/2012,92,93,90,93,1022
01/02/2012,93,93,90,92,1052
01/03/2012,92,93,91,92,772
01/04/2012,92,94,88,88,648
01/05/2012,88,89,89,89,108
01/08/2012,89,91,90,90,358
01/09/2012,90,99,91,97,1432
01/10/2012,89,97,95,96,756
01/11/2012,96,96,91,94,756
01/12/2012,94,95,88,88,1068
01/16/2012,88,94,89,94,1420
01/17/2012,94,98,93,98,860
01/18/2012,98,99,94,99,1120
01/19/2012,99,98,98,98,120
01/22/2012,98,99,98,99,1234
01/23/2012,99,102,91,95,1200
01/25/2012,95,94,90,92,240
01/26/2012,92,95,92,95,1180
01/29/2012,95,95,93,94,1876
01/31/2012,94,95,93,94,960
02/01/2012,94,94,91,91,192
02/02/2012,91,91,89,90,682
02/05/2012,90,90,88,90,995
02/06/2012,90,92,91,92,372
02/07/2012,92,92,91,91,288
02/08/2012,91,92,91,92,264
02/09/2012,92,93,93,93,24
02/12/2012,93,96,93,93,462
02/13/2012,93,95,92,95,748
02/14/2012,95,97,95,95,222
02/15/2012,95,95,95,95,72
02/16/2012,95,94,93,93,338
02/21/2012,93,95,94,95,60
02/23/2012,95,96,94,94,360
02/26/2012,94,94,94,94,72
02/27/2012,94,95,91,91,356
02/28/2012,91,91,89,90,1272
02/29/2012,90,89,89,89,176
03/01/2012,89,91,90,90,80
03/04/2012,90,90,90,90,372
03/05/2012,90,89,87,87,120
03/06/2012,87,95,88,95,524
03/11/2012,95,98,91,92,472
03/12/2012,92,93,90,90,296
03/13/2012,90,91,90,90,96
03/14/2012,90,92,90,92,274
03/15/2012,92,96,93,96,300
03/18/2012,96,96,92,92,954
03/19/2012,92,92,91,92,474
03/20/2012,92,95,91,95,324
03/25/2012,95,100,96,98,324
03/27/2012,98,97,92,93,1222
03/28/2012,93,95,93,94,678
03/29/2012,94,94,93,94,250
04/01/2012,94,98,94,98,392
04/02/2012,98,107,98,99,2018
04/03/2012,99,102,100,101,1614
04/04/2012,101,103,99,103,1942
04/05/2012,103,102,101,102,286
04/08/2012,102,104,98,100,468
04/09/2012,100,104,100,104,480
04/10/2012,104,106,101,102,518
04/11/2012,102,104,102,102,206
04/12/2012,102,106,103,106,48
04/15/2012,106,112,108,112,52
04/16/2012,112,114,114,114,24
04/18/2012,114,114,110,111,560
04/19/2012,111,116,112,112,1522
04/22/2012,112,113,112,113,578
04/24/2012,113,114,112,113,84
04/26/2012,113,111,109,109,24
04/30/2012,109,113,111,113,52
05/02/2012,113,112,112,112,72
05/07/2012,112,114,114,114,10
05/09/2012,114,112,110,110,212
05/10/2012,110,110,110,110,12
05/13/2012,110,108,108,108,12
05/20/2012,108,106,104,104,162
05/21/2012,104,103,101,101,202
05/22/2012,101,99,98,98,78
05/23/2012,98,98,98,98,12
05/24/2012,98,100,99,100,1086
05/27/2012,100,101,101,101,24
05/31/2012,101,99,99,99,12
06/03/2012,99,98,98,98,36
06/04/2012,98,98,95,97,504
06/05/2012,97,97,94,95,564
06/06/2012,95,94,94,94,60
06/07/2012,94,96,95,96,168
06/10/2012,96,97,96,97,146
06/11/2012,97,97,97,97,172
06/12/2012,97,97,96,96,204
06/13/2012,96,97,94,95,476
06/14/2012,95,96,94,96,132
06/17/2012,96,98,95,98,96
06/18/2012,98,98,95,95,240
06/19/2012,95,94,92,94,156
06/20/2012,94,97,95,96,600
06/21/2012,96,97,96,97,272
06/25/2012,97,97,96,96,436
06/26/2012,96,95,94,94,312
06/27/2012,94,94,93,94,322
06/28/2012,94,94,93,94,36
07/01/2012,94,96,95,96,892
07/02/2012,96,96,95,96,60
07/03/2012,96,95,93,93,119
07/04/2012,93,95,94,95,182
07/05/2012,95,96,95,95,168
07/08/2012,95,94,94,94,98
07/09/2012,94,93,93,93,32
07/10/2012,93,93,92,93,88
07/11/2012,93,93,92,92,34
07/12/2012,92,93,93,93,24
07/15/2012,93,94,94,94,48
07/16/2012,94,94,93,94,36
07/17/2012,94,93,91,91,72
07/18/2012,91,93,92,93,96
07/19/2012,93,94,93,94,312
07/23/2012,94,95,95,95,36
07/24/2012,95,96,96,96,12
07/25/2012,96,97,96,97,136
07/26/2012,97,99,98,99,24
07/29/2012,99,98,96,96,228
07/30/2012,96,98,95,97,228
07/31/2012,97,97,94,95,456
08/01/2012,95,97,95,95,112
08/05/2012,95,95,93,93,216
08/06/2012,93,94,93,93,84
08/07/2012,93,92,92,92,12
08/08/2012,92,95,93,95,336
08/12/2012,95,94,94,94,12
08/13/2012,94,93,93,93,144
08/14/2012,93,95,94,95,84
08/15/2012,95,99,95,99,754
08/16/2012,99,100,100,100,170
08/21/2012,100,98,95,96,186
08/22/2012,96,97,96,97,82
08/23/2012,97,98,97,97,168
08/26/2012,97,97,96,97,32
08/27/2012,97,98,96,96,84
08/28/2012,96,97,96,96,96
08/29/2012,96,95,93,93,48
08/30/2012,93,97,94,97,96
09/02/2012,97,98,98,98,12
09/03/2012,98,99,97,98,276
09/04/2012,98,100,99,100,28
09/09/2012,100,104,100,100,96
09/10/2012,100,99,98,99,24
09/11/2012,99,99,98,98,84
09/12/2012,98,97,95,95,284
