Date,Open,High,Low,Close,Volume
04/18/2011,250,255,255,255,15
07/19/2011,255,250,245,245,75
09/07/2011,245,246,242,242,98
09/26/2011,242,242,242,242,200
10/25/2011,242,242,242,242,502
10/30/2011,242,242,242,242,205
11/08/2011,242,242,242,242,176
12/29/2011,242,238,238,238,13
02/23/2012,238,240,240,240,100
03/11/2012,240,240,240,240,2500
04/04/2012,240,240,240,240,72
05/08/2012,240,240,240,240,2162
06/17/2012,240,236,236,236,61
07/10/2012,236,232,232,232,100
08/13/2012,232,232,232,232,100
08/29/2012,232,225,225,225,500
09/05/2012,225,233,229,233,100
09/13/2012,233,229,225,225,577
09/30/2012,225,221,217,217,26
10/01/2012,217,213,213,213,16
10/01/2012,217,213,213,213,16
10/03/2012,213,209,205,205,737
10/07/2012,205,201,201,201,30
10/17/2012,201,197,194,194,2179
10/31/2012,194,191,182,182,1048
11/11/2012,182,179,176,176,175
11/26/2012,176,173,161,161,606
11/27/2012,161,158,158,158,50
11/29/2012,158,155,143,143,1033
12/05/2012,143,141,139,139,244
12/06/2012,139,137,133,133,351
12/09/2012,133,131,127,127,437
12/10/2012,127,127,125,125,1024
12/11/2012,125,127,127,127,1456
12/12/2012,127,127,125,127,1497
12/13/2012,127,125,125,125,94
12/16/2012,125,123,123,123,82
12/18/2012,123,135,125,135,853
12/19/2012,135,143,137,143,92
12/20/2012,143,157,145,157,3710
12/23/2012,157,140,140,140,2822
01/20/2013,140,140,140,140,66
02/07/2013,140,140,140,140,159
02/20/2013,140,142,142,142,1273
02/28/2013,142,142,141,141,620
