Date,Open,High,Low,Close,Volume,,,
3/24/2011,1785,1760,1700,1700,1140,,,
3/25/2011,1700,1734,1676,1734,1252,,,
3/27/2011,1734,1714,1690,1690,157,,,
3/28/2011,1690,1680,1627,1627,270,,,
3/29/2011,1627,1625,1568,1570,1150,,,
3/30/2011,1570,1581,1521,1581,743,,,
3/31/2011,1581,1683,1552,1622,1040,,,
4/4/2011,1622,1645,1625,1630,504,,,
4/5/2011,1630,1626,1570,1601,969,,,
4/6/2011,1601,1610,1585,1610,328,,,
4/7/2011,1610,1661,1630,1635,263,,,
4/10/2011,1635,1635,1620,1625,325,,,
4/11/2011,1625,1646,1605,1640,1891,,,
4/13/2011,1640,1730,1610,1730,233,,,
4/17/2011,1730,1696,1695,1696,284,,,
4/18/2011,1696,1695,1653,1655,274,,,
4/19/2011,1655,1655,1635,1655,1588,,,
4/20/2011,1655,1658,1610,1625,747,,,
4/21/2011,1625,1615,1598,1600,707,,,
4/25/2011,1600,1581,1550,1575,170,,,
4/26/2011,1575,1551,1551,1551,25,,,
4/27/2011,1551,1581,1520,1581,935,,,
4/28/2011,1581,1555,1550,1555,467,,,
5/2/2011,1555,1580,1550,1550,856,,,
5/3/2011,1550,1559,1539,1555,743,,,
5/4/2011,1555,1560,1540,1540,1867,,,
5/5/2011,1540,1555,1539,1540,1143,,,
5/8/2011,1540,1550,1540,1544,886,,,
5/10/2011,1544,1580,1550,1580,359,,,
5/11/2011,1580,1600,1590,1590,396,,,
5/12/2011,1590,1647,1605,1647,389,,,
5/15/2011,1647,1664,1600,1664,828,,,
5/16/2011,1664,1677,1631,1677,442,,,
5/18/2011,1677,1683,1623,1683,1111,,,
5/19/2011,1683,1688,1650,1683,1424,,,
5/22/2011,1683,1715,1680,1680,208,,,
5/23/2011,1680,1690,1680,1680,795,,,
5/24/2011,1680,1690,1662,1672,1151,,,
5/25/2011,1672,1682,1670,1682,308,,,
5/26/2011,1682,1685,1656,1668,842,,,
5/30/2011,1668,1662,1620,1662,1415,,,
5/31/2011,1662,1660,1550,1600,1244,,,
