Date,Open,High,Low,Close,Volume
3/28/2011,6000,5880,5880,5880,120
3/29/2011,5880,5763,5763,5763,60
4/4/2011,5763,5648,5648,5648,100
4/5/2011,5648,5550,5550,5550,100
4/18/2011,5550,5500,5500,5500,10
4/19/2011,5500,5610,5610,5610,30
5/16/2011,5610,5500,5500,5500,30
5/31/2011,5500,5390,5390,5390,60
6/5/2011,5390,5283,5283,5283,50
6/8/2011,5283,5178,5178,5178,50
6/9/2011,5178,5075,4974,4974,150
6/14/2011,4974,4875,4875,4875,20
6/15/2011,4875,5000,4972,5000,40
6/16/2011,5000,5073,5073,5073,20
7/3/2011,5174,5270,5270,5270,30
7/4/2011,5270,5575,5075,5075,620
7/5/2011,5075,4974,4974,4974,50
7/6/2011,4974,4876,4876,4876,70
7/7/2011,4876,4781,4781,4781,10
9/7/2011,4781,5072,4876,5072,30
9/8/2011,5072,5276,5173,5276,30
9/19/2011,5276,5171,5171,5171,30
11/13/2011,5171,5688,5274,5688,50
11/20/2011,5688,5801,5801,5801,10
11/22/2011,5801,5917,5917,5917,10
12/13/2011,5917,6035,6035,6035,10
12/27/2011,6035,6150,6100,6150,20
12/29/2011,6150,6273,6273,6273,10
1/3/2012,6273,6150,6150,6150,10
1/4/2012,6150,6273,6273,6273,100
1/5/2012,6273,6148,6148,6148,10
1/12/2012,6148,6269,6148,6269,30
2/8/2012,6269,6144,5669,5669,150
2/12/2012,5669,5712,5600,5712,20
2/13/2012,5712,5600,5488,5488,60
2/14/2012,5488,5379,5379,5379,10
2/26/2012,5379,5916,5486,5916,130
2/28/2012,5916,6120,6000,6119,30
2/29/2012,6119,6119,6119,6119,20
3/1/2012,6119,6114,6114,6114,10
3/4/2012,6114,6100,6100,6100,10
3/11/2012,6100,6100,6100,6100,30
3/12/2012,6100,6100,6100,6100,20
3/18/2012,6100,6100,6100,6100,30
3/19/2012,6100,6300,5978,6300,70
3/26/2012,6300,6174,6030,6032,360
4/2/2012,6032,6032,6032,6032,40
4/3/2012,6032,6150,6150,6150,10
4/5/2012,6150,6050,6050,6050,60
4/8/2012,6050,6100,6100,6100,10
4/19/2012,6100,6222,6222,6222,10
4/29/2012,6222,6310,6310,6310,10
5/17/2012,6310,6436,6436,6436,10
5/23/2012,6436,6308,6308,6308,50
5/27/2012,6308,6434,6434,6434,10
5/29/2012,6434,6306,6210,6306,120
6/5/2012,6306,6300,6300,6300,20
6/12/2012,6300,6300,6300,6300,10
6/13/2012,6300,6300,6300,6300,20
6/25/2012,6300,6300,6300,6300,40
7/3/2012,6300,6300,6300,6300,20
7/16/2012,6300,6426,6426,6426,10
7/17/2012,6426,6685,6554,6685,20
7/24/2012,6685,6600,6600,6600,30
8/6/2012,6600,6733,6732,6733,120
8/7/2012,6733,6810,6810,6810,10
8/13/2012,6810,7084,6946,7084,20
8/16/2012,7084,7369,7225,7369,20
8/19/2012,7369,7500,7500,7500,10
8/23/2012,7500,7650,7650,7650,180
8/27/2012,7650,7854,7700,7854,30
9/3/2012,7854,7995,7995,7995,10
9/4/2012,7995,8200,8154,8200,20
9/9/2012,8200,8280,8200,8280,20
9/10/2012,8280,8150,8150,8150,130
9/16/2012,8150,7987,7828,7828,20
9/18/2012,7828,7672,7672,7672,10
9/20/2012,7672,7519,7519,7519,10
10/2/2012,7519,7500,7369,7500,20
10/10/2012,7500,7350,7350,7350,30
11/25/2012,7350,7497,7497,7497,20
12/3/2012,7497,7646,7646,7646,10
12/6/2012,7646,8112,7798,8112,30
12/18/2012,8112,8923,8274,8923,70
12/19/2012,8923,9815,9101,9815,160
12/20/2012,9815,10080,9500,10080,40
12/23/2012,10080,9879,9682,9682,20
12/27/2012,9682,9685,9650,9685,30
1/7/2013,9685,10100,9700,10100,110
1/15/2013,10100,10100,10100,10100,10
1/20/2013,10100,10000,10000,10000,30
1/22/2013,10000,9800,9800,9800,100
1/24/2013,9800,9996,9996,9996,10
1/30/2013,9996,9850,9797,9800,70
2/3/2013,9800,9900,9900,9900,1020
2/4/2013,9900,9702,9702,9702,30
2/6/2013,9702,9750,9700,9750,150
2/10/2013,9750,9945,9945,9945,20
2/12/2013,9945,10345,10143,10345,60
2/13/2013,10345,10400,10400,10400,10
2/20/2013,10400,10192,10100,10100,70
2/24/2013,10100,10099,9900,9900,20
2/25/2013,9900,9898,9898,9898,10
3/3/2013,9898,9750,9750,9750,10
3/6/2013,9750,9300,9300,9300,190
3/24/2013,9300,9486,9486,9486,20
3/28/2013,9486,9298,9298,9298,30
4/16/2013,9298,9483,9483,9483,10
4/21/2013,9483,9672,9600,9672,40
5/2/2013,9672,9672,9672,9672,10
5/14/2013,9672,9865,9700,9865,20
5/16/2013,9865,9800,9800,9800,100
5/19/2013,9800,10100,9996,10100,290
5/27/2013,10100,9898,9898,9898,30
5/30/2013,9898,9792,9792,9792,10
6/3/2013,9792,9986,9986,9986,50
6/4/2013,9986,10000,9987,10000,20
6/6/2013,10000,10000,10000,10000,10
6/16/2013,10000,10000,10000,10000,150
6/18/2013,10000,10000,10000,10000,120
6/20/2013,10000,10000,10000,10000,60
6/23/2013,10000,10000,10000,10000,30
6/24/2013,10000,10000,10000,10000,20
6/27/2013,10000,10000,10000,10000,120
7/2/2013,10000,10000,10000,10000,40
7/4/2013,10000,9998,9998,9998,30
7/7/2013,9998,10000,10000,10000,20
7/10/2013,10000,10000,10000,10000,20
7/11/2013,10000,9900,9800,9800,790
7/21/2013,9800,9905,9905,9905,20
7/25/2013,9905,9905,9900,9900,60
8/12/2013,9900,10098,10098,10098,10
8/19/2013,10098,10250,10046,10046,280
8/20/2013,10046,10046,10046,10046,100
8/29/2013,10046,10200,10200,10200,10
9/1/2013,10200,10000,10000,10000,30
